##NAMES=Potassic-fluoro-pargasite
##RRUFFID=R110065
##IDEAL CHEMISTRY=KCa_2_(Mg_4_Al)Si_6_Al_2_O_22_F_2_
##LOCALITY=Tranomaro, Fort Dauphine area, Madagascar
##OWNER=RRUFF
##SOURCE=Renato & Adriana Pagano
##DESCRIPTION=Black blocky euhedral single-crystal, from the original find
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110065
439.2097, 4.675171
439.6918, 4.538574
440.1739, 3.791870
440.6560, 1.532715
441.1381, 2.531738
441.6202, 4.948853
442.1024, 2.806152
442.5845, 0.4166260
443.0666, 0.2916260
443.5487, 3.407227
444.0308, 7.370361
444.5129, 9.211304
444.9951, 9.075684
445.4772, 8.711792
445.9593, 7.632324
446.4414, 6.915771
446.9235, 7.417969
447.4056, 8.332886
447.8878, 8.314209
448.3699, 6.919312
448.8520, 4.980225
449.3341, 3.735718
449.8162, 3.304565
450.2983, 3.318237
450.7805, 4.717163
451.2626, 5.635986
451.7447, 4.572998
452.2268, 2.163818
452.7089, 0.2033690
453.1910, 6.1646000E-02
453.6732, 0.9638670
454.1553, 1.625366
454.6374, 2.044312
455.1195, 1.832886
455.6016, 0.1810300
456.0837, 2.055298
456.5659, 1.665527
457.0480, 1.173340
457.5301, 4.173340
458.0122, 4.923462
458.4943, 3.465576
458.9764, 1.668457
459.4586, 1.079956
459.9407, 3.121216
460.4228, 3.065308
460.9049, 1.886719
461.3870, 1.454712
461.8691, 2.925781
462.3513, 4.565796
462.8334, 3.636963
463.3155, 0.2833250
463.7976, 1.482178
464.2797, 0.6306150
464.7618, 3.602905
465.2440, 3.022095
465.7261, 1.197632
466.2082, 4.013062
466.6903, 2.462646
467.1724, 0.7045900
467.6545, 2.186035
468.1367, 1.765381
468.6188, 0.7047120
469.1009, 0.4658200
469.5830, 1.506592
470.0651, 1.229248
470.5472, 1.655396
471.0294, 4.029785
471.5115, 4.858398
471.9936, 4.842163
472.4757, 4.488892
472.9578, 4.038940
473.4399, 4.364380
473.9221, 6.824097
474.4042, 12.22693
474.8863, 14.96899
475.3684, 13.29346
475.8505, 11.17065
476.3326, 9.654419
476.8148, 8.777100
477.2969, 8.526245
477.7790, 8.925781
478.2611, 9.530396
478.7432, 9.180664
479.2253, 7.098022
479.7075, 6.299316
480.1896, 8.542114
480.6717, 10.98474
481.1538, 11.76965
481.6359, 11.20618
482.1180, 11.12158
482.6002, 13.28467
483.0823, 16.65454
483.5644, 18.02478
484.0465, 16.78796
484.5286, 15.76318
485.0107, 16.48779
485.4929, 17.94238
485.9750, 18.89612
486.4571, 19.12646
486.9392, 19.36743
487.4213, 19.73267
487.9034, 20.47583
488.3856, 22.48389
488.8677, 26.07556
489.3498, 29.55762
489.8319, 31.44629
490.3140, 31.77783
490.7961, 32.09167
491.2783, 32.35669
491.7604, 32.63733
492.2425, 32.53625
492.7246, 32.55115
493.2067, 33.79797
493.6888, 36.66602
494.1710, 40.19006
494.6531, 42.88696
495.1352, 44.54224
495.6173, 46.00195
496.0994, 47.38269
496.5815, 48.50195
497.0637, 48.63147
497.5458, 48.46777
498.0279, 49.51257
498.5100, 52.67358
498.9921, 57.04285
499.4742, 60.54956
499.9564, 62.89429
500.4385, 66.10986
500.9206, 71.46851
501.4027, 76.60095
501.8848, 79.50293
502.3669, 80.67468
502.8491, 82.59778
503.3312, 87.76050
503.8133, 94.71191
504.2954, 99.22559
504.7775, 100.8464
505.2596, 101.5754
505.7418, 101.4095
506.2239, 101.5863
506.7060, 104.0383
507.1881, 109.3899
507.6702, 114.4833
508.1523, 117.4994
508.6345, 119.2168
509.1166, 120.8445
509.5987, 122.6882
510.0808, 125.3827
510.5629, 129.6486
511.0450, 135.1472
511.5272, 139.3019
512.0093, 140.8600
512.4914, 142.8098
512.9735, 147.0061
513.4556, 151.8621
513.9377, 154.6792
514.4199, 154.8519
514.9020, 154.5007
515.3841, 156.6769
515.8662, 162.3016
516.3483, 165.3506
516.8304, 164.3395
517.3126, 162.2998
517.7947, 158.3772
518.2768, 154.2369
518.7589, 152.5879
519.2410, 154.6265
519.7231, 157.7444
520.2053, 158.0692
520.6874, 155.3724
521.1695, 152.4229
521.6516, 148.7982
522.1337, 146.2241
522.6158, 145.9792
523.0980, 147.3596
523.5801, 148.3939
524.0622, 148.2971
524.5443, 148.0051
525.0264, 148.2329
525.5085, 148.8219
525.9907, 149.6235
526.4728, 150.6198
526.9549, 151.6659
527.4370, 152.4766
527.9191, 153.0071
528.4012, 154.4712
528.8834, 158.2444
529.3655, 161.6415
529.8476, 162.3617
530.3297, 161.0763
530.8118, 159.8792
531.2939, 159.8715
531.7761, 160.8236
532.2582, 162.1714
532.7403, 164.1281
533.2224, 165.9612
533.7045, 167.5670
534.1866, 169.0957
534.6688, 170.6034
535.1509, 172.1147
535.6330, 173.6473
536.1151, 175.1686
536.5972, 176.7607
537.0793, 178.9950
537.5615, 182.3239
538.0436, 184.3975
538.5257, 183.4856
539.0078, 181.9486
539.4899, 181.7163
539.9720, 182.7228
540.4542, 184.0095
540.9363, 185.9556
541.4184, 187.7307
541.9005, 187.3698
542.3826, 184.9194
542.8647, 183.3221
543.3469, 184.4023
543.8290, 186.9546
544.3111, 187.9358
544.7932, 187.0050
545.2753, 185.8079
545.7574, 184.3070
546.2396, 182.6366
546.7217, 181.1022
547.2038, 179.7125
547.6859, 178.1644
548.1680, 176.1747
548.6501, 173.9027
549.1323, 172.1377
549.6144, 171.4584
550.0965, 170.1328
550.5786, 167.5049
551.0607, 164.6600
551.5428, 162.6349
552.0250, 161.2451
552.5071, 159.2494
552.9892, 155.4768
553.4713, 150.5869
553.9534, 146.5269
554.4355, 143.4768
554.9177, 140.3287
555.3998, 136.2466
555.8819, 132.1355
556.3640, 129.2595
556.8461, 127.7833
557.3282, 126.3435
557.8104, 124.2367
558.2925, 121.9742
558.7746, 120.5532
559.2567, 119.8043
559.7388, 118.0598
