##NAMES=Metazeunerite
##RRUFFID=R060301
##IDEAL CHEMISTRY=Cu^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Green blocky dipyramidal single crystals associated with yellow walpurgite, R050573
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060301
614.1478, 0.2672670
614.6299, 0.3904340
615.1120, 0.5293580
615.5941, 0.5499880
616.0762, 0.4513910
616.5583, 0.3628980
617.0405, 0.2113720
617.5226, 0.1670840
618.0047, 0.3863490
618.4868, 0.6471730
618.9689, 0.7089270
619.4510, 0.5540280
619.9332, 0.3686580
620.4153, 0.3078170
620.8974, 0.3445740
621.3795, 0.3460670
621.8616, 0.2870600
622.3438, 0.3415050
622.8259, 0.6790960
623.3080, 1.068710
623.7901, 1.182137
624.2722, 1.006495
624.7543, 0.8491170
625.2365, 0.8000620
625.7186, 0.7938460
626.2007, 0.7951450
626.6828, 0.7945160
627.1649, 0.7720240
627.6470, 0.7185380
628.1292, 0.6546210
628.6113, 0.6073630
629.0934, 0.5654470
629.5755, 0.5873240
630.0576, 0.8405670
630.5397, 0.9753420
631.0219, 0.7719670
631.5040, 0.4322130
631.9861, 0.2495630
632.4682, 0.3132710
632.9503, 0.4270820
633.4324, 0.3816950
633.9146, 0.2415430
634.3967, 0.2423130
634.8788, 0.4179500
635.3609, 0.5733930
635.8430, 0.5973930
636.3251, 0.5251370
636.8073, 0.4515880
637.2894, 0.3845330
637.7715, 0.2978520
638.2536, 7.3738001E-02
638.7357, 7.8769997E-02
639.2178, 0.1138320
639.7000, 0.5253980
640.1821, 0.7675780
640.6642, 0.6207310
641.1463, 0.2639350
641.6284, 3.1263001E-02
642.1105, 8.1537001E-02
642.5927, 3.0974999E-02
643.0748, 0.3389030
643.5569, 0.6799050
644.0390, 0.7911010
644.5211, 0.7359010
645.0032, 0.6535130
645.4854, 0.5610770
645.9675, 0.4715370
646.4496, 0.3926640
646.9317, 0.3183400
647.4138, 0.2502590
647.8959, 0.1887870
648.3781, 0.1408940
