##NAMES=Symplesite
##RRUFFID=R120074
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Saubachbruch, Muldenberg, Vogtland, Sachsen, Germany
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregate of black bladed crystals,  2-fold twin around [1 -1 0]
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120074
598.9590, 0.3350910
599.4411, 0.5150260
599.9232, 0.5534300
600.4053, 0.5501130
600.8875, 0.4986820
601.3696, 0.4201810
601.8517, 0.3368080
602.3338, 0.2163600
602.8159, 0.1589390
603.2980, 0.2050790
603.7802, 0.3213790
604.2623, 0.3740370
604.7444, 0.3524580
605.2265, 0.3529200
605.7086, 0.4501580
606.1907, 0.6107830
606.6729, 0.7200540
607.1550, 0.7761300
607.6371, 0.7934770
608.1192, 0.7602130
608.6013, 0.7064070
609.0834, 0.6713980
609.5656, 0.6634500
610.0477, 0.6639730
610.5298, 0.6693740
611.0119, 0.6760370
611.4940, 0.6795570
611.9761, 0.6502890
612.4583, 0.6535920
612.9404, 0.7187430
613.4225, 0.8197350
613.9046, 0.9085730
614.3867, 1.009345
614.8688, 1.039417
615.3510, 0.9358490
615.8331, 0.7362730
616.3152, 0.6993610
616.7973, 0.8396320
617.2794, 0.9929380
617.7615, 1.051279
618.2437, 1.036392
618.7258, 1.003864
619.2079, 0.9550900
619.6900, 0.9007700
620.1721, 0.8519530
620.6542, 0.8032080
621.1364, 0.7408090
621.6185, 0.6328710
622.1006, 0.5757060
622.5827, 0.6481400
623.0648, 0.7859990
623.5469, 0.8975250
624.0291, 0.9790940
624.5112, 1.003748
624.9933, 0.9543340
625.4754, 0.8495510
625.9575, 0.7678900
626.4396, 0.6836320
626.9218, 0.6441340
627.4039, 0.7094260
627.8860, 0.8554630
628.3681, 0.9204900
628.8502, 0.9034480
629.3323, 0.8604250
629.8145, 0.8099330
630.2966, 0.7690990
630.7787, 0.7765670
631.2608, 0.8371100
631.7429, 0.8955140
632.2250, 0.8983740
632.7072, 0.8826730
633.1893, 0.8907860
633.6714, 0.9309790
634.1535, 0.9998330
634.6356, 1.143777
635.1177, 1.304916
635.5999, 1.389052
636.0820, 1.340371
636.5641, 1.303986
637.0462, 1.313733
637.5283, 1.343321
638.0104, 1.288383
638.4926, 1.130374
638.9747, 1.018604
639.4568, 1.019231
639.9389, 1.101678
640.4210, 1.209429
640.9031, 1.348666
641.3853, 1.437510
641.8674, 1.380736
642.3495, 1.248046
642.8316, 1.086096
643.3137, 0.8835500
643.7958, 0.7713450
