##NAMES=Quadridavyne
##RRUFFID=R141084
##IDEAL CHEMISTRY=Na_6_Ca_2_Si_6_Al_6_O_24_Cl_4_
##LOCALITY=Mt Vesuvius, Naples Province, Campania, Italy
##OWNER=RRUFF
##SOURCE=Ch. and H. Schäfer
##DESCRIPTION=Short hexagonal prismatic white crystals, associated with sodalite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R141084
601.1569, 9.0438999E-02
601.6390, 0.4084470
602.1212, 0.8335040
602.6033, 0.6011010
603.0854, 9.6031003E-02
603.5675, 7.4809998E-02
604.0496, 0.2556880
604.5317, 0.6311720
605.0139, 0.8969120
605.4960, 1.033840
605.9781, 0.9291310
606.4602, 0.6073910
606.9423, 0.3732220
607.4244, 0.4647250
607.9066, 0.8000830
608.3887, 1.002178
608.8708, 0.9308780
609.3529, 0.9215280
609.8350, 1.061741
610.3171, 1.206390
610.7993, 1.253082
611.2814, 1.207680
611.7635, 1.125984
612.2456, 1.029598
612.7277, 0.9408380
613.2098, 0.9122240
613.6920, 0.9480440
614.1741, 0.9889450
614.6562, 1.020519
615.1383, 1.052311
615.6204, 1.111889
616.1025, 1.189144
616.5847, 1.211956
617.0668, 1.081665
617.5489, 0.9756890
618.0310, 1.046341
618.5131, 1.216606
618.9952, 1.316475
619.4774, 1.297035
619.9595, 1.257908
620.4416, 1.332127
620.9237, 1.536640
621.4058, 1.595787
621.8879, 1.272877
622.3701, 1.098724
622.8522, 1.349915
623.3343, 1.705959
623.8164, 1.812511
624.2985, 1.613037
624.7806, 1.360329
625.2628, 1.256065
625.7448, 1.255566
626.2269, 1.236309
626.7090, 1.191860
627.1912, 1.185806
627.6733, 1.284306
628.1554, 1.399441
628.6375, 1.325123
629.1196, 1.003212
629.6017, 0.8265910
630.0839, 0.9651570
630.5660, 1.152546
631.0481, 1.189957
631.5302, 1.127518
632.0123, 1.100048
632.4944, 1.167603
632.9766, 1.323833
633.4587, 1.575016
633.9408, 1.944691
634.4229, 2.301495
634.9050, 2.742847
635.3871, 3.029984
635.8693, 3.003342
636.3514, 2.794201
636.8335, 2.572475
637.3156, 2.365833
637.7977, 2.251049
638.2798, 2.284985
638.7620, 2.431259
639.2441, 2.707603
639.7262, 3.107468
640.2083, 3.341057
640.6904, 3.152828
641.1725, 2.693768
641.6547, 2.524338
642.1368, 2.926510
642.6189, 3.214180
643.1010, 3.295719
643.5831, 3.358089
644.0652, 3.562996
644.5474, 3.820045
645.0295, 3.903011
645.5116, 3.669464
645.9937, 3.369160
646.4758, 3.407768
646.9579, 3.769817
647.4401, 4.091019
647.9222, 4.342297
648.4043, 4.539440
648.8864, 4.647991
649.3685, 4.687202
649.8506, 4.752121
650.3328, 4.826176
650.8149, 4.970394
651.2970, 5.259632
651.7791, 5.602531
652.2612, 5.900242
652.7433, 6.127686
653.2255, 6.323723
653.7076, 6.511890
654.1897, 6.695023
654.6718, 6.893398
655.1539, 7.108299
655.6360, 7.303375
656.1182, 7.531368
656.6003, 7.670967
657.0824, 7.597271
657.5645, 7.380932
658.0466, 7.237362
658.5287, 7.259933
659.0109, 7.351315
659.4930, 7.532856
659.9751, 7.714684
660.4572, 7.581512
660.9393, 7.063839
661.4214, 6.586262
661.9036, 6.536064
662.3857, 6.876518
662.8678, 7.053421
663.3499, 7.077019
663.8320, 6.910049
664.3141, 6.263424
664.7963, 5.638725
665.2784, 5.527058
665.7605, 5.847401
666.2426, 6.127655
666.7247, 6.013702
667.2068, 5.696461
667.6890, 5.510334
668.1711, 5.451382
668.6532, 5.396500
669.1353, 5.328396
669.6174, 5.235054
670.0995, 5.100937
670.5817, 4.925819
671.0638, 4.737942
671.5459, 4.515022
