##NAMES=Chestermanite
##RRUFFID=R070351
##IDEAL CHEMISTRY=Mg_2_(Fe^3+^,Mg,Al,Sb^5+^)O_2_BO_3_
##LOCALITY=Twin Lakes region, Kaiser Peak quadrangle, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bladed associated with calcite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070351
553.6758, 14.74707
554.1579, 9.555664
554.6400, 15.14990
555.1221, 26.02686
555.6042, 27.27002
556.0864, 4.917969
556.5685, 20.52734
557.0506, 30.93555
557.5327, 28.03613
558.0148, 17.82812
558.4969, 7.797852
558.9791, 31.54590
559.4612, 41.53223
559.9433, 34.19824
560.4254, 25.67773
560.9075, 13.05957
561.3896, 4.257813
561.8718, 5.887207
562.3539, 26.28467
562.8360, 42.51074
563.3181, 55.96973
563.8002, 64.01172
564.2823, 56.85547
564.7645, 30.77490
565.2466, 6.323730
565.7287, 9.404297
566.2108, 16.85205
566.6929, 15.50244
567.1750, 2.928711
567.6572, 8.240723
568.1393, 2.354004
568.6214, 11.11328
569.1035, 10.41699
569.5856, 11.49609
570.0677, 32.68213
570.5499, 32.63428
571.0320, 20.46045
571.5141, 10.62695
571.9962, 8.048828
572.4783, 9.181641
572.9604, 14.23926
573.4426, 22.38965
573.9247, 29.71191
574.4068, 38.71338
574.8889, 43.63672
575.3710, 39.73047
575.8531, 22.97559
576.3353, 20.87598
576.8174, 43.33301
577.2995, 65.78857
577.7816, 59.96436
578.2637, 22.07471
578.7458, 2.041016
579.2280, 2.798340
579.7101, 7.582520
580.1922, 5.007324
580.6743, 7.395020
581.1564, 11.96484
581.6385, 10.29053
582.1207, 39.22510
582.6028, 44.99463
583.0849, 30.34912
583.5670, 17.19678
584.0491, 16.01025
584.5313, 23.04736
585.0134, 38.66260
585.4955, 69.18799
585.9776, 87.36523
586.4597, 78.60791
586.9418, 56.93262
587.4240, 37.69043
587.9061, 14.20654
588.3882, 4.828613
588.8703, 17.54736
589.3524, 43.98975
589.8345, 59.46826
590.3167, 62.20166
590.7988, 60.60400
591.2809, 56.08887
591.7630, 49.95508
592.2451, 50.27100
592.7272, 57.26465
593.2094, 65.18994
593.6915, 70.24219
594.1736, 72.64160
