##NAMES=Belendorffite
##RRUFFID=R070346
##IDEAL CHEMISTRY=Cu_7_Hg_6_
##LOCALITY=Landsberg Mountain (Moschellandsberg Mountain), Obermoschel, Rhineland-Palatinate, Germany
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Fragment of a yellowish-brown hexagonal crystal, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070346
655.8846, 11.94629
656.3667, 5.315002
656.8488, 21.05609
657.3309, 35.50079
657.8130, 35.24469
658.2952, 26.12689
658.7773, 12.22266
659.2594, 5.551086
659.7415, 13.72821
660.2236, 5.398865
660.7057, 8.445068
661.1879, 11.60352
661.6700, 7.288391
662.1521, 4.396973
662.6342, 9.683472
663.1163, 15.65515
663.5984, 17.69629
664.0806, 16.05518
664.5627, 13.80304
665.0448, 10.40686
665.5269, 7.793762
666.0090, 7.252380
666.4911, 9.362244
666.9733, 9.054382
667.4554, 5.387329
667.9375, 1.167908
668.4196, 1.689880
668.9017, 3.178955
669.3839, 2.747986
669.8660, 0.2155150
670.3481, 3.562988
670.8302, 10.62866
671.3123, 18.08588
671.7944, 18.38916
672.2766, 3.841980
672.7587, 9.442993
673.2408, 8.452698
673.7229, 0.9671020
674.2050, 7.367249
674.6871, 1.114380
675.1693, 1.446777
675.6514, 7.523926
676.1335, 24.87756
676.6156, 33.65851
677.0977, 31.16058
677.5798, 26.09930
678.0620, 20.40942
678.5441, 14.78961
679.0262, 18.22424
679.5083, 31.32715
679.9904, 43.81433
680.4725, 48.15930
680.9547, 46.13098
681.4368, 38.62494
681.9189, 24.91052
682.4010, 14.57159
682.8831, 17.84155
683.3652, 26.00934
683.8474, 30.27893
684.3295, 26.54950
684.8116, 22.23981
685.2937, 15.54846
685.7758, 10.13446
686.2579, 11.75696
686.7401, 23.89764
687.2222, 33.74982
687.7043, 39.43164
688.1864, 41.40845
688.6685, 37.38843
689.1506, 27.98285
689.6328, 22.77203
690.1149, 29.99713
690.5970, 41.35443
691.0791, 44.28455
691.5612, 39.95868
692.0433, 34.28650
692.5255, 27.58856
693.0076, 22.51154
693.4897, 21.49127
693.9718, 25.13025
694.4539, 27.92859
694.9360, 30.48895
695.4182, 30.80603
695.9003, 26.49567
696.3824, 14.95673
696.8645, 10.80865
697.3466, 15.51373
697.8287, 23.72296
698.3109, 30.76685
698.7930, 36.68933
699.2751, 41.82513
699.7572, 46.81458
700.2393, 48.79932
700.7214, 42.46838
701.2036, 31.56073
701.6857, 22.22418
702.1678, 15.34308
702.6499, 11.92841
703.1320, 14.32739
703.6141, 20.44751
704.0963, 25.15149
704.5784, 29.47058
705.0605, 30.30090
705.5426, 25.71753
706.0247, 17.20770
706.5068, 10.80890
706.9890, 6.216980
707.4711, 5.534851
707.9532, 12.66650
708.4353, 23.79144
708.9174, 28.57605
709.3995, 27.47748
