##NAMES=Cobaltlotharmeyerite
##RRUFFID=R070400
##IDEAL CHEMISTRY=CaCo^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Roter Berg District, Schneeberg District, Erzgebirge, Saxony, Germany
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Aggregates of light brown fibers on quartz, associated with metazeunerite R110205
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070400
677.8641, 45.54993
678.3463, 44.59729
678.8284, 44.10681
679.3105, 49.32715
679.7926, 61.91187
680.2747, 71.51770
680.7568, 65.86768
681.2390, 50.63257
681.7211, 39.55518
682.2032, 32.92126
682.6853, 23.07104
683.1674, 4.678345
683.6495, 11.93628
684.1317, 9.046021
684.6138, 19.21667
685.0959, 35.13342
685.5780, 29.93518
686.0601, 22.91882
686.5422, 15.13171
687.0244, 9.872925
687.5065, 13.06152
687.9886, 24.18066
688.4707, 31.16174
688.9528, 19.93555
689.4349, 6.623047
689.9171, 13.64209
690.3992, 33.87744
690.8813, 46.09143
691.3634, 44.52527
691.8455, 36.70898
692.3276, 29.69177
692.8098, 23.39966
693.2919, 16.74194
693.7740, 6.833374
694.2561, 3.050293
694.7382, 15.75549
695.2203, 27.30957
695.7025, 21.32715
696.1846, 3.222168
696.6667, 5.725464
697.1488, 5.040161
697.6309, 18.22058
698.1130, 28.76807
698.5952, 34.09229
699.0773, 26.17761
699.5594, 8.382324
700.0415, 1.706909
700.5236, 7.817627
701.0057, 25.93225
701.4879, 27.60193
701.9700, 11.59717
702.4521, 6.406860
702.9342, 18.69409
703.4163, 31.44495
703.8984, 36.96350
704.3806, 35.08313
704.8627, 24.06958
705.3448, 1.913330
705.8269, 19.66577
706.3090, 20.85632
706.7911, 18.24500
707.2733, 21.03906
707.7554, 24.83875
708.2375, 18.42859
708.7196, 0.8017580
709.2017, 17.20898
709.6838, 10.20203
710.1660, 10.04614
710.6481, 15.24011
711.1302, 5.712891
711.6123, 2.429810
712.0944, 3.178467
712.5765, 1.566162
713.0587, 3.118652
713.5408, 7.886108
714.0229, 13.65039
714.5050, 27.23804
714.9871, 32.30139
715.4692, 16.04602
715.9514, 1.559814
716.4335, 2.237549
716.9156, 11.59216
717.3977, 23.27124
717.8798, 26.52661
718.3619, 24.86121
718.8441, 17.35754
719.3262, 8.208496
719.8083, 5.965942
720.2904, 11.69348
720.7725, 19.11816
721.2546, 23.84583
721.7368, 25.97583
722.2189, 24.91711
722.7010, 19.75159
723.1831, 17.58276
723.6652, 21.61316
724.1473, 23.80627
724.6295, 17.83667
725.1116, 7.619263
725.5937, 1.419434
726.0758, 7.7271000E-02
726.5579, 3.4180000E-02
727.0400, 0.2441410
727.5222, 1.980957
728.0043, 8.083130
728.4864, 15.46643
728.9685, 18.84131
729.4506, 17.02014
729.9327, 13.96021
730.4149, 12.11157
