##NAMES=Pyrochlore
##RRUFFID=R080058
##IDEAL CHEMISTRY=Ca_2_Nb_2_O_7_
##LOCALITY=Samiresy, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange octahedron, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080058
602.4330, 52.49182
602.9151, 50.12671
603.3972, 47.24011
603.8793, 44.27820
604.3615, 40.91382
604.8436, 40.14795
605.3257, 42.67944
605.8078, 47.00427
606.2899, 52.12842
606.7720, 57.38391
607.2542, 59.23096
607.7363, 54.09949
608.2184, 47.26538
608.7005, 44.88208
609.1826, 46.11548
609.6647, 48.11951
610.1469, 50.88794
610.6290, 52.86975
611.1111, 52.82922
611.5932, 50.68713
612.0753, 48.55847
612.5574, 45.40894
613.0396, 43.43628
613.5217, 44.04138
614.0038, 48.78101
614.4859, 52.15649
614.9680, 53.95972
615.4501, 54.65601
615.9323, 54.76917
616.4144, 54.29663
616.8965, 52.65222
617.3786, 48.93103
617.8607, 45.42603
618.3428, 47.86694
618.8250, 54.58557
619.3071, 58.63123
619.7892, 54.18774
620.2713, 47.35339
620.7534, 44.70789
621.2355, 45.31812
621.7177, 44.87256
622.1998, 38.26978
622.6819, 32.52332
623.1640, 32.32214
623.6461, 38.98645
624.1282, 44.52295
624.6104, 48.55823
625.0925, 50.89478
625.5746, 51.16174
626.0567, 48.51294
626.5388, 46.08472
627.0209, 43.84973
627.5031, 42.18152
627.9852, 40.86975
628.4673, 39.63306
628.9494, 40.36780
629.4315, 44.46143
629.9136, 49.22595
630.3958, 49.54736
630.8779, 46.94604
631.3600, 45.72803
631.8421, 51.26147
632.3242, 56.19238
632.8063, 53.35632
633.2885, 44.20032
633.7706, 37.21338
634.2527, 37.22717
634.7348, 39.16528
635.2169, 39.85034
635.6990, 38.20032
636.1812, 39.74158
636.6633, 47.30371
637.1454, 54.62305
637.6275, 56.93994
638.1096, 53.54163
638.5917, 49.82874
639.0739, 45.71204
639.5560, 42.19934
640.0381, 41.09766
640.5202, 41.87793
641.0023, 42.16919
641.4844, 41.50598
641.9666, 39.94641
642.4487, 36.42859
642.9308, 32.05493
643.4129, 29.25256
643.8950, 30.40076
644.3771, 32.04468
644.8593, 32.90930
645.3414, 32.98938
645.8235, 32.47034
646.3056, 30.67419
646.7877, 29.02112
647.2698, 27.90771
647.7520, 27.33215
648.2341, 27.28235
648.7162, 27.80798
649.1983, 28.78394
649.6804, 30.70325
650.1625, 33.07141
650.6447, 32.32959
651.1268, 28.07751
651.6089, 23.21716
652.0910, 20.16956
652.5731, 18.77393
653.0552, 19.06921
653.5374, 21.97351
654.0195, 24.36133
654.5016, 23.48230
654.9837, 21.14612
655.4658, 20.00525
655.9479, 21.96741
656.4301, 23.82861
656.9122, 25.02576
657.3943, 25.70508
657.8764, 26.22742
658.3585, 26.65662
658.8406, 26.69702
659.3228, 25.97339
659.8049, 24.74390
660.2870, 24.69141
660.7691, 25.82727
661.2512, 26.82043
661.7333, 26.46985
662.2155, 25.42236
662.6976, 24.88025
663.1797, 24.86609
663.6618, 25.16321
664.1439, 27.24438
664.6260, 28.60791
665.1082, 26.15759
665.5903, 17.49170
666.0724, 11.89893
666.5545, 15.70142
667.0366, 21.30725
667.5187, 21.53442
668.0009, 12.87878
668.4830, 6.087524
668.9651, 1.514648
669.4472, 0.5390630
669.9293, 1.853027
670.4114, 8.785400
670.8936, 12.43042
671.3757, 9.508667
671.8578, 4.089355
672.3399, 2.290405
672.8220, 3.623901
673.3041, 6.459839
673.7863, 12.94519
674.2684, 18.07800
674.7505, 17.03833
675.2326, 10.93811
675.7147, 5.669434
676.1968, 2.197266
676.6790, 0.6677250
677.1611, 2.013306
677.6432, 6.408447
678.1253, 8.718262
678.6074, 8.448486
679.0895, 6.983398
679.5717, 4.446899
680.0538, 0.8270260
680.5359, 0.4375000
681.0180, 3.762451
681.5001, 7.242065
681.9822, 6.475220
682.4644, 3.427002
682.9465, 2.679565
683.4286, 5.894897
683.9107, 7.869629
684.3928, 2.721313
684.8749, 4.907471
685.3571, 9.459961
685.8392, 6.604492
686.3213, 4.227173
686.8034, 3.478760
687.2855, 3.913452
687.7676, 5.084961
688.2498, 7.662964
688.7319, 9.241333
689.2140, 9.257568
689.6961, 8.015015
690.1782, 5.300659
690.6603, 1.298706
691.1425, 8.0444001E-02
691.6246, 5.598022
