##NAMES=Kleinite
##RRUFFID=R150103
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=Terlingua, Brewster Co., Texas, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of orange short hexagonal prismatic crystals, associated with colorless or white prismatic gypsum. Part of the type find.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R150103
466.3163, 78.65674
466.7985, 77.13916
467.2806, 72.67773
467.7627, 70.31104
468.2448, 71.28979
468.7269, 73.78320
469.2090, 75.43774
469.6912, 76.54688
470.1733, 76.33179
470.6554, 74.29370
471.1375, 70.89160
471.6196, 68.24146
472.1017, 65.54199
472.5839, 65.02075
473.0660, 70.30322
473.5481, 81.54028
474.0302, 86.75635
474.5123, 83.68628
474.9944, 77.84033
475.4766, 78.20728
475.9587, 83.80615
476.4408, 88.20068
476.9229, 87.84668
477.4050, 85.13428
477.8871, 83.33350
478.3693, 82.51855
478.8514, 83.16333
479.3335, 87.62744
479.8156, 92.90845
480.2977, 94.90503
480.7798, 91.93579
481.2620, 88.89966
481.7441, 88.20581
482.2262, 89.21606
482.7083, 91.03882
483.1904, 95.59961
483.6725, 98.71216
484.1547, 97.80615
484.6368, 93.18164
485.1189, 89.77783
485.6010, 89.00269
486.0831, 89.02295
486.5652, 89.01953
487.0474, 89.63818
487.5295, 88.73267
488.0116, 85.24854
488.4937, 80.99170
488.9758, 79.01807
489.4579, 80.85474
489.9401, 80.13477
490.4222, 74.40918
490.9043, 65.07886
491.3864, 58.65674
491.8685, 55.40918
492.3506, 53.20630
492.8328, 50.79907
493.3149, 48.24634
493.7970, 45.76123
494.2791, 43.33691
494.7612, 41.19507
495.2433, 40.27661
495.7255, 39.90259
496.2076, 38.35522
496.6897, 35.15234
497.1718, 30.43213
497.6539, 22.27930
498.1360, 12.12573
498.6182, 5.400146
499.1003, 8.823730
499.5824, 14.10010
500.0645, 14.74023
500.5466, 8.722168
501.0287, 4.175781
501.5109, 5.928467
501.9930, 9.155762
502.4751, 8.988037
502.9572, 1.189697
503.4393, 5.816895
503.9214, 12.03418
504.4036, 16.86304
504.8857, 17.94702
505.3678, 13.19824
505.8499, 8.227783
506.3320, 5.071533
506.8141, 3.751709
507.2963, 4.053711
507.7784, 6.491943
508.2605, 9.074951
508.7426, 9.387451
509.2247, 7.612549
509.7068, 6.525879
510.1890, 6.688477
