##NAMES=Scheelite
##RRUFFID=R150130
##IDEAL CHEMISTRY=CaW^6+^O_4_
##LOCALITY=Tsumeb mine, Tsumeb, Otjikoto Region, Namibia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Golden brown pseudo-octahedral crystals, associated with yellow disc-like siderite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150130
603.0854, 15.27905
603.5675, 12.90369
604.0496, 11.68298
604.5317, 10.24194
605.0139, 7.381958
605.4960, 4.021484
605.9781, 1.746826
606.4602, 0.6584470
606.9423, 0.5142820
607.4244, 2.668823
607.9066, 5.528687
608.3887, 8.018311
608.8708, 10.48608
609.3529, 11.98120
609.8350, 11.32336
610.3171, 10.61987
610.7993, 11.25989
611.2814, 13.23633
611.7635, 16.05164
612.2456, 19.84045
612.7277, 23.57104
613.2098, 24.72546
613.6920, 23.07483
614.1741, 22.02478
614.6562, 22.98792
615.1383, 24.17432
615.6204, 23.49988
616.1025, 21.32068
616.5847, 19.77600
617.0668, 19.38184
617.5489, 19.66162
618.0310, 21.05908
618.5131, 22.76929
618.9952, 22.90869
619.4774, 20.98340
619.9595, 18.77515
620.4416, 18.58044
620.9237, 20.69324
621.4058, 20.90625
621.8879, 17.00781
622.3701, 13.87024
622.8522, 12.27417
623.3343, 12.00208
623.8164, 13.55481
624.2985, 16.69165
624.7806, 18.81091
625.2628, 16.69751
625.7448, 12.08032
626.2269, 9.634155
626.7090, 9.590942
627.1912, 10.24658
627.6733, 11.29883
628.1554, 12.18030
628.6375, 11.98071
629.1196, 10.84888
629.6017, 8.419434
630.0839, 2.199219
630.5660, 3.120850
631.0481, 3.274536
631.5302, 5.6030001E-02
632.0123, 2.587769
632.4944, 2.343384
632.9766, 0.7617190
633.4587, 0.4438480
633.9408, 1.996216
634.4229, 1.533081
634.9050, 2.820557
635.3871, 6.791260
635.8693, 8.424194
636.3514, 8.588501
636.8335, 8.369507
637.3156, 7.833008
637.7977, 7.888550
638.2798, 9.546387
638.7620, 12.21997
639.2441, 14.98682
639.7262, 17.71204
640.2083, 19.61292
640.6904, 19.95789
641.1725, 19.31708
641.6547, 19.62061
642.1368, 22.28290
642.6189, 23.89270
643.1010, 23.52881
643.5831, 22.92090
644.0652, 23.15839
644.5474, 24.08636
645.0295, 24.96613
645.5116, 25.40527
645.9937, 25.68384
646.4758, 26.07227
646.9579, 26.59094
647.4401, 28.32526
647.9222, 32.12195
648.4043, 35.75293
648.8864, 37.52020
649.3685, 37.71704
649.8506, 37.36932
650.3328, 35.86835
650.8149, 34.91937
651.2970, 35.87891
651.7791, 37.45844
652.2612, 37.71552
652.7433, 36.69562
653.2255, 36.41797
653.7076, 38.55927
654.1897, 42.28442
654.6718, 44.22028
655.1539, 43.33276
655.6360, 43.10693
656.1182, 44.25696
656.6003, 46.01965
