##NAMES=Phillipsite-K
##RRUFFID=R140774
##IDEAL CHEMISTRY=K_6_(Si_10_Al_6_)O_32_&#183;12H_2_O
##LOCALITY=Mt Vesuvius, Somma-Vesuvius Complex, Naples Province, Campania, Italy
##OWNER=RRUFF
##SOURCE=Ch. and H. Schäfer
##DESCRIPTION=Radial aggregates of colorless prismatic crystals, associated with calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140774
506.8141, 26.07941
507.2963, 24.07086
507.7784, 21.60632
508.2605, 19.42786
508.7426, 18.55396
509.2247, 18.90680
509.7068, 18.77435
510.1890, 17.63190
510.6711, 16.11829
511.1532, 15.50299
511.6353, 15.60461
512.1174, 15.51874
512.5995, 14.50354
513.0817, 13.19348
513.5638, 12.36798
514.0459, 12.00897
514.5280, 11.67383
515.0101, 11.03967
515.4922, 10.34808
515.9744, 9.816895
516.4565, 9.470703
516.9386, 9.373657
517.4207, 10.04755
517.9028, 10.83258
518.3849, 10.67786
518.8671, 7.871887
519.3492, 5.807007
519.8313, 5.472717
520.3134, 6.748657
520.7955, 7.649048
521.2776, 7.916931
521.7598, 8.127258
522.2419, 8.746216
522.7240, 10.01764
523.2061, 10.28400
523.6882, 9.223572
524.1703, 7.806885
524.6525, 7.427124
525.1346, 8.006348
525.6167, 8.365051
526.0988, 8.176880
526.5809, 7.595642
527.0630, 6.719971
527.5452, 5.628357
528.0273, 4.726868
528.5094, 4.269897
528.9915, 4.127747
529.4736, 4.224792
529.9557, 4.580627
530.4379, 4.912781
530.9200, 4.925476
531.4021, 4.832947
531.8842, 4.858582
532.3663, 5.311707
532.8484, 5.520447
533.3306, 5.191467
533.8127, 4.490295
534.2948, 3.779358
534.7769, 2.918335
535.2590, 2.244080
535.7411, 1.853638
536.2233, 1.758911
536.7054, 1.899719
537.1875, 2.492432
537.6696, 2.865723
538.1517, 2.480591
538.6339, 1.281372
539.1160, 0.2450560
539.5981, 0.5866090
540.0802, 1.167725
540.5623, 1.348816
541.0444, 1.204285
541.5266, 1.176147
542.0087, 1.514465
542.4908, 1.906860
542.9729, 1.917175
543.4550, 1.591919
543.9371, 1.109131
544.4193, 0.1843260
544.9014, 0.5897830
545.3835, 0.5739750
545.8656, 0.3291630
546.3477, 1.127563
546.8298, 1.534241
547.3120, 1.609680
547.7941, 1.396301
548.2762, 0.5107420
548.7583, 0.1300050
549.2404, 0.4852910
549.7225, 0.5488280
550.2047, 0.2779540
550.6868, 0.4915160
551.1689, 1.308472
551.6510, 2.136963
552.1331, 2.917358
552.6152, 3.175354
553.0974, 2.811340
553.5795, 2.381104
554.0616, 2.272644
554.5437, 2.416504
555.0258, 2.476746
555.5079, 2.434570
555.9901, 2.251160
556.4722, 1.782227
556.9543, 1.145142
557.4364, 0.5755620
557.9185, 9.1553003E-02
558.4006, 0.2175900
558.8828, 0.2297360
559.3649, 1.7700000E-03
559.8470, 0.3181150
560.3291, 0.8596190
560.8112, 1.327271
561.2933, 1.703003
561.7755, 1.992126
562.2576, 1.835938
562.7397, 0.6224980
563.2218, 0.5728760
563.7039, 1.213257
564.1860, 1.065369
564.6682, 0.9906010
565.1503, 1.085754
565.6324, 1.153748
566.1145, 0.8317260
566.5966, 5.0170999E-02
567.0787, 0.3452760
567.5609, 5.8959998E-02
568.0430, 0.5862430
568.5251, 0.9284060
569.0072, 0.9974370
569.4893, 0.9506230
569.9714, 0.7140500
570.4536, 0.4901730
570.9357, 0.6679690
571.4178, 1.219055
571.8999, 1.677673
572.3820, 1.724304
572.8641, 1.539001
573.3463, 1.199219
573.8284, 0.5270390
574.3105, 0.2072750
574.7926, 0.7049560
575.2747, 1.564880
575.7568, 2.215149
576.2390, 2.643616
576.7211, 2.801819
577.2032, 2.493225
577.6853, 1.925659
578.1674, 1.861572
578.6495, 2.463623
579.1317, 3.108459
579.6138, 3.611694
580.0959, 3.957947
580.5780, 3.932983
581.0601, 3.513428
581.5422, 3.033203
582.0244, 2.716187
582.5065, 2.562866
582.9886, 2.575378
583.4707, 2.765381
583.9528, 3.085144
584.4349, 3.533875
584.9171, 4.074768
585.3992, 4.659546
585.8813, 5.718933
586.3634, 6.327454
586.8455, 5.557007
587.3276, 3.987427
587.8098, 3.235352
588.2919, 4.642334
588.7740, 5.840271
589.2561, 5.977539
589.7382, 5.025391
590.2203, 4.595947
590.7025, 4.868713
591.1846, 5.338501
591.6667, 5.817749
592.1488, 6.348877
592.6309, 6.159485
593.1130, 5.068665
593.5952, 3.861084
594.0773, 3.519592
594.5594, 3.890259
595.0415, 4.412476
595.5236, 5.085327
596.0057, 5.607727
596.4879, 5.427246
596.9700, 4.826233
597.4521, 4.453125
597.9342, 4.887024
598.4163, 5.387268
598.8984, 5.558716
599.3806, 5.413635
599.8627, 5.183167
600.3448, 4.717285
600.8269, 4.355347
601.3090, 4.286072
601.7911, 4.602112
602.2733, 4.861938
602.7554, 5.003662
603.2375, 5.120972
603.7196, 5.260986
604.2017, 5.397034
604.6838, 5.712219
605.1660, 6.305908
605.6481, 6.981689
606.1302, 7.504333
606.6123, 7.836975
607.0944, 7.816650
607.5765, 6.864685
608.0587, 6.060425
608.5408, 7.227783
609.0229, 9.716370
609.5050, 11.31781
609.9871, 10.04407
610.4692, 8.223999
610.9514, 7.283081
611.4335, 7.360168
611.9156, 7.414063
612.3977, 7.256226
612.8798, 6.972168
613.3619, 6.605957
613.8441, 6.123169
614.3262, 5.690308
614.8083, 5.295349
615.2904, 4.996643
615.7725, 4.825867
616.2546, 4.766418
616.7368, 5.042908
617.2189, 5.825867
617.7010, 6.734863
618.1831, 7.061401
618.6652, 6.864075
619.1473, 6.583618
619.6295, 6.449097
620.1116, 6.342346
620.5937, 6.196594
621.0758, 5.985901
621.5579, 5.738159
622.0400, 5.447144
622.5222, 5.117188
623.0043, 4.674255
623.4864, 4.037659
623.9685, 3.686890
624.4506, 3.563049
624.9327, 3.784912
625.4149, 4.637634
625.8970, 6.682251
626.3791, 7.556580
626.8612, 6.809326
627.3433, 5.463196
627.8254, 4.949402
628.3076, 5.232483
628.7897, 5.627686
629.2718, 6.107117
629.7539, 6.474731
630.2360, 6.205200
630.7181, 5.481018
631.2003, 4.946960
631.6824, 4.830139
632.1645, 5.101013
632.6466, 6.179565
633.1287, 7.900085
633.6108, 8.938538
634.0930, 7.982300
634.5751, 6.904907
635.0572, 6.690308
635.5393, 7.558228
636.0214, 8.283936
636.5035, 8.880676
636.9857, 9.420288
637.4678, 9.956116
637.9499, 10.49042
638.4320, 10.77454
638.9141, 10.76611
639.3962, 10.54443
639.8784, 10.00537
640.3605, 9.282471
640.8426, 9.018311
641.3247, 9.625977
641.8068, 10.32867
642.2889, 10.25909
642.7711, 9.616028
643.2532, 8.865479
643.7353, 7.862610
644.2174, 7.122498
644.6995, 7.073547
645.1816, 7.579773
645.6638, 7.822021
646.1459, 7.583313
646.6280, 7.233521
647.1101, 6.809021
647.5922, 6.287170
648.0743, 5.944824
648.5565, 5.752197
649.0386, 5.838440
649.5207, 6.509521
650.0028, 7.644958
650.4849, 8.159180
650.9670, 7.896851
651.4492, 7.370056
651.9313, 7.123230
652.4134, 7.044250
652.8955, 6.873108
653.3776, 6.486694
653.8597, 6.142883
654.3419, 5.970642
654.8240, 5.945679
655.3061, 6.039856
655.7882, 6.568115
656.2703, 6.904907
656.7524, 6.804138
657.2346, 6.418884
657.7167, 6.226440
658.1988, 6.413330
658.6809, 6.363403
659.1630, 5.773865
