##NAMES=Muirite
##RRUFFID=R140248
##IDEAL CHEMISTRY=Ba_10_Ca_2_Mn^2+^Ti^4+^Si_10_O_30_(OH)_10_
##LOCALITY=Esquire No. 7 Claim, Big Creek, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Scattered orange grains and aggregates associated with taramellite, walstromite and sanbornite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140248
662.3857, 6.864563
662.8678, 8.221497
663.3499, 6.128418
663.8320, 4.618774
664.3141, 4.346985
664.7963, 4.612305
665.2784, 4.874268
665.7605, 5.090454
666.2426, 5.500854
666.7247, 6.358521
667.2068, 7.314209
667.6890, 7.793030
668.1711, 7.809998
668.6532, 7.512329
669.1353, 6.874939
669.6174, 5.908447
670.0995, 4.527405
670.5817, 2.829529
671.0638, 1.576965
671.5459, 1.338745
672.0280, 0.8397220
672.5101, 0.4542850
672.9922, 2.124512
673.4744, 3.438538
673.9565, 4.539917
674.4386, 6.522461
674.9207, 10.32452
675.4028, 15.46118
675.8849, 20.47687
676.3671, 25.43066
676.8492, 29.98901
677.3313, 33.87372
677.8134, 37.59705
678.2955, 41.46307
678.7776, 45.49347
679.2598, 49.73615
679.7419, 53.79523
680.2240, 58.60114
680.7061, 65.03656
681.1882, 72.41943
681.6703, 79.55646
682.1525, 86.33228
682.6346, 93.81482
683.1167, 102.8800
683.5988, 113.3758
684.0809, 124.5771
684.5630, 136.1614
685.0452, 149.1213
685.5273, 162.9372
686.0094, 178.6843
686.4915, 198.0807
686.9736, 219.9958
687.4557, 241.2784
687.9379, 260.3754
688.4200, 279.0175
688.9021, 300.0629
689.3842, 321.5390
689.8663, 339.1497
690.3484, 352.1500
690.8306, 360.7604
691.3127, 365.8560
691.7948, 366.3290
692.2769, 356.3859
692.7590, 330.1300
693.2411, 302.4382
693.7233, 272.4905
694.2054, 243.0080
694.6875, 214.8916
695.1696, 188.5193
695.6517, 164.5456
696.1339, 143.3261
696.6160, 124.3475
697.0981, 106.7854
697.5802, 90.93475
698.0623, 77.59088
698.5444, 66.97778
699.0266, 58.72906
699.5087, 52.98145
