##NAMES=Uramarsite
##RRUFFID=R061122
##IDEAL CHEMISTRY=N^3-^H_4_(U^6+^O_2_)As^5+^O_4_&#183;3H_2_O
##LOCALITY=Bota-Burum Uranium deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brownish green cleavage fragment, co-type material
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061122
461.5215, 559.7947
462.0036, 569.1584
462.4857, 570.4578
462.9679, 560.3402
463.4500, 555.7231
463.9321, 563.7031
464.4142, 573.1436
464.8963, 575.5441
465.3784, 572.0543
465.8606, 568.6620
466.3427, 569.1101
466.8248, 572.3548
467.3069, 574.9319
467.7890, 577.3292
468.2711, 578.0573
468.7533, 577.9123
469.2354, 575.5453
469.7175, 566.8099
470.1996, 553.3328
470.6817, 544.8381
471.1638, 553.3649
471.6460, 572.0448
472.1281, 579.3890
472.6102, 573.5782
473.0923, 566.0931
473.5744, 561.3650
474.0565, 559.1276
474.5387, 558.2747
475.0208, 558.4736
475.5029, 560.8996
475.9850, 569.5020
476.4671, 578.9444
476.9492, 581.0938
477.4313, 575.4303
477.9135, 568.8623
478.3956, 567.3617
478.8777, 570.5676
479.3598, 572.2331
479.8419, 572.8590
480.3240, 571.2054
480.8062, 564.7199
481.2883, 557.1284
481.7704, 552.0336
482.2525, 550.2892
482.7346, 550.6935
483.2167, 552.5198
483.6989, 555.6547
484.1810, 558.8984
484.6631, 563.4105
485.1452, 565.5768
485.6273, 558.9011
486.1094, 549.5983
486.5916, 548.7419
487.0737, 563.2292
487.5558, 575.5191
488.0379, 572.5449
488.5200, 559.9937
489.0021, 548.0380
489.4843, 538.8107
489.9664, 534.0573
490.4485, 536.8431
490.9306, 547.9749
491.4127, 551.6495
491.8948, 538.5523
492.3770, 529.9711
492.8591, 537.1124
493.3412, 550.0362
493.8233, 555.2693
494.3054, 548.7913
494.7875, 538.1149
495.2697, 532.7859
495.7518, 533.0622
496.2339, 532.8505
496.7160, 532.9611
497.1981, 530.9695
497.6802, 522.7413
498.1624, 512.2311
498.6445, 506.8375
499.1266, 510.4981
499.6087, 515.4199
500.0908, 514.3627
500.5729, 510.0714
501.0551, 510.6032
501.5372, 518.2665
502.0193, 526.1685
502.5014, 527.0873
502.9835, 520.4391
503.4656, 513.9453
503.9478, 507.1305
504.4299, 500.9915
504.9120, 493.7901
505.3941, 488.2615
505.8762, 489.8826
506.3583, 499.8622
506.8405, 510.4255
507.3226, 510.3742
507.8047, 499.0742
508.2868, 489.6081
508.7689, 481.5362
509.2510, 476.6696
509.7332, 477.3727
510.2153, 481.3942
510.6974, 485.0175
511.1795, 487.2692
511.6616, 489.2416
512.1437, 493.1429
512.6259, 497.1632
513.1080, 496.0270
513.5901, 488.4585
514.0722, 480.3597
514.5543, 477.4176
515.0364, 479.7959
515.5186, 482.1686
516.0007, 488.2514
516.4828, 489.9370
516.9649, 478.6508
517.4470, 464.9633
517.9291, 463.9422
518.4113, 478.3319
518.8934, 494.0153
519.3755, 492.6522
519.8576, 475.1932
520.3397, 467.8699
520.8218, 476.3707
521.3040, 483.2151
521.7861, 473.0926
522.2682, 457.6053
522.7503, 454.7238
523.2324, 471.4433
523.7145, 487.6982
524.1967, 493.0872
524.6788, 491.3333
525.1609, 486.9553
525.6430, 480.9751
526.1251, 475.4575
526.6072, 471.9878
527.0894, 470.4420
527.5715, 469.8219
528.0536, 471.2444
528.5357, 472.1983
529.0178, 474.8861
529.4999, 475.3987
529.9821, 466.3941
530.4642, 449.4663
530.9463, 438.3869
531.4284, 449.7339
531.9105, 474.9014
532.3926, 482.6336
532.8748, 469.2947
533.3569, 458.9670
533.8390, 463.0002
534.3211, 475.0284
534.8032, 484.7081
535.2853, 492.0750
535.7675, 497.1307
536.2496, 500.1654
536.7317, 500.6839
537.2138, 496.7433
537.6959, 489.5519
538.1780, 483.2064
538.6602, 480.0923
539.1423, 479.5456
539.6244, 479.7971
540.1065, 480.9177
540.5886, 482.7009
541.0707, 487.3510
541.5529, 490.6672
542.0350, 488.8934
542.5171, 483.6676
542.9992, 480.4231
543.4813, 482.8831
543.9634, 487.1398
544.4456, 488.2235
544.9277, 486.5244
545.4098, 484.2895
545.8919, 481.9268
546.3740, 480.0191
546.8561, 479.2437
547.3383, 479.7067
547.8204, 480.9441
548.3025, 484.5634
548.7846, 487.1877
549.2667, 487.0859
549.7488, 485.2065
550.2310, 482.7710
550.7131, 480.2606
551.1952, 477.8435
551.6773, 475.2115
552.1594, 472.3438
552.6415, 472.1900
553.1237, 475.1872
553.6058, 480.1695
554.0879, 491.5753
554.5700, 503.0686
555.0521, 503.4770
555.5342, 486.7943
556.0164, 472.2601
556.4985, 470.6400
556.9806, 476.2680
557.4627, 482.5240
557.9448, 488.2100
558.4269, 493.3872
558.9091, 498.4036
559.3912, 502.5296
559.8733, 501.8001
560.3554, 490.4373
560.8375, 483.9779
561.3196, 487.0643
561.8018, 492.3713
562.2839, 495.1631
562.7660, 495.3995
563.2481, 495.4659
563.7302, 498.3470
564.2123, 500.4458
564.6945, 493.9704
565.1766, 479.9266
565.6587, 468.9454
566.1408, 464.2932
566.6229, 464.8088
567.1050, 470.6368
567.5872, 483.8376
568.0693, 489.6634
568.5514, 480.4110
569.0335, 471.9913
569.5156, 471.3076
569.9977, 476.0322
570.4799, 483.1137
570.9620, 491.2664
571.4441, 498.6270
571.9262, 502.5736
572.4083, 503.2039
572.8904, 503.3972
573.3726, 502.9384
573.8547, 502.6492
574.3368, 503.0946
574.8189, 503.9333
575.3010, 504.5954
575.7831, 504.9697
576.2653, 505.4001
576.7474, 504.4255
577.2295, 504.5695
577.7116, 510.9540
578.1937, 522.0158
578.6758, 529.4093
579.1580, 527.5034
579.6401, 519.2458
580.1222, 513.2227
580.6042, 510.1491
581.0864, 507.5342
581.5685, 502.5613
582.0506, 500.4013
582.5327, 506.1603
583.0148, 517.1182
583.4969, 525.3577
583.9791, 526.2875
584.4612, 525.4884
584.9433, 529.4744
585.4254, 536.0093
585.9075, 538.3630
586.3896, 534.8771
586.8718, 528.3058
587.3539, 520.2424
587.8360, 510.7757
588.3181, 508.6946
588.8002, 524.9630
589.2823, 534.9972
589.7645, 529.7192
590.2466, 520.0498
590.7287, 515.4336
591.2108, 517.3800
591.6929, 522.9500
592.1750, 533.4838
592.6572, 544.7325
593.1393, 545.2927
593.6214, 535.2287
594.1035, 527.2281
594.5856, 526.5916
595.0677, 529.2487
595.5499, 528.6432
596.0320, 522.8672
596.5141, 522.7039
596.9962, 534.8782
597.4783, 545.8508
597.9604, 546.6299
598.4426, 542.8742
598.9247, 545.2697
599.4068, 557.0502
599.8889, 568.9987
600.3710, 568.4159
600.8531, 556.8405
601.3353, 551.0505
601.8174, 553.6793
602.2995, 554.3531
602.7816, 544.9283
603.2637, 531.6634
603.7458, 528.0427
604.2280, 537.9500
604.7101, 544.8679
605.1922, 540.3873
605.6743, 535.0383
606.1564, 539.6865
606.6385, 551.1255
607.1207, 557.7679
607.6028, 553.4083
608.0849, 544.8436
608.5670, 545.9639
609.0491, 558.6773
609.5313, 565.5571
610.0134, 562.6097
610.4955, 557.9022
610.9776, 555.1136
611.4597, 554.2571
611.9418, 556.1694
612.4240, 563.5153
612.9061, 568.1893
613.3882, 563.2183
613.8703, 555.4481
614.3524, 554.3755
614.8345, 559.7193
615.3167, 563.6465
615.7988, 560.6523
616.2809, 553.3375
616.7630, 549.2531
617.2451, 548.5047
617.7272, 550.7833
618.2094, 558.6389
618.6915, 566.8740
619.1736, 573.0994
619.6557, 577.2219
620.1378, 579.0396
620.6199, 576.8345
621.1021, 574.8931
621.5842, 576.6656
622.0663, 580.3792
622.5484, 583.0885
623.0305, 584.2951
623.5126, 585.0226
623.9948, 586.1502
624.4769, 587.4706
624.9590, 587.8710
625.4411, 587.4996
625.9232, 585.9069
626.4053, 579.6316
626.8875, 574.9487
627.3696, 577.7694
627.8517, 586.2010
628.3338, 592.1246
628.8159, 592.5375
629.2980, 589.2553
629.7802, 580.3670
630.2623, 569.4731
630.7444, 565.5789
631.2265, 570.4553
631.7086, 576.8309
632.1907, 577.8132
632.6729, 574.0352
633.1550, 572.4048
633.6371, 574.6912
634.1192, 576.0154
634.6013, 573.7779
635.0834, 571.7007
635.5656, 573.9546
636.0477, 579.4989
636.5298, 581.9975
637.0119, 576.0891
637.4940, 568.4127
637.9761, 564.5876
638.4583, 563.9673
638.9404, 566.4044
639.4225, 571.6839
639.9046, 574.1257
640.3867, 566.5445
640.8688, 550.0029
641.3510, 544.3997
641.8331, 561.1888
642.3152, 569.7269
642.7973, 555.3950
643.2794, 537.8896
643.7615, 533.5006
644.2437, 541.5106
644.7258, 548.9724
645.2079, 549.1634
645.6900, 546.9507
646.1721, 545.8416
646.6542, 546.0583
647.1364, 549.5884
647.6185, 556.7673
648.1006, 561.7200
648.5827, 557.5374
649.0648, 545.0093
649.5469, 537.4590
650.0291, 536.6964
650.5112, 537.9362
650.9933, 545.8284
651.4754, 551.0172
651.9575, 542.4653
652.4396, 522.4179
652.9218, 508.5775
653.4039, 512.0422
653.8860, 521.1182
654.3681, 527.7799
654.8502, 532.3372
655.3323, 535.6270
655.8145, 537.8536
656.2966, 538.7002
656.7787, 537.8646
657.2608, 535.3527
657.7429, 530.9789
658.2250, 522.8207
658.7072, 516.8987
659.1893, 515.2104
659.6714, 515.7586
660.1535, 517.9344
660.6356, 521.3507
661.1177, 524.1531
661.5999, 527.0176
662.0820, 527.7848
662.5641, 523.1787
663.0462, 516.0473
663.5283, 510.7343
664.0104, 508.3205
664.4926, 509.0627
664.9747, 514.0566
665.4568, 521.5872
665.9389, 523.0462
666.4210, 516.9828
666.9031, 509.1035
667.3853, 494.4104
667.8674, 484.8588
668.3495, 496.0507
668.8316, 522.1428
669.3137, 536.4155
669.7958, 525.2784
670.2780, 511.1722
670.7601, 503.2439
671.2422, 498.8165
671.7243, 495.1788
672.2064, 491.5732
672.6885, 487.0164
673.1707, 479.8760
673.6528, 473.3426
674.1349, 478.7528
674.6170, 498.1633
675.0991, 508.5909
675.5812, 502.9163
676.0634, 492.9262
676.5455, 485.4965
677.0276, 481.3565
677.5097, 483.1631
677.9918, 498.2028
678.4739, 509.0011
678.9561, 508.5383
679.4382, 504.2422
679.9203, 503.1360
680.4024, 504.3995
680.8845, 502.2577
681.3666, 492.8580
681.8488, 481.4236
682.3309, 476.2923
682.8130, 476.8694
683.2951, 478.7042
683.7772, 481.5923
684.2593, 483.7575
684.7415, 483.4807
685.2236, 481.8958
685.7057, 483.0136
686.1878, 492.0284
686.6699, 494.8298
687.1520, 486.8378
687.6342, 476.7256
688.1163, 465.3638
688.5984, 456.5346
689.0805, 458.3855
689.5626, 475.0558
690.0447, 491.5051
690.5269, 492.2426
691.0090, 482.7024
691.4911, 472.8450
691.9732, 463.9255
692.4553, 461.5103
692.9374, 469.6034
693.4196, 481.6002
693.9017, 484.4576
694.3838, 475.1823
694.8659, 467.8336
695.3480, 464.1373
695.8301, 460.3826
696.3123, 453.5984
696.7944, 447.0643
697.2765, 443.9489
697.7586, 444.7542
698.2407, 451.2279
698.7228, 474.9214
699.2050, 496.2243
699.6871, 488.8860
700.1692, 463.0255
700.6513, 448.2631
701.1334, 454.1476
701.6155, 464.9772
702.0977, 461.6289
702.5798, 445.5225
703.0619, 436.9362
703.5440, 437.7375
704.0261, 440.7276
704.5082, 445.9561
704.9904, 450.4108
705.4725, 449.5225
705.9546, 443.8435
706.4367, 441.0976
706.9188, 443.9168
707.4009, 448.0016
707.8831, 452.6651
708.3652, 456.9945
708.8473, 460.5424
709.3294, 462.8654
709.8115, 462.5611
710.2936, 457.7308
710.7758, 451.3680
711.2579, 449.7507
711.7400, 452.3659
712.2221, 452.7612
712.7042, 448.7272
713.1863, 448.3912
713.6685, 460.1839
714.1506, 480.3326
714.6327, 490.2731
715.1148, 483.7986
715.5969, 476.2399
716.0790, 463.8086
716.5612, 454.3604
717.0433, 455.1665
717.5254, 461.6999
718.0075, 463.6983
718.4896, 456.7831
718.9717, 450.3054
719.4539, 453.9915
719.9360, 461.0422
720.4181, 459.1087
720.9002, 449.6161
721.3823, 444.5748
