##NAMES=Galeite
##RRUFFID=R130025
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless hexagonal prisms with tapering pyramidal terminations, associated with gaylussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130025
4.257883e+002, 1.984893e+002
4.262704e+002, 1.978391e+002
4.267526e+002, 1.972442e+002
4.272347e+002, 1.971880e+002
4.277168e+002, 1.977095e+002
4.281989e+002, 1.981072e+002
4.286810e+002, 1.979722e+002
4.291631e+002, 1.974807e+002
4.296453e+002, 1.970763e+002
4.301274e+002, 1.967962e+002
4.306095e+002, 1.965199e+002
4.310916e+002, 1.960553e+002
4.315737e+002, 1.955723e+002
4.320558e+002, 1.954438e+002
4.325380e+002, 1.957815e+002
4.330201e+002, 1.963519e+002
4.335022e+002, 1.969741e+002
4.339843e+002, 1.976799e+002
4.344664e+002, 1.980036e+002
4.349485e+002, 1.976688e+002
4.354307e+002, 1.971672e+002
4.359128e+002, 1.967574e+002
4.363949e+002, 1.964559e+002
4.368770e+002, 1.962448e+002
4.373591e+002, 1.961265e+002
4.378412e+002, 1.960661e+002
4.383234e+002, 1.959326e+002
4.388055e+002, 1.955585e+002
4.392876e+002, 1.953285e+002
4.397697e+002, 1.953786e+002
4.402518e+002, 1.955233e+002
4.407339e+002, 1.955585e+002
4.412160e+002, 1.954602e+002
4.416982e+002, 1.953948e+002
4.421803e+002, 1.955734e+002
4.426624e+002, 1.960478e+002
4.431445e+002, 1.963958e+002
4.436266e+002, 1.964769e+002
4.441087e+002, 1.965761e+002
4.445909e+002, 1.967889e+002
4.450730e+002, 1.970755e+002
4.455551e+002, 1.973577e+002
4.460372e+002, 1.975898e+002
4.465193e+002, 1.978148e+002
4.470014e+002, 1.981465e+002
4.474836e+002, 1.986427e+002
4.479657e+002, 1.990719e+002
4.484478e+002, 1.991256e+002
4.489299e+002, 1.992980e+002
4.494120e+002, 2.000938e+002
4.498941e+002, 2.014460e+002
4.503763e+002, 2.026306e+002
4.508584e+002, 2.028401e+002
4.513405e+002, 2.023726e+002
4.518226e+002, 2.025197e+002
4.523047e+002, 2.034321e+002
4.527868e+002, 2.046358e+002
4.532690e+002, 2.059837e+002
4.537511e+002, 2.074162e+002
4.542332e+002, 2.088583e+002
4.547153e+002, 2.102778e+002
4.551974e+002, 2.117222e+002
