##NAMES=Diopside
##RRUFFID=R110128
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Alchori, Pakistan
##OWNER=RRUFF
##SOURCE=Jack Lowell
##DESCRIPTION=Dark green prismatic crystals associated with pale brown epidote, R110127
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110128
497.0637, 73.60371
497.5458, 73.85950
498.0279, 74.03678
498.5100, 74.23227
498.9921, 74.43799
499.4742, 74.60863
499.9564, 74.64395
500.4385, 74.90418
500.9206, 75.74510
501.4027, 76.58466
501.8848, 76.97568
502.3669, 76.97768
502.8491, 77.04746
503.3312, 77.60423
503.8133, 78.43208
504.2954, 78.95155
504.7775, 79.13700
505.2596, 79.12212
505.7418, 78.88550
506.2239, 78.51807
506.7060, 78.13927
507.1881, 77.74365
507.6702, 77.38933
508.1523, 77.14956
508.6345, 76.95577
509.1166, 76.70132
509.5987, 76.36917
510.0808, 75.95161
510.5629, 75.35902
511.0450, 74.64854
511.5272, 74.41140
512.0093, 75.12012
512.4914, 75.67273
512.9735, 75.59717
513.4556, 75.24375
513.9377, 75.05964
514.4199, 75.17110
514.9020, 75.44615
515.3841, 75.73476
515.8662, 76.04533
516.3483, 76.30952
516.8304, 76.51276
517.3126, 76.68215
517.7947, 76.80571
518.2768, 76.90470
518.7589, 77.01548
519.2410, 77.15426
519.7231, 77.28026
520.2053, 77.28299
520.6874, 77.14091
521.1695, 77.21890
521.6516, 77.77186
522.1337, 78.28696
522.6158, 78.31089
523.0980, 78.01660
523.5801, 77.90984
524.0622, 78.30937
524.5443, 78.83285
525.0264, 79.04607
525.5085, 79.00512
525.9907, 79.04492
526.4728, 79.31163
526.9549, 79.64671
527.4370, 79.83157
527.9191, 79.87014
528.4012, 79.76487
528.8834, 79.27396
529.3655, 78.84653
529.8476, 78.90493
530.3297, 79.30302
530.8118, 79.58919
531.2939, 79.52010
531.7761, 79.19482
532.2582, 78.85580
532.7403, 78.46688
533.2224, 78.13192
533.7045, 77.79358
534.1866, 77.55171
534.6688, 77.52694
535.1509, 77.65696
535.6330, 77.75795
536.1151, 77.70723
536.5972, 77.55014
537.0793, 77.40381
537.5615, 77.27308
538.0436, 77.13569
538.5257, 76.93950
539.0078, 76.77504
539.4899, 76.78170
539.9720, 76.94631
540.4542, 76.98646
540.9363, 76.56789
541.4184, 76.04256
541.9005, 76.01991
542.3826, 76.48775
542.8647, 76.79375
543.3469, 76.51800
543.8290, 75.94638
544.3111, 75.86564
544.7932, 76.57359
545.2753, 76.99754
545.7574, 76.83366
546.2396, 76.43686
546.7217, 76.00609
547.2038, 75.61731
547.6859, 75.41142
548.1680, 75.51370
548.6501, 75.82256
549.1323, 75.86844
549.6144, 75.40549
550.0965, 75.10571
550.5786, 75.25095
551.0607, 75.40473
551.5428, 75.10323
552.0250, 74.42959
552.5071, 73.99399
552.9892, 74.41650
553.4713, 75.34587
553.9534, 75.68155
554.4355, 75.28163
554.9177, 75.01353
555.3998, 75.36553
555.8819, 75.92173
556.3640, 76.10691
556.8461, 75.87393
557.3282, 75.59449
557.8104, 75.41687
558.2925, 75.26533
558.7746, 74.95194
559.2567, 74.51855
559.7388, 74.38777
560.2209, 74.89115
560.7031, 75.75404
561.1852, 76.10012
561.6673, 75.42094
562.1494, 74.92627
562.6315, 74.70964
563.1136, 74.62110
563.5958, 74.59245
564.0779, 74.59345
564.5600, 74.59927
565.0421, 74.60568
565.5242, 74.58065
566.0063, 74.38820
566.4885, 73.94569
566.9706, 73.57968
567.4527, 73.40856
567.9348, 73.31275
568.4169, 73.27873
568.8990, 73.27498
569.3812, 73.13586
569.8633, 72.70798
570.3454, 72.13106
570.8275, 71.55748
571.3096, 70.99771
571.7917, 70.56928
572.2739, 70.35353
572.7560, 70.23686
573.2381, 69.99965
573.7202, 69.58488
574.2023, 69.27807
574.6844, 69.12415
575.1666, 69.06899
575.6487, 69.20142
576.1308, 69.40040
576.6129, 69.36131
577.0950, 68.91609
577.5771, 68.24513
578.0593, 67.74360
578.5414, 67.46431
579.0235, 67.21008
579.5056, 67.03986
579.9877, 66.82828
580.4698, 66.43230
580.9520, 65.95483
581.4341, 65.64494
581.9162, 65.67044
582.3983, 65.79199
582.8804, 65.67085
583.3625, 65.33054
583.8447, 65.02308
584.3268, 64.80150
584.8089, 64.64005
585.2910, 64.51788
585.7731, 64.43595
586.2552, 64.40805
586.7374, 64.65555
587.2195, 64.72780
587.7016, 64.11580
588.1837, 63.24096
588.6658, 62.92251
589.1479, 63.38240
589.6301, 64.04034
590.1122, 64.15397
590.5943, 63.63917
591.0764, 63.38567
591.5585, 63.68959
592.0406, 63.91408
592.5228, 63.81088
593.0049, 63.59444
593.4870, 63.56606
593.9691, 63.79539
594.4512, 63.98861
594.9333, 63.86451
595.4155, 63.46783
595.8976, 62.90268
596.3797, 62.07402
596.8618, 61.54536
597.3439, 61.80325
597.8260, 62.54072
598.3082, 62.97058
598.7903, 62.98740
599.2724, 62.96575
599.7545, 63.06501
600.2366, 63.16156
600.7188, 63.08673
601.2009, 62.85692
601.6830, 62.63099
602.1651, 62.50666
602.6472, 62.48818
603.1293, 62.60307
603.6115, 62.95708
604.0936, 63.25061
604.5757, 63.51883
605.0578, 63.67982
605.5399, 63.62630
606.0220, 63.41385
606.5042, 63.21180
606.9863, 63.10896
607.4684, 63.07595
607.9505, 63.04388
608.4326, 63.01595
608.9147, 63.12792
609.3969, 63.45888
609.8790, 63.86180
610.3611, 64.22184
610.8432, 64.53592
611.3253, 64.69487
611.8074, 64.41512
612.2896, 64.26171
612.7717, 64.77437
613.2538, 65.54636
613.7359, 65.79314
614.2180, 65.31383
614.7001, 64.67541
615.1823, 64.54073
615.6644, 64.92998
616.1465, 65.41470
616.6286, 66.18722
617.1107, 66.77935
617.5928, 66.95245
618.0750, 66.96679
618.5571, 67.07920
619.0392, 67.33916
619.5213, 67.65123
620.0034, 68.00542
620.4855, 68.34521
620.9677, 68.50772
621.4498, 68.47999
621.9319, 68.46636
622.4140, 68.53152
622.8961, 68.70964
623.3782, 69.11226
623.8604, 69.82095
624.3425, 70.46404
624.8246, 70.95832
625.3067, 71.40771
625.7888, 71.91422
626.2709, 72.43198
626.7531, 72.81257
627.2352, 72.97610
627.7173, 73.09531
628.1994, 73.50891
628.6815, 74.28136
629.1636, 74.99369
629.6458, 75.58702
630.1279, 76.15974
630.6100, 76.73560
631.0921, 77.33447
631.5742, 77.99218
632.0563, 78.72649
632.5385, 79.49422
633.0206, 80.25295
633.5027, 81.02468
633.9848, 81.91936
634.4669, 82.94474
634.9490, 83.81409
635.4312, 84.26311
635.9133, 84.42605
636.3954, 84.94897
636.8775, 85.95646
637.3596, 87.18014
637.8417, 88.85549
638.3239, 90.54159
638.8060, 91.84747
639.2881, 92.86831
639.7702, 93.97012
640.2523, 95.35699
640.7344, 96.98431
641.2166, 98.74525
641.6987, 100.6430
642.1808, 102.7485
642.6629, 105.0885
643.1450, 107.6377
643.6271, 110.2878
644.1093, 113.1148
644.5914, 116.4523
645.0735, 120.6413
645.5556, 124.9915
646.0377, 128.9738
646.5198, 133.0084
647.0020, 137.7141
647.4841, 143.1643
647.9662, 149.0182
648.4483, 154.9983
648.9304, 161.0744
649.4125, 167.2826
649.8947, 173.3741
650.3768, 180.0080
650.8589, 187.5914
