##NAMES=Metarauchite
##RRUFFID=R120114
##IDEAL CHEMISTRY=Ni^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Schweizer vein, 90 level, Eduard mine, Jachymov, Krusne Hory Mts., Czech Republic
##OWNER=RRUFF
##SOURCE=Dr Peter Kolesar
##DESCRIPTION=Aggregates of yellow play crystals, associated with green platy metazeunerite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120114
3.423042e+002, 6.230093e+003
3.427863e+002, 6.230038e+003
3.432684e+002, 6.230410e+003
3.437505e+002, 6.230987e+003
3.442327e+002, 6.231589e+003
3.447148e+002, 6.231664e+003
3.451969e+002, 6.230909e+003
3.456790e+002, 6.230083e+003
3.461611e+002, 6.230335e+003
3.466432e+002, 6.231461e+003
3.471254e+002, 6.232099e+003
3.476075e+002, 6.233057e+003
3.480896e+002, 6.232772e+003
3.485717e+002, 6.228454e+003
3.490538e+002, 6.219713e+003
3.495359e+002, 6.210736e+003
3.500181e+002, 6.204571e+003
3.505002e+002, 6.200793e+003
3.509823e+002, 6.196916e+003
3.514644e+002, 6.193089e+003
3.519465e+002, 6.188919e+003
3.524286e+002, 6.183065e+003
3.529108e+002, 6.176209e+003
3.533929e+002, 6.171777e+003
3.538750e+002, 6.172156e+003
3.543571e+002, 6.175330e+003
3.548392e+002, 6.175756e+003
3.553214e+002, 6.170955e+003
3.558035e+002, 6.169174e+003
3.562856e+002, 6.177303e+003
3.567677e+002, 6.189737e+003
3.572498e+002, 6.195930e+003
3.577319e+002, 6.192463e+003
3.582141e+002, 6.184459e+003
3.586962e+002, 6.177962e+003
3.591783e+002, 6.172688e+003
3.596604e+002, 6.170732e+003
3.601425e+002, 6.175011e+003
3.606246e+002, 6.181099e+003
3.611068e+002, 6.185074e+003
3.615889e+002, 6.186570e+003
3.620710e+002, 6.186981e+003
3.625531e+002, 6.187532e+003
3.630352e+002, 6.188151e+003
3.635173e+002, 6.187314e+003
3.639995e+002, 6.183234e+003
3.644816e+002, 6.179599e+003
3.649637e+002, 6.177111e+003
3.654458e+002, 6.176400e+003
3.659279e+002, 6.179396e+003
3.664100e+002, 6.187583e+003
3.668922e+002, 6.198997e+003
3.673743e+002, 6.207023e+003
3.678564e+002, 6.206874e+003
3.683385e+002, 6.210271e+003
3.688206e+002, 6.223102e+003
3.693027e+002, 6.238372e+003
3.697849e+002, 6.248507e+003
3.702670e+002, 6.251260e+003
3.707491e+002, 6.248047e+003
3.712312e+002, 6.239951e+003
3.717133e+002, 6.223564e+003
3.721954e+002, 6.213174e+003
3.726776e+002, 6.212587e+003
3.731597e+002, 6.214335e+003
3.736418e+002, 6.213985e+003
3.741239e+002, 6.211576e+003
3.746060e+002, 6.209458e+003
3.750881e+002, 6.209505e+003
3.755703e+002, 6.211687e+003
3.760524e+002, 6.214119e+003
3.765345e+002, 6.218271e+003
3.770166e+002, 6.221083e+003
3.774987e+002, 6.220962e+003
3.779808e+002, 6.219324e+003
3.784630e+002, 6.218071e+003
3.789451e+002, 6.218081e+003
3.794272e+002, 6.219176e+003
3.799093e+002, 6.220993e+003
3.803914e+002, 6.224165e+003
3.808735e+002, 6.227042e+003
3.813557e+002, 6.229484e+003
3.818378e+002, 6.231675e+003
3.823199e+002, 6.233675e+003
3.828020e+002, 6.235528e+003
3.832841e+002, 6.237293e+003
3.837662e+002, 6.238802e+003
3.842484e+002, 6.239767e+003
3.847305e+002, 6.242360e+003
3.852126e+002, 6.247663e+003
3.856947e+002, 6.253600e+003
3.861768e+002, 6.259991e+003
3.866589e+002, 6.266483e+003
3.871411e+002, 6.272830e+003
3.876232e+002, 6.279187e+003
3.881053e+002, 6.284858e+003
3.885874e+002, 6.287295e+003
3.890695e+002, 6.285760e+003
3.895516e+002, 6.282102e+003
3.900338e+002, 6.274127e+003
3.905159e+002, 6.265955e+003
3.909980e+002, 6.261686e+003
3.914801e+002, 6.262438e+003
3.919622e+002, 6.265591e+003
3.924443e+002, 6.267833e+003
3.929265e+002, 6.268924e+003
3.934086e+002, 6.271689e+003
3.938907e+002, 6.278807e+003
3.943728e+002, 6.285521e+003
3.948549e+002, 6.290077e+003
3.953370e+002, 6.292106e+003
3.958192e+002, 6.290750e+003
3.963013e+002, 6.283805e+003
3.967834e+002, 6.273088e+003
3.972655e+002, 6.264331e+003
3.977476e+002, 6.257375e+003
3.982297e+002, 6.252867e+003
3.987119e+002, 6.252479e+003
3.991940e+002, 6.254302e+003
3.996761e+002, 6.256014e+003
4.001582e+002, 6.256802e+003
4.006403e+002, 6.257791e+003
4.011224e+002, 6.261035e+003
4.016046e+002, 6.266287e+003
4.020867e+002, 6.268842e+003
4.025688e+002, 6.265474e+003
4.030509e+002, 6.260800e+003
4.035330e+002, 6.259572e+003
4.040151e+002, 6.261685e+003
4.044973e+002, 6.267318e+003
4.049794e+002, 6.280720e+003
4.054615e+002, 6.296530e+003
4.059436e+002, 6.304349e+003
4.064257e+002, 6.302218e+003
4.069078e+002, 6.298084e+003
4.073900e+002, 6.298079e+003
4.078721e+002, 6.301608e+003
4.083542e+002, 6.304865e+003
4.088363e+002, 6.307907e+003
4.093184e+002, 6.310377e+003
4.098005e+002, 6.311146e+003
4.102827e+002, 6.310955e+003
4.107648e+002, 6.312756e+003
4.112469e+002, 6.318435e+003
4.117290e+002, 6.325682e+003
4.122111e+002, 6.328796e+003
4.126932e+002, 6.325901e+003
4.131754e+002, 6.324211e+003
4.136575e+002, 6.325837e+003
4.141396e+002, 6.328750e+003
4.146217e+002, 6.331199e+003
4.151038e+002, 6.332752e+003
4.155859e+002, 6.333239e+003
4.160681e+002, 6.332485e+003
4.165502e+002, 6.330431e+003
4.170323e+002, 6.327179e+003
4.175144e+002, 6.320539e+003
4.179965e+002, 6.315126e+003
4.184786e+002, 6.313087e+003
4.189608e+002, 6.313625e+003
4.194429e+002, 6.314907e+003
4.199250e+002, 6.315979e+003
4.204071e+002, 6.317428e+003
4.208892e+002, 6.320950e+003
4.213713e+002, 6.328365e+003
4.218535e+002, 6.335236e+003
4.223356e+002, 6.343560e+003
4.228177e+002, 6.349961e+003
4.232998e+002, 6.350641e+003
4.237819e+002, 6.345874e+003
4.242640e+002, 6.339904e+003
4.247462e+002, 6.336865e+003
4.252283e+002, 6.336830e+003
4.257104e+002, 6.338556e+003
4.261925e+002, 6.345309e+003
4.266746e+002, 6.350248e+003
4.271567e+002, 6.350359e+003
