##NAMES=Pyroaurite
##RRUFFID=R100053
##IDEAL CHEMISTRY=Mg_6_Fe^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale bluish-green hexagonal tablets embedded in calcite, associated with magnetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100053
315.7175, 63.19297
316.1996, 62.88382
316.6817, 62.48895
317.1638, 62.05614
317.6459, 61.42357
318.1281, 60.84753
318.6102, 60.61348
319.0923, 60.79535
319.5744, 61.16454
320.0565, 61.37996
320.5386, 61.51050
321.0208, 61.29677
321.5029, 60.32443
321.9850, 59.36259
322.4671, 58.98783
322.9492, 59.20228
323.4313, 59.50985
323.9135, 59.31960
324.3956, 58.48120
324.8777, 57.90941
325.3598, 57.91712
325.8419, 57.90013
326.3240, 57.56844
326.8062, 57.00079
327.2883, 56.45034
327.7704, 56.09105
328.2525, 55.92382
328.7346, 55.95597
329.2167, 56.57289
329.6989, 56.94771
330.1810, 56.78468
330.6631, 56.27996
331.1452, 55.70242
331.6273, 55.18108
332.1094, 54.73186
332.5916, 54.39968
333.0737, 54.16661
333.5558, 54.10382
334.0379, 54.29815
334.5200, 54.59924
335.0021, 54.92542
335.4843, 55.24262
335.9664, 55.43817
336.4485, 55.28025
336.9306, 54.61127
337.4127, 54.05633
337.8948, 53.66058
338.3770, 53.39864
338.8591, 53.35364
339.3412, 53.48113
339.8233, 53.55770
340.3055, 53.25499
340.7876, 52.49937
341.2697, 52.12415
341.7518, 52.42642
342.2339, 52.85161
342.7160, 53.32415
343.1982, 53.75385
343.6803, 53.97174
344.1624, 53.81134
344.6445, 53.35594
345.1266, 53.03831
345.6087, 52.99782
346.0909, 52.86548
346.5730, 52.33997
347.0551, 51.72637
347.5372, 51.44552
348.0193, 51.70573
348.5014, 52.23280
348.9836, 52.53035
349.4657, 52.53732
349.9478, 52.51421
350.4299, 52.50603
350.9120, 52.50714
351.3941, 52.56483
351.8763, 52.68144
352.3584, 52.69054
352.8405, 52.24530
353.3226, 51.31746
353.8047, 50.92982
354.2868, 51.58817
354.7690, 52.46031
355.2511, 53.15000
355.7332, 53.62154
356.2153, 53.81233
356.6974, 53.45510
357.1795, 52.74730
357.6617, 52.52590
358.1438, 53.03835
358.6259, 53.54404
359.1080, 53.51379
359.5901, 53.21988
360.0722, 53.11048
360.5544, 53.43616
361.0365, 53.90866
361.5186, 54.05940
362.0007, 53.82764
362.4828, 53.76131
362.9649, 54.31443
363.4471, 55.01628
363.9292, 55.28783
364.4113, 54.98932
364.8934, 54.62907
365.3755, 54.62373
365.8576, 54.91021
366.3398, 55.13047
366.8219, 55.16159
367.3040, 55.16698
367.7861, 55.34552
368.2682, 55.67843
368.7503, 55.97210
369.2325, 56.10327
369.7146, 56.16123
370.1967, 56.34143
370.6788, 56.69365
371.1609, 56.95568
371.6430, 56.76481
372.1252, 56.30906
372.6073, 56.22364
373.0894, 57.01476
373.5715, 57.86619
374.0536, 58.05194
374.5357, 57.67210
375.0179, 57.34038
375.5000, 57.39754
375.9821, 57.64430
376.4642, 57.57846
376.9463, 57.03495
377.4284, 56.60280
377.9106, 56.56133
378.3927, 56.76020
378.8748, 56.97143
379.3569, 57.14377
379.8390, 57.24325
380.3211, 57.17210
380.8033, 56.86348
381.2854, 56.81100
381.7675, 57.33158
382.2496, 57.91890
382.7317, 58.20626
383.2138, 58.16679
383.6960, 57.88427
384.1781, 57.33924
384.6602, 56.58139
385.1423, 56.31643
385.6244, 56.91294
386.1065, 57.48920
386.5887, 57.82191
387.0708, 57.92725
387.5529, 57.79620
388.0350, 57.41197
388.5171, 56.92696
388.9992, 56.67608
389.4814, 56.83706
389.9635, 56.98098
390.4456, 57.15056
390.9277, 57.27610
391.4098, 57.32312
391.8919, 57.27531
392.3741, 57.09180
392.8562, 56.69115
393.3383, 56.00523
393.8204, 55.62542
394.3025, 55.62333
394.7846, 55.82703
395.2668, 56.34609
395.7489, 57.01279
396.2310, 57.55291
396.7131, 57.80634
397.1952, 57.82327
397.6773, 57.77237
398.1595, 57.60633
398.6416, 57.44697
399.1237, 57.23603
399.6058, 57.08050
400.0879, 57.06799
400.5700, 57.21930
401.0522, 57.49779
401.5343, 57.91152
402.0164, 58.50428
402.4985, 58.95595
402.9806, 59.10534
403.4627, 59.24826
403.9449, 59.51231
404.4270, 59.87357
404.9091, 60.24583
405.3912, 60.55489
405.8733, 60.84732
406.3554, 61.30029
406.8376, 62.02303
407.3197, 62.63966
407.8018, 62.80231
408.2839, 62.87480
408.7660, 63.29688
409.2481, 64.24004
409.7303, 65.18893
410.2124, 65.52084
410.6945, 65.28541
411.1766, 65.29282
411.6587, 65.85222
412.1408, 66.53138
412.6230, 66.84694
413.1051, 66.86112
413.5872, 67.04921
414.0693, 67.82988
414.5514, 68.82646
415.0335, 69.36897
415.5157, 69.38089
415.9978, 69.37292
416.4799, 69.62602
416.9620, 70.12821
417.4441, 70.78208
417.9262, 71.66798
418.4084, 72.59525
418.8905, 73.56248
419.3726, 74.49001
419.8547, 75.08899
420.3368, 75.19023
420.8189, 75.16529
421.3011, 75.64832
421.7832, 76.76846
422.2653, 77.81048
422.7474, 78.69446
423.2295, 79.47340
423.7116, 80.22606
424.1938, 80.94053
424.6759, 81.49112
425.1580, 81.73830
425.6401, 81.71152
426.1222, 81.97692
426.6043, 82.87874
427.0865, 83.62469
427.5686, 83.92307
428.0507, 83.97863
428.5328, 84.09074
429.0149, 84.37317
429.4970, 84.71501
429.9792, 84.90685
430.4613, 84.79446
430.9434, 84.87666
431.4255, 85.40412
431.9076, 85.87379
432.3897, 85.91955
432.8719, 85.62851
433.3540, 85.36845
433.8361, 85.44004
434.3182, 85.79160
434.8003, 86.05030
435.2824, 86.18192
435.7646, 86.26469
436.2467, 86.28560
436.7288, 86.29008
437.2109, 86.39578
437.6930, 86.64370
438.1751, 86.75967
438.6573, 86.24670
439.1394, 85.03360
439.6215, 84.23064
440.1036, 84.40258
440.5857, 84.55096
441.0678, 83.94711
441.5500, 82.74758
442.0321, 81.58252
442.5142, 80.71574
442.9963, 80.10178
443.4784, 79.71354
443.9605, 79.58393
444.4427, 79.42824
444.9248, 79.14046
445.4069, 78.71449
445.8890, 78.15546
446.3711, 77.43427
446.8532, 76.65746
447.3354, 75.91263
447.8175, 75.15337
448.2996, 74.19959
448.7817, 72.96834
449.2638, 71.83069
449.7459, 71.26454
450.2281, 71.31387
450.7102, 71.16003
451.1923, 70.59232
451.6744, 69.97424
452.1565, 69.54229
452.6386, 69.25488
453.1208, 68.97795
453.6029, 68.65293
454.0850, 68.25076
454.5671, 67.68617
455.0492, 66.50172
455.5313, 65.79741
456.0135, 66.06312
456.4956, 66.49194
456.9777, 66.36583
457.4598, 65.64700
457.9419, 64.83286
458.4240, 64.39280
458.9062, 64.33342
459.3883, 64.27881
459.8704, 64.45491
