##NAMES=Abramovite
##RRUFFID=R070037
##IDEAL CHEMISTRY=Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Archipelago, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Dark gray metallic twisted and distorted fibers in a radiating aggregate, co-type sample.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070037
667.0658, 1373.786
667.5479, 1365.747
668.0300, 1354.434
668.5121, 1351.123
668.9943, 1359.968
669.4764, 1366.976
669.9585, 1345.305
670.4406, 1364.373
670.9227, 1374.624
671.4048, 1376.532
671.8870, 1345.108
672.3691, 1356.725
672.8512, 1351.094
673.3333, 1344.755
673.8154, 1362.430
674.2975, 1335.854
674.7797, 1353.148
675.2618, 1352.930
675.7439, 1360.728
676.2260, 1351.169
676.7081, 1346.971
677.1902, 1360.134
677.6724, 1363.684
678.1545, 1336.605
678.6366, 1356.589
679.1187, 1367.756
679.6008, 1370.580
680.0829, 1340.073
680.5651, 1352.606
681.0472, 1347.891
681.5293, 1342.468
682.0114, 1361.059
682.4935, 1335.399
682.9756, 1353.610
683.4578, 1354.308
683.9399, 1363.021
684.4220, 1354.379
684.9041, 1351.097
685.3862, 1365.177
685.8683, 1369.643
686.3505, 1359.003
686.8326, 1368.226
687.3147, 1341.960
687.7968, 1346.836
688.2789, 1365.148
688.7610, 1355.380
689.2432, 1364.920
689.7253, 1343.446
690.2074, 1336.752
690.6895, 1331.010
691.1716, 1326.392
691.6537, 1323.381
692.1359, 1322.090
692.6180, 1322.789
693.1001, 1326.121
693.5822, 1331.410
694.0643, 1334.945
694.5464, 1337.529
695.0286, 1336.786
695.5107, 1329.652
695.9928, 1322.071
696.4749, 1313.831
696.9570, 1308.098
697.4391, 1312.955
