##NAMES=Rheniite
##RRUFFID=R050362
##IDEAL CHEMISTRY=ReS_2_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Chain, Russia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Bright, shiney metallic crystals associated with anhydrite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R050362
446.033, 1036.545
446.515, 1032.335
446.997, 1021.139
447.479, 1015.798
447.961, 1025.610
448.443, 1036.541
448.925, 1034.304
449.407, 1022.094
449.889, 1014.502
450.372, 1020.771
450.854, 1037.269
451.336, 1051.054
451.818, 1066.151
452.300, 1071.843
452.782, 1062.243
453.264, 1047.353
453.746, 1030.395
454.228, 1014.468
454.711, 1007.837
455.193, 1024.811
455.675, 1059.306
456.157, 1067.245
456.639, 1034.820
457.121, 1007.195
457.603, 1011.462
458.086, 1030.404
458.568, 1044.688
459.050, 1051.636
459.532, 1052.182
460.014, 1042.143
460.496, 1026.595
460.978, 1017.539
461.460, 1017.459
461.942, 1022.711
462.424, 1032.032
462.907, 1045.824
463.389, 1048.652
463.871, 1029.796
464.353, 1012.605
464.835, 1007.262
465.317, 1009.185
465.799, 1010.950
466.281, 1009.686
466.763, 1007.166
467.246, 1006.362
467.728, 1007.980
468.210, 1008.706
468.692, 1007.165
469.174, 1005.996
469.656, 1004.360
470.138, 1004.018
470.621, 1009.547
471.103, 1026.652
471.585, 1045.605
472.067, 1050.951
472.549, 1043.298
473.031, 1035.837
473.513, 1030.925
473.995, 1030.209
474.477, 1040.062
474.960, 1061.994
475.442, 1073.156
475.924, 1058.478
476.406, 1040.203
476.888, 1036.896
477.370, 1046.319
477.852, 1056.627
478.334, 1061.398
478.816, 1061.229
479.299, 1057.284
479.781, 1042.628
480.263, 1036.701
480.745, 1045.833
481.227, 1058.521
481.709, 1069.966
482.191, 1078.225
482.673, 1079.864
483.155, 1068.339
483.638, 1050.118
484.120, 1046.410
484.602, 1060.786
485.084, 1070.865
485.566, 1064.656
486.048, 1051.136
486.530, 1043.204
487.013, 1040.875
487.495, 1044.630
487.977, 1060.589
488.459, 1079.530
488.941, 1091.158
489.423, 1094.395
489.905, 1090.758
490.387, 1079.857
490.869, 1063.987
491.352, 1056.570
491.834, 1069.220
492.316, 1075.587
492.798, 1069.245
493.280, 1058.909
493.762, 1049.569
494.244, 1043.241
494.726, 1043.040
495.208, 1056.505
495.691, 1079.136
496.173, 1084.176
496.655, 1064.409
497.137, 1048.447
497.619, 1053.027
498.101, 1067.379
498.583, 1076.889
499.065, 1079.675
499.547, 1080.724
500.030, 1080.586
500.512, 1080.949
500.994, 1087.065
501.476, 1098.570
501.958, 1104.061
502.440, 1092.694
502.922, 1067.449
503.404, 1054.362
503.887, 1067.491
504.369, 1075.611
504.851, 1070.952
505.333, 1062.686
505.815, 1058.779
506.297, 1060.744
506.779, 1065.971
507.261, 1073.675
507.743, 1082.958
508.226, 1088.177
508.708, 1089.307
509.190, 1086.356
509.672, 1075.166
510.154, 1061.652
510.636, 1054.379
511.118, 1054.821
511.600, 1058.477
512.083, 1065.098
512.565, 1072.943
513.047, 1078.529
513.529, 1081.946
514.011, 1088.473
514.493, 1103.457
514.975, 1124.509
