##NAMES=Hisingerite
##RRUFFID=R070695
##IDEAL CHEMISTRY=Fe^3+^_2_Si_2_O_5_(OH)_4_&#183;2H_2_O
##LOCALITY=Zinc Consolidated mine, Broken Hill, New South Wales, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Black to dark-brown, translucent amorphous fragments
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070695
576.3127, 756524.4
576.7949, 756712.3
577.2770, 757492.4
577.7591, 757930.0
578.2412, 757885.8
578.7233, 757734.2
579.2054, 757600.4
579.6876, 757513.1
580.1697, 757554.9
580.6519, 757841.8
581.1340, 758036.4
581.6161, 757763.6
582.0982, 757298.1
582.5803, 757171.2
583.0624, 757489.8
583.5446, 758061.3
584.0267, 758794.6
584.5088, 759692.8
584.9909, 760047.4
585.4730, 759422.1
585.9551, 758811.5
586.4373, 758285.6
586.9194, 757946.1
587.4015, 757924.4
587.8836, 758238.1
588.3657, 758716.8
588.8478, 759302.6
589.3300, 759958.3
589.8121, 760116.1
590.2942, 759500.1
590.7763, 758971.2
591.2584, 759082.0
591.7405, 759565.6
592.2227, 760042.4
592.7048, 760549.9
593.1869, 760868.6
593.6690, 760786.9
594.1511, 760488.8
594.6332, 760206.6
595.1154, 759996.1
595.5975, 759931.1
596.0796, 760117.6
596.5617, 760528.9
597.0438, 760703.8
597.5259, 760589.3
598.0081, 760292.8
598.4902, 759475.6
598.9723, 758700.9
599.4544, 758613.3
599.9365, 759251.1
600.4186, 759962.8
600.9008, 760088.4
601.3829, 759791.3
601.8650, 759815.4
602.3471, 760246.7
602.8292, 760595.4
603.3113, 760530.5
603.7935, 760274.8
604.2756, 760306.8
604.7577, 760758.0
605.2398, 761097.4
605.7219, 761094.6
606.2040, 760945.1
606.6862, 760790.9
607.1683, 760677.3
607.6504, 760687.1
608.1325, 760888.6
608.6146, 761238.4
609.0967, 761553.6
609.5789, 761802.5
610.0610, 762080.2
610.5431, 762558.9
611.0252, 762942.1
611.5073, 762953.1
611.9894, 762643.1
612.4716, 762348.8
612.9537, 762190.5
613.4358, 762212.3
613.9179, 762638.0
614.4000, 763428.1
614.8821, 763895.5
615.3643, 763667.1
615.8464, 763191.5
616.3285, 763239.9
616.8106, 764052.6
617.2927, 764466.4
617.7748, 764038.6
618.2570, 763569.1
618.7391, 763602.4
619.2212, 763944.8
619.7033, 764106.6
620.1854, 763854.1
620.6675, 763423.2
621.1497, 763188.2
621.6318, 763157.9
622.1139, 763330.8
622.5960, 763963.6
623.0781, 764461.9
623.5602, 764237.1
624.0424, 763619.1
624.5245, 763444.3
625.0066, 764230.9
625.4887, 765058.7
625.9708, 765225.8
626.4529, 764979.6
626.9351, 764819.2
627.4172, 764861.5
627.8993, 764984.6
628.3814, 765066.8
628.8635, 765105.3
629.3456, 765196.4
629.8278, 765406.3
630.3099, 765589.9
630.7920, 765708.1
631.2741, 765796.2
631.7562, 765894.4
632.2383, 766008.4
632.7205, 766104.8
633.2026, 766168.7
633.6847, 766193.1
634.1668, 766079.5
634.6489, 765786.8
635.1310, 765747.6
635.6132, 766281.5
636.0953, 767122.2
636.5774, 767676.2
637.0595, 767919.0
637.5416, 768011.3
638.0237, 767802.1
638.5059, 767591.4
638.9880, 767635.4
639.4701, 767880.0
639.9522, 768113.9
640.4343, 768215.0
640.9164, 768229.6
641.3986, 768263.3
641.8807, 768324.9
642.3628, 768339.9
642.8449, 768216.6
643.3270, 768137.3
643.8091, 768253.4
644.2913, 768512.5
644.7734, 768754.0
645.2555, 769004.8
645.7376, 769145.6
646.2197, 769023.9
646.7018, 768747.9
647.1840, 768522.1
647.6661, 768401.6
648.1482, 768388.6
648.6303, 768513.8
649.1124, 768783.5
649.5945, 768872.1
650.0767, 768604.8
650.5588, 768388.3
651.0409, 768275.1
651.5230, 768263.1
652.0051, 768362.9
652.4872, 768570.5
652.9694, 768828.4
653.4515, 769200.3
653.9336, 769556.4
654.4157, 769550.8
654.8978, 769184.9
655.3799, 768928.0
655.8621, 769011.3
656.3442, 769300.1
656.8263, 769542.2
657.3084, 769715.3
657.7905, 769886.6
658.2726, 770175.4
658.7548, 770344.7
659.2369, 770124.8
659.7190, 769710.9
660.2011, 769498.5
660.6832, 769671.1
661.1653, 770018.9
661.6475, 770273.1
662.1296, 770434.9
662.6117, 770520.7
663.0938, 770485.3
663.5759, 770495.6
664.0580, 770727.1
664.5402, 771097.5
665.0223, 771295.9
665.5044, 771053.4
665.9865, 771039.1
666.4686, 771860.9
666.9507, 772770.8
667.4329, 772833.5
667.9150, 772090.9
668.3971, 771339.8
668.8792, 771173.6
669.3613, 771446.8
669.8434, 771706.4
670.3256, 772011.3
670.8077, 772074.9
671.2898, 771541.8
671.7719, 771040.3
672.2540, 771160.1
672.7361, 771797.0
673.2183, 772308.4
673.7004, 772397.3
674.1825, 772410.2
674.6646, 772590.2
675.1467, 772873.1
675.6288, 773168.2
676.1110, 773440.2
676.5931, 773557.4
677.0752, 773274.4
677.5573, 772586.9
678.0394, 772730.9
678.5215, 774617.5
679.0037, 775875.7
679.4858, 775409.6
679.9679, 774387.4
680.4500, 773918.3
680.9321, 774129.7
681.4142, 774364.5
681.8964, 774156.8
682.3785, 773852.2
