##NAMES=Carnotite
##RRUFFID=R070647
##IDEAL CHEMISTRY=K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_&#183;3H_2_O
##LOCALITY=Anderson mine, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Orange blocky crystals associated with yellow platy weeksite, R050330
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070647
423.7390, 9173.912
424.2212, 9009.532
424.7033, 8850.186
425.1854, 8697.701
425.6675, 8558.195
426.1496, 8427.073
426.6317, 8320.320
427.1139, 8240.915
427.5960, 8186.723
428.0781, 8164.759
428.5602, 8191.339
429.0423, 8212.637
429.5244, 8147.958
430.0066, 7995.141
430.4887, 7855.553
430.9708, 7757.137
431.4529, 7685.424
431.9350, 7621.468
432.4171, 7564.954
432.8993, 7518.538
433.3814, 7488.734
433.8635, 7468.657
434.3456, 7443.746
434.8277, 7411.161
435.3098, 7382.808
435.7920, 7371.696
436.2741, 7376.201
436.7562, 7371.822
437.2383, 7349.982
437.7204, 7326.221
438.2025, 7306.704
438.6847, 7292.404
439.1668, 7286.066
439.6489, 7289.980
440.1310, 7300.032
440.6131, 7304.938
441.0952, 7291.947
441.5774, 7292.042
442.0595, 7320.454
442.5416, 7354.479
443.0237, 7373.792
443.5058, 7374.882
443.9879, 7365.608
444.4701, 7352.271
444.9522, 7332.264
445.4343, 7327.276
445.9164, 7350.578
446.3985, 7375.751
446.8806, 7396.826
447.3628, 7413.407
447.8449, 7426.607
448.3270, 7437.425
448.8091, 7444.390
449.2912, 7442.156
449.7733, 7425.878
450.2555, 7413.932
450.7376, 7407.290
451.2197, 7409.236
451.7018, 7428.223
452.1839, 7465.200
452.6660, 7498.554
453.1482, 7505.974
453.6303, 7493.622
454.1124, 7489.302
454.5945, 7495.752
455.0766, 7511.551
455.5587, 7538.593
456.0409, 7574.463
456.5230, 7613.256
457.0051, 7665.304
457.4872, 7711.383
457.9693, 7726.098
458.4514, 7715.702
458.9336, 7716.253
459.4156, 7747.020
459.8978, 7796.926
460.3799, 7835.654
460.8620, 7851.144
461.3441, 7879.704
461.8262, 7938.403
462.3083, 8007.503
462.7905, 8065.726
463.2726, 8109.528
463.7547, 8148.265
464.2368, 8191.278
464.7189, 8238.371
465.2010, 8290.792
465.6832, 8347.971
466.1653, 8410.166
466.6474, 8481.861
467.1295, 8557.538
467.6116, 8629.460
468.0938, 8692.894
468.5759, 8751.470
469.0580, 8813.070
469.5401, 8880.348
470.0222, 8943.625
470.5043, 8990.132
470.9865, 9039.985
471.4686, 9108.683
471.9507, 9195.994
472.4328, 9287.846
472.9149, 9374.959
473.3970, 9458.013
473.8792, 9540.288
474.3613, 9623.404
474.8434, 9701.069
475.3255, 9764.530
475.8076, 9820.169
476.2897, 9881.922
476.7719, 9953.099
477.2540, 10029.27
477.7361, 10112.37
478.2182, 10198.61
