##NAMES=Segelerite
##RRUFFID=R080127
##IDEAL CHEMISTRY=CaMgFe^3+^(PO_4_)_2_(OH)&#183;4H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Thomas A. Loomis
##DESCRIPTION=Light yellow radiating acicular crystals, on a matrix of rockbridgeite and associated with leucophosphite (R080126)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080127
608.8703, 104.8441
609.3524, 104.6827
609.8345, 104.6876
610.3167, 104.9359
610.7988, 105.1734
611.2809, 105.3033
611.7630, 105.3341
612.2451, 105.2073
612.7272, 104.8340
613.2094, 104.7017
613.6915, 105.2844
614.1736, 106.0905
614.6557, 106.4637
615.1378, 106.4047
615.6199, 106.3160
616.1021, 106.4453
616.5842, 106.7003
617.0663, 106.8033
617.5484, 106.4543
618.0305, 106.4761
618.5126, 107.3644
618.9948, 108.1283
619.4769, 108.0158
619.9590, 107.3301
620.4411, 106.8708
620.9232, 107.0678
621.4053, 107.5520
621.8875, 107.7481
622.3696, 107.6610
622.8517, 107.5766
623.3338, 107.5500
623.8159, 107.5191
624.2980, 107.3926
624.7802, 107.2165
625.2623, 107.1534
625.7444, 107.4286
626.2265, 107.5544
626.7086, 107.1170
627.1907, 106.4741
627.6729, 106.1915
628.1550, 106.3398
628.6371, 106.5243
629.1192, 106.4015
629.6013, 106.0005
630.0834, 105.5475
630.5656, 104.8857
631.0477, 104.4384
631.5298, 104.3805
632.0119, 104.4433
632.4940, 104.4704
632.9761, 104.4333
633.4583, 104.3372
633.9404, 104.2418
634.4225, 104.1340
634.9046, 103.9658
635.3867, 103.7406
635.8688, 103.2873
636.3510, 103.1284
636.8331, 102.8516
637.3152, 102.5700
637.7973, 102.4526
638.2794, 102.0325
638.7615, 101.6044
639.2437, 101.2311
639.7258, 101.1290
640.2079, 100.9635
640.6900, 100.9832
641.1721, 100.9425
641.6542, 100.8448
642.1364, 100.5189
642.6185, 100.4876
643.1006, 100.3382
643.5827, 100.1840
644.0648, 100.1942
644.5469, 99.90154
645.0291, 99.90904
645.5112, 99.79675
645.9933, 99.73930
646.4754, 99.56309
646.9575, 99.42355
647.4396, 99.40283
647.9218, 99.31628
648.4039, 99.12641
648.8860, 99.07244
649.3681, 98.77562
649.8502, 98.69191
650.3323, 98.70016
650.8145, 99.48007
651.2966, 99.89690
651.7787, 99.62649
652.2608, 99.25478
652.7429, 98.84892
653.2250, 98.49000
653.7072, 98.27161
