##NAMES=Walpurgite
##RRUFFID=R050573
##IDEAL CHEMISTRY=Bi^3+^_4_O_4_(U^6+^O_2_)(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow thin tabular crystals associated with metazeunerite, R060301
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050573
565.9858, 49.04877
566.4679, 49.03224
566.9500, 49.22737
567.4321, 49.42295
567.9142, 49.31606
568.3964, 48.88479
568.8785, 48.48018
569.3606, 48.13668
569.8427, 47.93158
570.3248, 48.05082
570.8069, 48.41914
571.2891, 48.65826
571.7712, 48.54244
572.2533, 48.22565
572.7354, 48.09519
573.2175, 48.32289
573.6996, 48.43592
574.1818, 48.46260
574.6639, 48.35804
575.1460, 47.98571
575.6281, 47.45771
576.1102, 47.04539
576.5923, 46.91289
577.0745, 46.97025
577.5566, 47.06611
578.0387, 47.23872
578.5208, 47.22520
579.0029, 46.76677
579.4850, 46.32760
579.9672, 46.27866
580.4493, 46.55395
580.9314, 46.85982
581.4135, 47.22570
581.8956, 47.46334
582.3777, 47.30137
582.8599, 46.83630
583.3420, 46.38206
583.8241, 46.00923
584.3062, 45.87230
584.7883, 46.26849
585.2704, 47.41392
585.7526, 47.98662
586.2347, 47.52666
586.7168, 47.02936
587.1989, 46.94075
587.6810, 47.09443
588.1631, 47.18660
588.6453, 47.10604
589.1274, 46.96806
589.6095, 46.91999
590.0916, 46.96128
590.5737, 47.12313
591.0558, 47.59617
591.5380, 47.90709
592.0201, 47.70038
592.5022, 47.25150
592.9843, 46.98877
593.4664, 47.05792
593.9485, 47.16375
594.4307, 47.02513
594.9128, 46.76410
595.3949, 46.70520
595.8770, 46.90779
596.3591, 47.09187
596.8412, 47.00121
597.3234, 46.70172
597.8055, 46.68128
598.2876, 47.23220
598.7697, 47.63073
599.2518, 47.57794
599.7339, 47.43927
600.2161, 47.66584
600.6982, 48.21996
601.1803, 48.61876
601.6624, 48.44333
602.1445, 47.82637
602.6266, 47.34988
603.1088, 46.97432
603.5909, 46.84960
604.0730, 47.41172
604.5551, 47.94892
605.0372, 47.76348
605.5193, 46.92959
606.0015, 46.34706
606.4836, 46.76593
606.9657, 47.45792
607.4478, 47.38723
607.9299, 46.68924
608.4120, 46.26283
608.8942, 46.50644
609.3763, 47.04242
609.8584, 47.32054
610.3405, 47.30737
610.8226, 47.10365
611.3047, 46.48261
611.7869, 45.91718
612.2690, 45.56784
612.7511, 45.44023
613.2332, 45.57402
613.7153, 45.97508
614.1974, 46.43958
614.6796, 46.67240
615.1617, 46.66103
615.6438, 46.72020
616.1259, 46.97280
616.6080, 47.09569
617.0901, 46.74518
617.5723, 46.22472
618.0544, 46.01598
618.5365, 46.29640
619.0186, 46.51805
619.5007, 46.27386
619.9828, 45.80475
620.4650, 45.47780
620.9471, 45.33453
621.4292, 45.29650
621.9113, 45.34084
622.3934, 45.41338
622.8755, 45.30067
623.3577, 44.65190
623.8398, 44.33003
624.3219, 44.72766
624.8040, 45.12467
625.2861, 44.94847
625.7682, 44.34080
626.2504, 43.82072
626.7325, 43.68608
627.2145, 43.81084
627.6967, 44.09055
628.1788, 44.54821
628.6609, 44.54439
629.1430, 43.68071
629.6251, 42.75670
630.1072, 42.62495
630.5894, 43.06464
631.0715, 43.28860
631.5536, 42.90334
632.0357, 42.58033
632.5178, 42.72765
632.9999, 43.13447
633.4821, 43.52477
633.9642, 43.81500
634.4463, 43.94059
634.9284, 43.80884
635.4105, 43.44561
635.8926, 43.23993
636.3748, 43.25017
636.8569, 43.33492
637.3390, 43.57517
637.8211, 43.79497
638.3032, 43.83700
638.7853, 43.70396
639.2675, 43.52929
639.7496, 43.40079
640.2317, 43.27882
640.7138, 43.02526
641.1959, 42.66585
641.6780, 42.56083
642.1602, 42.90706
642.6423, 43.37000
643.1244, 43.51091
643.6065, 43.26807
644.0886, 43.03386
644.5707, 42.75556
645.0529, 42.54430
645.5350, 42.45398
646.0171, 42.45492
646.4992, 42.51264
646.9813, 42.61302
647.4634, 42.74617
647.9456, 42.93561
648.4277, 43.16456
648.9098, 43.22226
649.3919, 43.06765
649.8740, 42.84230
650.3561, 42.47466
650.8383, 42.14497
651.3204, 42.08519
651.8025, 42.31808
652.2846, 42.57589
652.7667, 42.89507
