##NAMES=Tausonite
##RRUFFID=X090004
##IDEAL CHEMISTRY=SrTi^4+^O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless stone, cell parameters indicate a disordered structure
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090004
590.8855, 253.5409
591.3676, 257.2337
591.8497, 260.8879
592.3318, 264.4296
592.8140, 268.1071
593.2961, 272.2704
593.7782, 276.4502
594.2603, 279.9667
594.7424, 282.8257
595.2245, 285.6883
595.7067, 289.0717
596.1888, 292.8664
596.6709, 296.4066
597.1530, 299.3749
597.6351, 302.6758
598.1172, 306.3288
598.5994, 310.3774
599.0815, 315.1310
599.5636, 320.3953
600.0457, 325.3862
600.5278, 329.5220
601.0099, 333.0834
601.4921, 336.4887
601.9742, 339.7300
602.4563, 343.3961
602.9384, 347.9234
603.4205, 352.6483
603.9026, 356.4544
604.3848, 359.3253
604.8669, 362.5814
605.3490, 367.1066
605.8311, 371.4437
606.3132, 374.3758
606.7953, 376.4474
607.2775, 379.0071
607.7596, 382.5635
608.2417, 386.4131
608.7238, 389.3327
609.2059, 391.0219
609.6880, 393.2923
610.1702, 396.8235
610.6523, 400.1702
611.1344, 403.1615
611.6165, 405.5750
612.0986, 406.8864
612.5807, 406.8672
613.0629, 406.8002
613.5450, 408.1869
614.0271, 410.4821
614.5092, 411.8631
614.9913, 412.0706
615.4734, 411.9059
615.9556, 411.6767
616.4377, 411.5332
616.9198, 412.0454
617.4019, 413.8779
617.8840, 415.0490
618.3661, 414.8029
618.8483, 413.9946
619.3304, 413.2902
619.8125, 412.7664
620.2946, 412.2625
620.7767, 411.6680
621.2589, 411.0435
621.7410, 410.5971
622.2231, 410.4211
622.7052, 410.1562
623.1873, 409.9132
623.6694, 409.4095
624.1516, 408.1898
624.6337, 406.5578
625.1158, 405.4242
625.5979, 405.4016
626.0800, 405.6425
626.5621, 405.3089
627.0443, 404.5239
627.5264, 403.6892
628.0085, 402.8852
628.4906, 402.1286
628.9727, 401.3662
629.4548, 400.6005
629.9370, 400.3477
630.4191, 401.3925
630.9012, 401.8838
631.3833, 400.9650
631.8654, 399.5595
632.3475, 398.4659
632.8297, 397.8998
633.3118, 397.9048
633.7939, 398.7506
634.2760, 400.0983
634.7581, 400.4149
635.2402, 399.4312
635.7224, 398.4488
636.2045, 397.5775
636.6866, 397.1615
637.1687, 397.6686
637.6508, 399.0513
638.1329, 400.3857
638.6151, 401.4107
639.0972, 402.2569
639.5793, 403.0447
640.0614, 403.7372
640.5435, 404.1290
641.0256, 404.1422
641.5078, 404.2231
641.9899, 405.0437
642.4720, 406.7572
642.9541, 407.9440
643.4362, 408.0557
643.9183, 408.2589
644.4005, 408.7088
644.8826, 409.4312
645.3647, 410.6287
645.8468, 412.2758
646.3289, 413.6852
646.8110, 413.9636
647.2932, 413.6414
647.7753, 414.2053
648.2574, 415.7298
648.7395, 416.9522
649.2216, 417.1442
649.7037, 416.9445
650.1859, 417.4949
650.6680, 418.9171
651.1501, 420.4862
651.6322, 422.5413
652.1143, 424.3513
652.5964, 425.5978
653.0786, 426.2580
653.5607, 426.1747
654.0428, 425.3293
654.5249, 424.3327
655.0070, 424.0501
655.4891, 424.5067
