##NAMES=Ferronigerite-2N1S
##RRUFFID=R120083
##IDEAL CHEMISTRY=(Al,Fe^3+^,Zn^2+^)_2_(Al,Sn^4+^)_6_O_11_(OH)
##LOCALITY=Seixoso quarry, Lixa, Portugal
##OWNER=RRUFF
##SOURCE=Robert Jenkins
##DESCRIPTION=Dark reddish-brown hexagonal tablets, frozen in matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120083
2.830038e+002, 1.241511e+003
2.834860e+002, 1.236226e+003
2.839681e+002, 1.232562e+003
2.844502e+002, 1.231912e+003
2.849323e+002, 1.232963e+003
2.854144e+002, 1.232802e+003
2.858965e+002, 1.231063e+003
2.863787e+002, 1.229093e+003
2.868608e+002, 1.227389e+003
2.873429e+002, 1.226005e+003
2.878250e+002, 1.225190e+003
2.883071e+002, 1.225221e+003
2.887892e+002, 1.225604e+003
2.892714e+002, 1.225542e+003
2.897535e+002, 1.224959e+003
2.902356e+002, 1.224561e+003
2.907177e+002, 1.225296e+003
2.911998e+002, 1.226486e+003
2.916819e+002, 1.225998e+003
2.921641e+002, 1.222620e+003
2.926462e+002, 1.218920e+003
2.931283e+002, 1.218211e+003
2.936104e+002, 1.220096e+003
2.940925e+002, 1.221380e+003
2.945746e+002, 1.220163e+003
2.950568e+002, 1.217598e+003
2.955389e+002, 1.215996e+003
2.960210e+002, 1.215766e+003
2.965031e+002, 1.216083e+003
2.969852e+002, 1.216185e+003
2.974673e+002, 1.216237e+003
2.979495e+002, 1.216819e+003
2.984316e+002, 1.218816e+003
2.989137e+002, 1.221181e+003
2.993958e+002, 1.222127e+003
2.998779e+002, 1.221335e+003
3.003600e+002, 1.220503e+003
3.008422e+002, 1.221164e+003
3.013243e+002, 1.222495e+003
3.018064e+002, 1.222968e+003
3.022885e+002, 1.221361e+003
3.027706e+002, 1.219631e+003
3.032527e+002, 1.220269e+003
3.037349e+002, 1.223429e+003
3.042170e+002, 1.226830e+003
3.046991e+002, 1.229807e+003
3.051812e+002, 1.232182e+003
3.056633e+002, 1.233589e+003
3.061454e+002, 1.233644e+003
3.066276e+002, 1.233548e+003
3.071097e+002, 1.234629e+003
3.075918e+002, 1.236787e+003
3.080739e+002, 1.238219e+003
3.085560e+002, 1.237794e+003
3.090381e+002, 1.236837e+003
3.095203e+002, 1.236868e+003
3.100024e+002, 1.237987e+003
3.104845e+002, 1.239407e+003
3.109666e+002, 1.240531e+003
3.114487e+002, 1.241471e+003
3.119308e+002, 1.242825e+003
3.124130e+002, 1.244872e+003
3.128951e+002, 1.247114e+003
3.133772e+002, 1.248828e+003
3.138593e+002, 1.250151e+003
3.143414e+002, 1.252033e+003
3.148235e+002, 1.255524e+003
3.153057e+002, 1.259900e+003
3.157878e+002, 1.263323e+003
3.162699e+002, 1.265495e+003
3.167520e+002, 1.267018e+003
3.172341e+002, 1.267968e+003
3.177162e+002, 1.268611e+003
3.181984e+002, 1.269543e+003
3.186805e+002, 1.270974e+003
3.191626e+002, 1.272822e+003
3.196447e+002, 1.275151e+003
3.201268e+002, 1.278125e+003
3.206089e+002, 1.280770e+003
3.210911e+002, 1.281970e+003
3.215732e+002, 1.282672e+003
3.220553e+002, 1.284240e+003
3.225374e+002, 1.287253e+003
3.230195e+002, 1.290719e+003
3.235016e+002, 1.293644e+003
3.239838e+002, 1.296042e+003
3.244659e+002, 1.298316e+003
3.249480e+002, 1.300648e+003
3.254301e+002, 1.302881e+003
3.259122e+002, 1.304844e+003
3.263943e+002, 1.306539e+003
3.268765e+002, 1.307973e+003
3.273586e+002, 1.308717e+003
3.278407e+002, 1.309029e+003
3.283228e+002, 1.310493e+003
3.288049e+002, 1.314059e+003
3.292870e+002, 1.318080e+003
3.297692e+002, 1.321219e+003
3.302513e+002, 1.323482e+003
3.307334e+002, 1.324497e+003
3.312155e+002, 1.323220e+003
3.316976e+002, 1.320632e+003
3.321797e+002, 1.319172e+003
3.326619e+002, 1.319433e+003
3.331440e+002, 1.319859e+003
3.336261e+002, 1.318749e+003
3.341082e+002, 1.316770e+003
3.345903e+002, 1.315566e+003
3.350724e+002, 1.315803e+003
3.355546e+002, 1.316997e+003
3.360367e+002, 1.318990e+003
3.365188e+002, 1.321925e+003
3.370009e+002, 1.324028e+003
3.374830e+002, 1.323848e+003
3.379651e+002, 1.322244e+003
3.384473e+002, 1.320891e+003
3.389294e+002, 1.320186e+003
3.394115e+002, 1.319417e+003
3.398936e+002, 1.317923e+003
3.403757e+002, 1.315793e+003
3.408578e+002, 1.313650e+003
3.413400e+002, 1.311444e+003
3.418221e+002, 1.309653e+003
3.423042e+002, 1.309013e+003
3.427863e+002, 1.309692e+003
3.432684e+002, 1.310443e+003
3.437505e+002, 1.310911e+003
3.442327e+002, 1.310992e+003
3.447148e+002, 1.310319e+003
3.451969e+002, 1.308646e+003
3.456790e+002, 1.306656e+003
3.461611e+002, 1.304927e+003
3.466432e+002, 1.303439e+003
3.471254e+002, 1.302548e+003
3.476075e+002, 1.302746e+003
3.480896e+002, 1.303398e+003
3.485717e+002, 1.303807e+003
3.490538e+002, 1.303917e+003
3.495359e+002, 1.303736e+003
3.500181e+002, 1.303108e+003
3.505002e+002, 1.302171e+003
3.509823e+002, 1.301554e+003
3.514644e+002, 1.301086e+003
3.519465e+002, 1.301131e+003
3.524286e+002, 1.301958e+003
3.529108e+002, 1.303521e+003
3.533929e+002, 1.305801e+003
3.538750e+002, 1.309195e+003
3.543571e+002, 1.312870e+003
3.548392e+002, 1.314745e+003
3.553214e+002, 1.314371e+003
3.558035e+002, 1.313567e+003
3.562856e+002, 1.312871e+003
3.567677e+002, 1.312201e+003
3.572498e+002, 1.311410e+003
3.577319e+002, 1.310458e+003
