##NAMES=Glaucophane
##RRUFFID=R120002
##IDEAL CHEMISTRY=[box]Na_2_(Mg_3_Al_2_)Si_8_O_22_(OH)_2_
##LOCALITY=Cape Marmari, Grammata Bay, Syros Island, Aegean Sea, Greece
##OWNER=RRUFF
##SOURCE=Gunnar Farber
##DESCRIPTION=Dark green bladed, associated with colorless quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120002
2.891243e+002, 1.282941e+003
2.896064e+002, 1.283723e+003
2.900885e+002, 1.285230e+003
2.905706e+002, 1.286507e+003
2.910527e+002, 1.287361e+003
2.915349e+002, 1.288127e+003
2.920170e+002, 1.289467e+003
2.924991e+002, 1.291291e+003
2.929812e+002, 1.292962e+003
2.934633e+002, 1.293774e+003
2.939454e+002, 1.294105e+003
2.944276e+002, 1.295323e+003
2.949097e+002, 1.297631e+003
2.953918e+002, 1.300196e+003
2.958739e+002, 1.301841e+003
2.963560e+002, 1.302750e+003
2.968381e+002, 1.303856e+003
2.973203e+002, 1.305394e+003
2.978024e+002, 1.307456e+003
2.982845e+002, 1.310756e+003
2.987666e+002, 1.315494e+003
2.992487e+002, 1.319703e+003
2.997308e+002, 1.321184e+003
3.002130e+002, 1.320535e+003
3.006951e+002, 1.319437e+003
3.011772e+002, 1.317795e+003
3.016593e+002, 1.316462e+003
3.021414e+002, 1.316987e+003
3.026235e+002, 1.319327e+003
3.031057e+002, 1.321964e+003
3.035878e+002, 1.322903e+003
3.040699e+002, 1.323307e+003
3.045520e+002, 1.325500e+003
3.050341e+002, 1.332411e+003
3.055162e+002, 1.339422e+003
3.059984e+002, 1.341225e+003
3.064805e+002, 1.338354e+003
3.069626e+002, 1.334564e+003
3.074447e+002, 1.331564e+003
3.079268e+002, 1.329440e+003
3.084089e+002, 1.328503e+003
3.088911e+002, 1.329512e+003
3.093732e+002, 1.330674e+003
3.098553e+002, 1.330585e+003
3.103374e+002, 1.329460e+003
3.108195e+002, 1.328007e+003
3.113016e+002, 1.325980e+003
3.117838e+002, 1.324149e+003
3.122659e+002, 1.323237e+003
3.127480e+002, 1.323582e+003
3.132301e+002, 1.324382e+003
3.137122e+002, 1.325475e+003
3.141943e+002, 1.326678e+003
3.146765e+002, 1.327581e+003
3.151586e+002, 1.327412e+003
3.156407e+002, 1.327302e+003
3.161228e+002, 1.328011e+003
3.166049e+002, 1.329755e+003
3.170870e+002, 1.331822e+003
3.175692e+002, 1.334835e+003
3.180513e+002, 1.337769e+003
3.185334e+002, 1.339164e+003
3.190155e+002, 1.336344e+003
3.194976e+002, 1.333784e+003
3.199797e+002, 1.333649e+003
3.204619e+002, 1.336257e+003
3.209440e+002, 1.339055e+003
3.214261e+002, 1.342177e+003
3.219082e+002, 1.344718e+003
3.223903e+002, 1.345800e+003
3.228724e+002, 1.342871e+003
3.233546e+002, 1.340821e+003
3.238367e+002, 1.341409e+003
3.243188e+002, 1.344544e+003
3.248009e+002, 1.347115e+003
3.252830e+002, 1.347883e+003
3.257651e+002, 1.348387e+003
3.262473e+002, 1.349627e+003
3.267294e+002, 1.352618e+003
3.272115e+002, 1.355339e+003
3.276936e+002, 1.357316e+003
3.281757e+002, 1.358795e+003
3.286578e+002, 1.360990e+003
3.291400e+002, 1.364621e+003
3.296221e+002, 1.368437e+003
3.301042e+002, 1.371926e+003
3.305863e+002, 1.374674e+003
3.310684e+002, 1.377846e+003
3.315505e+002, 1.381870e+003
3.320327e+002, 1.386197e+003
3.325148e+002, 1.389475e+003
3.329969e+002, 1.390490e+003
3.334790e+002, 1.392015e+003
3.339611e+002, 1.395358e+003
3.344432e+002, 1.401432e+003
3.349254e+002, 1.405327e+003
3.354075e+002, 1.405990e+003
3.358896e+002, 1.405245e+003
3.363717e+002, 1.405707e+003
3.368538e+002, 1.408040e+003
3.373359e+002, 1.409884e+003
3.378180e+002, 1.410318e+003
3.383001e+002, 1.409385e+003
3.387823e+002, 1.409698e+003
3.392644e+002, 1.411770e+003
3.397465e+002, 1.414133e+003
3.402286e+002, 1.415564e+003
3.407107e+002, 1.416133e+003
3.411928e+002, 1.415377e+003
3.416750e+002, 1.412858e+003
3.421571e+002, 1.409103e+003
3.426392e+002, 1.406253e+003
3.431213e+002, 1.404385e+003
3.436034e+002, 1.402955e+003
3.440855e+002, 1.402009e+003
3.445677e+002, 1.401494e+003
3.450498e+002, 1.399387e+003
3.455319e+002, 1.394938e+003
3.460140e+002, 1.389661e+003
3.464961e+002, 1.386317e+003
3.469782e+002, 1.384876e+003
3.474604e+002, 1.384509e+003
3.479425e+002, 1.385148e+003
3.484246e+002, 1.386551e+003
3.489067e+002, 1.387894e+003
3.493888e+002, 1.389164e+003
3.498709e+002, 1.390222e+003
3.503531e+002, 1.390797e+003
3.508352e+002, 1.390982e+003
3.513173e+002, 1.391133e+003
3.517994e+002, 1.391215e+003
3.522815e+002, 1.391404e+003
3.527636e+002, 1.392116e+003
3.532458e+002, 1.393336e+003
3.537279e+002, 1.394521e+003
3.542100e+002, 1.394927e+003
3.546921e+002, 1.395006e+003
3.551742e+002, 1.395596e+003
3.556563e+002, 1.397445e+003
3.561385e+002, 1.399371e+003
3.566206e+002, 1.400080e+003
3.571027e+002, 1.399785e+003
3.575848e+002, 1.399569e+003
3.580669e+002, 1.400720e+003
3.585490e+002, 1.401948e+003
3.590312e+002, 1.401944e+003
3.595133e+002, 1.400114e+003
3.599954e+002, 1.397844e+003
3.604775e+002, 1.395209e+003
3.609596e+002, 1.392729e+003
3.614417e+002, 1.391526e+003
3.619239e+002, 1.393607e+003
3.624060e+002, 1.395900e+003
3.628881e+002, 1.396289e+003
3.633702e+002, 1.394000e+003
3.638523e+002, 1.392881e+003
3.643344e+002, 1.395494e+003
3.648166e+002, 1.399484e+003
3.652987e+002, 1.402188e+003
3.657808e+002, 1.401765e+003
3.662629e+002, 1.401149e+003
3.667450e+002, 1.400788e+003
3.672271e+002, 1.400711e+003
3.677093e+002, 1.401604e+003
3.681914e+002, 1.404310e+003
3.686735e+002, 1.407506e+003
3.691556e+002, 1.410346e+003
3.696377e+002, 1.411537e+003
3.701198e+002, 1.413856e+003
3.706020e+002, 1.417991e+003
3.710841e+002, 1.423391e+003
3.715662e+002, 1.428094e+003
3.720483e+002, 1.431549e+003
3.725304e+002, 1.434882e+003
3.730125e+002, 1.438647e+003
3.734947e+002, 1.443238e+003
3.739768e+002, 1.446861e+003
3.744589e+002, 1.448670e+003
3.749410e+002, 1.450226e+003
3.754231e+002, 1.454275e+003
3.759052e+002, 1.461845e+003
3.763874e+002, 1.469133e+003
3.768695e+002, 1.474639e+003
3.773516e+002, 1.478533e+003
3.778337e+002, 1.484120e+003
3.783158e+002, 1.491845e+003
3.787979e+002, 1.500314e+003
3.792801e+002, 1.507702e+003
3.797622e+002, 1.513970e+003
3.802443e+002, 1.521832e+003
