##NAMES=Mottramite
##RRUFFID=R120112
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^V^5+^O_4_(OH)
##LOCALITY=Copperopolis, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Ruiz
##DESCRIPTION=Radial sprays of yellow transparent needles, variety duhamelite; associated with goethite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120112
3.389294e+002, 7.961646e+002
3.394115e+002, 7.951106e+002
3.398936e+002, 7.953391e+002
3.403758e+002, 7.966272e+002
3.408579e+002, 7.972661e+002
3.413400e+002, 7.965106e+002
3.418221e+002, 7.948668e+002
3.423042e+002, 7.929284e+002
3.427863e+002, 7.904580e+002
3.432685e+002, 7.888636e+002
3.437506e+002, 7.898383e+002
3.442327e+002, 7.921652e+002
3.447148e+002, 7.925292e+002
3.451969e+002, 7.896322e+002
3.456790e+002, 7.862628e+002
3.461612e+002, 7.861027e+002
3.466433e+002, 7.886145e+002
3.471254e+002, 7.907245e+002
3.476075e+002, 7.906886e+002
3.480896e+002, 7.902825e+002
3.485717e+002, 7.922785e+002
3.490539e+002, 7.970231e+002
3.495360e+002, 8.011873e+002
3.500181e+002, 8.017253e+002
3.505002e+002, 7.995341e+002
3.509823e+002, 7.989996e+002
3.514644e+002, 8.017183e+002
3.519466e+002, 8.049942e+002
3.524287e+002, 8.069139e+002
3.529108e+002, 8.077490e+002
3.533929e+002, 8.088970e+002
3.538750e+002, 8.111279e+002
3.543571e+002, 8.139859e+002
3.548393e+002, 8.162407e+002
3.553214e+002, 8.174127e+002
3.558035e+002, 8.191073e+002
3.562856e+002, 8.221793e+002
3.567677e+002, 8.261035e+002
3.572498e+002, 8.298504e+002
3.577320e+002, 8.330743e+002
3.582141e+002, 8.364178e+002
3.586962e+002, 8.411722e+002
3.591783e+002, 8.477972e+002
3.596604e+002, 8.529224e+002
3.601425e+002, 8.546839e+002
3.606247e+002, 8.557216e+002
3.611068e+002, 8.584800e+002
3.615889e+002, 8.631944e+002
3.620710e+002, 8.687244e+002
3.625531e+002, 8.743951e+002
3.630352e+002, 8.801541e+002
3.635174e+002, 8.846520e+002
3.639995e+002, 8.868467e+002
3.644816e+002, 8.889606e+002
3.649637e+002, 8.922170e+002
3.654458e+002, 8.962431e+002
3.659279e+002, 9.000725e+002
