##NAMES=Wagnerite
##RRUFFID=R050519
##IDEAL CHEMISTRY=Mg_2_PO_4_F
##LOCALITY=Kjorrestad, near Bamle, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Pale yellow lamellar fragments, associated with isokite, R070526.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R050519
##MEASURED CHEMISTRY=Mg_2.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_ ; = gray phase, and the light phase is isokite: Ca_1.00_Mg_1.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_
295.3435, 279.7152
295.8256, 280.2115
296.3077, 280.6308
296.7899, 280.9125
297.2720, 281.2134
297.7541, 281.8510
298.2362, 282.7334
298.7183, 283.4576
299.2004, 283.7313
299.6826, 283.7050
300.1647, 283.5961
300.6468, 283.3854
301.1289, 283.2873
301.6110, 283.6125
302.0931, 284.2320
302.5753, 284.8203
303.0574, 285.0318
303.5395, 285.2056
304.0216, 285.9196
304.5037, 287.2055
304.9858, 288.3943
305.4680, 288.8976
305.9501, 288.9320
306.4322, 288.8618
306.9143, 288.7089
307.3964, 288.5996
307.8785, 288.7547
308.3607, 289.1363
308.8428, 289.3702
309.3249, 289.1870
309.8070, 288.7269
310.2891, 288.1110
310.7712, 287.0451
311.2534, 286.2401
311.7355, 286.4007
312.2176, 287.2992
312.6997, 288.0949
313.1818, 288.2849
313.6639, 288.2028
314.1461, 288.0866
314.6282, 287.9261
315.1103, 287.8612
315.5924, 287.9652
316.0745, 288.2139
316.5566, 288.5615
317.0388, 289.0026
317.5209, 289.5287
318.0030, 290.1659
318.4851, 290.9523
318.9672, 291.7113
319.4493, 292.5178
319.9315, 293.2281
320.4136, 293.6597
320.8957, 293.4177
321.3778, 293.1938
321.8599, 293.4151
322.3420, 294.1824
322.8242, 294.3874
323.3063, 293.5919
323.7884, 292.2336
324.2705, 290.6942
324.7526, 288.7650
325.2347, 286.9264
325.7169, 285.2184
326.1990, 283.6437
326.6811, 282.4434
327.1632, 282.0350
327.6453, 281.7315
328.1274, 281.1515
328.6096, 279.7349
329.0917, 278.7245
329.5738, 278.2988
330.0559, 278.3199
330.5380, 278.3535
331.0201, 278.5218
331.5023, 278.5701
331.9844, 278.3500
332.4665, 277.6285
332.9486, 277.2154
333.4307, 277.1807
333.9128, 277.4197
334.3950, 277.8351
334.8771, 278.7619
335.3592, 279.2257
335.8413, 278.7534
336.3234, 277.1962
336.8055, 276.1688
337.2877, 275.7049
337.7698, 275.7355
338.2519, 276.3637
338.7340, 277.8466
339.2161, 278.8806
339.6982, 279.0595
340.1803, 278.5383
340.6624, 278.2475
341.1446, 278.2090
341.6267, 278.3242
342.1088, 278.5986
342.5909, 279.0418
343.0730, 279.2768
343.5551, 279.1971
344.0373, 278.9427
344.5194, 278.7430
345.0015, 278.5845
345.4836, 278.7202
345.9657, 279.4702
346.4478, 280.7045
346.9300, 281.7209
347.4121, 282.4809
347.8942, 283.0479
348.3763, 283.4457
348.8584, 283.7052
349.3405, 284.0084
349.8227, 284.5082
350.3048, 285.0992
350.7869, 285.4487
351.2690, 285.5468
351.7511, 285.8368
352.2332, 286.9919
352.7154, 288.6343
353.1975, 289.9274
353.6796, 290.4005
354.1617, 290.6207
354.6438, 291.2370
355.1259, 292.1821
355.6081, 293.1081
356.0902, 293.7651
356.5723, 294.2895
357.0544, 294.7890
357.5365, 295.1572
358.0186, 295.7807
358.5008, 297.2950
358.9829, 299.2624
359.4650, 300.7461
359.9471, 300.8436
360.4292, 300.6647
360.9113, 300.9649
361.3935, 301.8918
361.8756, 302.7499
362.3577, 303.0963
362.8398, 303.2864
363.3219, 303.7242
363.8040, 304.4178
364.2862, 305.4862
364.7683, 307.3038
365.2504, 309.8080
365.7325, 311.6757
366.2146, 312.3354
366.6967, 312.4999
367.1789, 312.6124
367.6610, 312.5603
368.1431, 312.6510
368.6252, 313.1008
369.1073, 313.7359
369.5894, 314.0036
370.0716, 313.6682
370.5537, 313.2102
371.0358, 312.8428
371.5179, 312.7496
372.0000, 312.1459
372.4821, 310.7428
372.9643, 309.0307
373.4464, 307.6584
373.9285, 306.7070
374.4106, 305.9518
374.8927, 305.4161
375.3748, 305.0786
375.8570, 304.4126
376.3391, 303.2039
376.8212, 302.0927
