##NAMES=Stichtite
##RRUFFID=R060675
##IDEAL CHEMISTRY=Mg_6_Cr^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Nevada Creek, Dundas, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple massive, associated with green serpentine
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060675
3.395197e+002, 6.768483e+003
3.400018e+002, 6.772236e+003
3.404839e+002, 6.775929e+003
3.409660e+002, 6.779556e+003
3.414481e+002, 6.782989e+003
3.419302e+002, 6.786171e+003
3.424124e+002, 6.789157e+003
3.428945e+002, 6.790940e+003
3.433766e+002, 6.790521e+003
3.438587e+002, 6.788648e+003
3.443408e+002, 6.788819e+003
3.448229e+002, 6.791104e+003
3.453051e+002, 6.794879e+003
3.457872e+002, 6.801201e+003
3.462693e+002, 6.809271e+003
3.467514e+002, 6.813487e+003
3.472335e+002, 6.811592e+003
3.477156e+002, 6.806733e+003
3.481978e+002, 6.804931e+003
3.486799e+002, 6.806062e+003
3.491620e+002, 6.807889e+003
3.496441e+002, 6.808623e+003
3.501262e+002, 6.809052e+003
3.506083e+002, 6.811250e+003
3.510905e+002, 6.815868e+003
3.515726e+002, 6.821008e+003
3.520547e+002, 6.823700e+003
3.525368e+002, 6.824913e+003
3.530189e+002, 6.827597e+003
3.535010e+002, 6.834355e+003
3.539832e+002, 6.842820e+003
3.544653e+002, 6.850865e+003
3.549474e+002, 6.858503e+003
3.554295e+002, 6.863808e+003
3.559116e+002, 6.862639e+003
3.563937e+002, 6.858676e+003
3.568759e+002, 6.857479e+003
3.573580e+002, 6.863572e+003
3.578401e+002, 6.870986e+003
3.583222e+002, 6.875535e+003
3.588043e+002, 6.877682e+003
3.592864e+002, 6.879905e+003
3.597686e+002, 6.883510e+003
3.602507e+002, 6.887797e+003
3.607328e+002, 6.892157e+003
3.612149e+002, 6.896604e+003
3.616970e+002, 6.900845e+003
3.621791e+002, 6.904663e+003
3.626613e+002, 6.908091e+003
3.631434e+002, 6.911276e+003
3.636255e+002, 6.914017e+003
3.641076e+002, 6.916593e+003
3.645897e+002, 6.918775e+003
3.650718e+002, 6.919856e+003
3.655540e+002, 6.922706e+003
3.660361e+002, 6.930325e+003
3.665182e+002, 6.939156e+003
3.670003e+002, 6.944947e+003
3.674824e+002, 6.945743e+003
3.679645e+002, 6.945121e+003
3.684467e+002, 6.943070e+003
3.689288e+002, 6.939595e+003
3.694109e+002, 6.938028e+003
3.698930e+002, 6.939844e+003
3.703751e+002, 6.942658e+003
3.708572e+002, 6.945002e+003
3.713394e+002, 6.947349e+003
3.718215e+002, 6.948417e+003
3.723036e+002, 6.946633e+003
3.727857e+002, 6.943537e+003
3.732678e+002, 6.944954e+003
3.737499e+002, 6.952962e+003
3.742321e+002, 6.961640e+003
3.747142e+002, 6.967815e+003
3.751963e+002, 6.970401e+003
3.756784e+002, 6.975326e+003
3.761605e+002, 6.983612e+003
3.766426e+002, 6.992744e+003
3.771248e+002, 6.998113e+003
3.776069e+002, 6.999044e+003
3.780890e+002, 7.000556e+003
3.785711e+002, 7.004880e+003
3.790532e+002, 7.011409e+003
3.795353e+002, 7.014667e+003
3.800175e+002, 7.014036e+003
3.804996e+002, 7.013540e+003
3.809817e+002, 7.018097e+003
3.814638e+002, 7.026950e+003
3.819459e+002, 7.033524e+003
3.824280e+002, 7.035476e+003
3.829102e+002, 7.035674e+003
3.833923e+002, 7.040713e+003
3.838744e+002, 7.049997e+003
3.843565e+002, 7.057477e+003
3.848386e+002, 7.056866e+003
3.853207e+002, 7.051991e+003
3.858029e+002, 7.051066e+003
3.862850e+002, 7.055335e+003
3.867671e+002, 7.061063e+003
3.872492e+002, 7.065106e+003
3.877313e+002, 7.067720e+003
3.882134e+002, 7.069396e+003
3.886956e+002, 7.070740e+003
3.891777e+002, 7.071081e+003
3.896598e+002, 7.069014e+003
3.901419e+002, 7.064785e+003
3.906240e+002, 7.061492e+003
3.911061e+002, 7.061719e+003
3.915883e+002, 7.063689e+003
3.920704e+002, 7.065592e+003
3.925525e+002, 7.067353e+003
3.930346e+002, 7.068564e+003
3.935167e+002, 7.068657e+003
3.939988e+002, 7.068065e+003
3.944810e+002, 7.067948e+003
3.949631e+002, 7.067353e+003
3.954452e+002, 7.068389e+003
3.959273e+002, 7.072805e+003
3.964094e+002, 7.082397e+003
3.968915e+002, 7.090153e+003
3.973737e+002, 7.092266e+003
3.978558e+002, 7.092580e+003
3.983379e+002, 7.095834e+003
3.988200e+002, 7.106270e+003
3.993021e+002, 7.115438e+003
3.997842e+002, 7.120586e+003
4.002664e+002, 7.121662e+003
4.007485e+002, 7.125784e+003
4.012306e+002, 7.135506e+003
4.017127e+002, 7.145548e+003
4.021948e+002, 7.152392e+003
4.026769e+002, 7.154266e+003
4.031591e+002, 7.156656e+003
4.036412e+002, 7.160264e+003
4.041233e+002, 7.164337e+003
4.046054e+002, 7.167115e+003
4.050875e+002, 7.168405e+003
4.055696e+002, 7.168976e+003
4.060518e+002, 7.169102e+003
4.065339e+002, 7.168840e+003
4.070160e+002, 7.168123e+003
4.074981e+002, 7.166662e+003
4.079802e+002, 7.165960e+003
4.084623e+002, 7.168278e+003
4.089445e+002, 7.173655e+003
4.094266e+002, 7.179081e+003
4.099087e+002, 7.184163e+003
4.103908e+002, 7.188680e+003
4.108729e+002, 7.191016e+003
4.113550e+002, 7.191358e+003
4.118372e+002, 7.193103e+003
4.123193e+002, 7.199694e+003
4.128014e+002, 7.209443e+003
4.132835e+002, 7.218132e+003
4.137656e+002, 7.224890e+003
4.142477e+002, 7.231867e+003
4.147299e+002, 7.242000e+003
4.152120e+002, 7.254063e+003
4.156941e+002, 7.264938e+003
4.161762e+002, 7.272719e+003
4.166583e+002, 7.278815e+003
4.171404e+002, 7.284421e+003
4.176226e+002, 7.289481e+003
4.181047e+002, 7.293392e+003
4.185868e+002, 7.292750e+003
4.190689e+002, 7.292098e+003
4.195510e+002, 7.296121e+003
4.200331e+002, 7.310591e+003
4.205153e+002, 7.323729e+003
4.209974e+002, 7.330083e+003
4.214795e+002, 7.331671e+003
4.219616e+002, 7.333262e+003
4.224437e+002, 7.338746e+003
4.229258e+002, 7.342479e+003
4.234080e+002, 7.341227e+003
4.238901e+002, 7.332694e+003
4.243722e+002, 7.327396e+003
4.248543e+002, 7.328962e+003
4.253364e+002, 7.333031e+003
4.258185e+002, 7.335257e+003
4.263007e+002, 7.333218e+003
4.267828e+002, 7.333085e+003
4.272649e+002, 7.336377e+003
4.277470e+002, 7.342492e+003
4.282291e+002, 7.347775e+003
4.287112e+002, 7.352267e+003
4.291934e+002, 7.355630e+003
4.296755e+002, 7.357492e+003
4.301576e+002, 7.357472e+003
4.306397e+002, 7.357334e+003
4.311218e+002, 7.356960e+003
4.316039e+002, 7.356584e+003
4.320861e+002, 7.356314e+003
4.325682e+002, 7.356083e+003
4.330503e+002, 7.357206e+003
4.335324e+002, 7.361101e+003
4.340145e+002, 7.366581e+003
4.344966e+002, 7.368533e+003
4.349788e+002, 7.366878e+003
4.354609e+002, 7.366087e+003
4.359430e+002, 7.370981e+003
4.364251e+002, 7.379843e+003
4.369072e+002, 7.387939e+003
4.373893e+002, 7.394754e+003
4.378715e+002, 7.399980e+003
4.383536e+002, 7.401573e+003
4.388357e+002, 7.401020e+003
4.393178e+002, 7.402463e+003
4.397999e+002, 7.408779e+003
4.402820e+002, 7.417493e+003
4.407642e+002, 7.427749e+003
4.412463e+002, 7.439491e+003
4.417284e+002, 7.447600e+003
4.422105e+002, 7.445080e+003
4.426926e+002, 7.439425e+003
4.431747e+002, 7.437935e+003
4.436569e+002, 7.446358e+003
4.441390e+002, 7.454468e+003
4.446211e+002, 7.458239e+003
4.451032e+002, 7.459154e+003
4.455853e+002, 7.461432e+003
4.460674e+002, 7.468562e+003
4.465496e+002, 7.474986e+003
4.470317e+002, 7.478271e+003
4.475138e+002, 7.477031e+003
4.479959e+002, 7.477687e+003
4.484780e+002, 7.482283e+003
4.489601e+002, 7.487692e+003
4.494423e+002, 7.490276e+003
4.499244e+002, 7.486236e+003
4.504065e+002, 7.488011e+003
4.508886e+002, 7.499999e+003
4.513707e+002, 7.519038e+003
4.518528e+002, 7.532003e+003
4.523350e+002, 7.537984e+003
4.528171e+002, 7.540454e+003
4.532992e+002, 7.539180e+003
4.537813e+002, 7.533945e+003
4.542634e+002, 7.535360e+003
4.547455e+002, 7.544537e+003
4.552277e+002, 7.556954e+003
4.557098e+002, 7.567679e+003
4.561919e+002, 7.576645e+003
4.566740e+002, 7.584617e+003
4.571561e+002, 7.591612e+003
4.576382e+002, 7.597731e+003
