##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y^3+^,Ca,Ce^3+^,U^4+^,Th^4+^)(Nb^5+^,Ta^5+^,Ti^4+^)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
360.8760, 9665.021
361.3581, 9660.713
361.8402, 9661.738
362.3224, 9672.326
362.8045, 9685.209
363.2866, 9692.453
363.7687, 9694.599
364.2508, 9696.725
364.7329, 9702.419
365.2151, 9708.821
365.6972, 9710.219
366.1793, 9705.332
366.6614, 9700.361
367.1435, 9701.128
367.6256, 9705.584
368.1078, 9707.330
368.5899, 9705.072
369.0720, 9700.277
369.5541, 9691.980
370.0362, 9681.130
370.5183, 9674.452
371.0005, 9676.495
371.4826, 9683.529
371.9647, 9686.923
372.4468, 9685.716
372.9289, 9683.860
373.4110, 9683.142
373.8932, 9682.730
374.3753, 9681.422
374.8574, 9679.014
375.3395, 9674.760
375.8216, 9666.774
376.3037, 9654.323
376.7859, 9644.481
377.2680, 9638.886
377.7501, 9635.420
378.2322, 9633.253
378.7143, 9631.902
379.1964, 9629.354
379.6786, 9623.825
380.1607, 9615.599
380.6428, 9608.237
381.1249, 9602.264
381.6070, 9596.501
382.0891, 9590.673
382.5713, 9584.756
383.0534, 9578.732
383.5355, 9572.575
384.0176, 9566.353
384.4997, 9560.042
384.9818, 9552.068
385.4640, 9546.884
385.9461, 9547.904
386.4282, 9549.755
386.9103, 9547.426
387.3924, 9540.476
387.8745, 9532.061
388.3567, 9525.463
388.8388, 9520.811
389.3209, 9517.299
389.8030, 9514.862
390.2851, 9513.409
390.7672, 9514.239
391.2494, 9515.938
391.7315, 9515.377
392.2136, 9510.478
392.6957, 9502.948
393.1778, 9499.684
393.6599, 9505.821
394.1421, 9508.937
394.6242, 9505.043
395.1063, 9499.447
395.5884, 9497.337
396.0706, 9499.790
396.5527, 9503.636
397.0348, 9504.597
397.5169, 9501.811
397.9990, 9499.402
398.4811, 9496.896
398.9633, 9495.192
399.4454, 9496.027
399.9275, 9498.069
400.4096, 9498.142
400.8917, 9493.871
401.3738, 9486.057
401.8560, 9477.873
402.3381, 9468.682
402.8202, 9460.522
403.3023, 9454.425
403.7844, 9449.389
404.2665, 9444.734
404.7487, 9440.373
405.2308, 9435.437
405.7129, 9428.345
406.1950, 9418.900
406.6771, 9410.857
407.1592, 9405.967
407.6414, 9401.678
408.1235, 9396.933
408.6056, 9391.416
409.0877, 9383.843
409.5698, 9371.769
410.0519, 9357.359
410.5341, 9345.890
411.0162, 9338.056
411.4983, 9330.995
411.9804, 9324.249
412.4625, 9316.765
412.9446, 9306.454
413.4268, 9291.475
413.9089, 9276.081
414.3910, 9264.922
414.8731, 9256.784
415.3552, 9245.391
415.8373, 9227.660
416.3195, 9207.668
416.8016, 9191.769
417.2837, 9180.135
417.7658, 9167.741
418.2479, 9152.413
418.7300, 9136.114
419.2122, 9120.733
419.6943, 9106.513
420.1764, 9093.328
420.6585, 9081.011
421.1406, 9069.688
421.6227, 9060.391
422.1049, 9055.644
422.5870, 9049.810
423.0691, 9040.909
423.5512, 9029.344
424.0333, 9015.438
424.5154, 8999.310
424.9976, 8981.958
425.4797, 8965.251
425.9618, 8948.432
426.4439, 8934.296
426.9260, 8924.187
427.4081, 8915.667
427.8903, 8908.381
428.3724, 8901.439
428.8545, 8892.274
429.3366, 8878.172
429.8187, 8859.529
430.3008, 8845.818
430.7830, 8840.800
431.2651, 8837.028
431.7472, 8835.067
432.2293, 8833.107
432.7114, 8828.753
433.1935, 8821.168
433.6757, 8812.246
434.1578, 8805.174
434.6399, 8800.428
435.1220, 8795.559
435.6041, 8789.409
436.0862, 8783.761
436.5684, 8779.926
437.0505, 8777.391
437.5326, 8774.399
438.0147, 8769.638
438.4968, 8763.520
438.9789, 8757.699
439.4611, 8752.587
439.9432, 8746.738
440.4253, 8738.827
440.9074, 8730.229
441.3895, 8722.233
441.8716, 8715.063
442.3538, 8708.913
442.8359, 8703.346
443.3180, 8698.738
443.8001, 8698.358
444.2822, 8705.434
444.7643, 8712.178
445.2465, 8709.392
445.7286, 8699.188
446.2107, 8690.478
446.6928, 8686.440
447.1749, 8684.470
447.6570, 8681.998
448.1392, 8679.075
448.6213, 8676.913
449.1034, 8676.347
449.5855, 8676.791
450.0677, 8676.646
450.5498, 8675.886
451.0319, 8674.691
451.5140, 8672.298
451.9961, 8669.843
452.4782, 8668.482
452.9604, 8668.497
453.4425, 8670.249
453.9246, 8674.648
454.4067, 8682.287
454.8888, 8686.073
455.3709, 8683.716
455.8531, 8680.766
456.3352, 8678.007
456.8173, 8676.303
457.2994, 8676.908
457.7815, 8680.427
458.2636, 8685.996
458.7458, 8692.077
459.2279, 8699.857
459.7100, 8705.652
460.1921, 8706.581
460.6742, 8708.124
461.1563, 8714.041
461.6385, 8723.746
462.1206, 8733.950
462.6027, 8742.243
463.0848, 8748.863
463.5669, 8755.324
464.0490, 8762.075
464.5312, 8767.421
465.0133, 8769.161
465.4954, 8769.997
465.9775, 8773.129
466.4596, 8779.457
466.9417, 8785.538
467.4239, 8787.339
467.9060, 8785.625
468.3881, 8785.963
468.8702, 8790.079
469.3523, 8794.618
469.8344, 8796.473
470.3166, 8796.519
470.7987, 8797.031
471.2808, 8801.505
471.7629, 8804.574
472.2450, 8800.060
472.7271, 8789.366
473.2093, 8779.485
473.6914, 8773.503
474.1735, 8769.645
474.6556, 8764.595
475.1377, 8758.437
475.6198, 8751.157
476.1020, 8742.826
476.5841, 8733.269
477.0662, 8722.293
477.5483, 8709.882
478.0304, 8695.588
478.5125, 8678.792
478.9947, 8659.876
479.4768, 8643.214
479.9589, 8633.279
480.4410, 8619.715
480.9231, 8599.623
481.4052, 8575.988
481.8874, 8551.800
482.3695, 8527.780
482.8516, 8503.318
483.3337, 8477.575
483.8158, 8450.447
484.2979, 8422.942
484.7801, 8394.110
485.2622, 8366.067
485.7443, 8341.940
486.2264, 8318.629
486.7085, 8290.628
487.1906, 8254.816
487.6728, 8216.392
488.1549, 8182.606
488.6370, 8153.769
489.1191, 8124.851
489.6012, 8094.090
490.0833, 8063.594
490.5655, 8035.827
491.0476, 8010.265
