##NAMES=Diamond
##RRUFFID=R050204
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050204
851.2830, 6636.000
852.5570, 6543.000
853.8310, 6637.000
855.1040, 6552.000
856.3780, 6635.000
857.6510, 6587.000
858.9240, 6548.000
860.1970, 6625.000
861.4700, 6634.000
862.7420, 6590.000
864.0150, 6665.000
865.2870, 6575.000
866.5590, 6698.000
867.8300, 6548.000
869.1020, 6688.000
870.3730, 6698.000
871.6440, 6614.000
872.9150, 6626.000
874.1850, 6637.000
875.4560, 6680.000
876.7260, 6756.000
877.9960, 6647.000
879.2660, 6632.000
880.5360, 6724.000
881.8050, 6684.000
883.0740, 6662.000
884.3430, 6711.000
885.6120, 6700.000
886.8810, 6744.000
888.1490, 6731.235
889.4180, 6747.000
890.6860, 6708.000
891.9530, 6722.000
893.2210, 6717.000
894.4880, 6737.000
895.7560, 6748.000
897.0230, 6715.000
898.2900, 6782.000
899.5560, 6838.000
900.8230, 6863.000
902.0890, 6816.000
903.3550, 6899.000
904.6210, 6861.000
905.8860, 6912.000
907.1520, 6880.000
908.4170, 6787.000
909.6820, 6942.000
910.9470, 6865.000
912.2110, 6923.000
913.4760, 6766.000
914.7400, 6957.000
916.0040, 6994.000
917.2680, 6908.000
918.5310, 6978.000
919.7950, 6964.000
921.0580, 6863.000
922.3210, 7001.000
923.5840, 6999.000
924.8460, 7025.000
926.1090, 7015.000
927.3710, 7009.000
928.6330, 7063.000
929.8950, 6970.000
931.1560, 7023.000
932.4180, 7092.000
933.6790, 6955.000
934.9400, 7066.000
936.2010, 7047.000
937.4610, 7062.000
938.7220, 7142.000
939.9820, 7033.000
941.2420, 7091.000
942.5020, 7177.000
943.7610, 7084.000
945.0210, 7163.000
946.2800, 7168.000
947.5390, 7225.000
948.7980, 7091.000
950.0560, 7075.000
951.3150, 7182.000
952.5730, 7225.000
953.8310, 7226.000
955.0890, 7255.000
956.3460, 7190.000
957.6040, 7219.000
958.8610, 7236.000
960.1180, 7199.000
961.3750, 7233.000
962.6310, 7239.000
963.8880, 7294.000
965.1440, 7290.694
966.4000, 7311.683
967.6560, 7288.000
968.9110, 7323.000
970.1670, 7300.000
971.4220, 7278.000
972.6770, 7252.000
973.9320, 7262.000
975.1860, 7319.000
976.4410, 7278.000
977.6950, 7342.000
978.9490, 7280.000
980.2030, 7304.000
981.4560, 7367.000
982.7100, 7318.000
983.9630, 7388.000
985.2160, 7395.000
986.4690, 7444.000
