##NAMES=Enstatite
##RRUFFID=R120174
##IDEAL CHEMISTRY=MgSiO_3_
##LOCALITY=Nuestra Señora del Carmen Mines, La Celia, Jumilla, Murcia, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Transparent, pale greenish-brown bladed crystals associated with R120173 pseudobrookite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120174
4.060215e+002, 7.473835e+001
4.065037e+002, 7.402709e+001
4.069858e+002, 7.337890e+001
4.074679e+002, 7.288635e+001
4.079500e+002, 7.247385e+001
4.084321e+002, 7.193189e+001
4.089142e+002, 7.110034e+001
4.093964e+002, 7.008949e+001
4.098785e+002, 6.939920e+001
4.103606e+002, 6.940355e+001
4.108427e+002, 6.925779e+001
4.113248e+002, 6.875397e+001
4.118069e+002, 6.814694e+001
4.122891e+002, 6.770390e+001
4.127712e+002, 6.748343e+001
4.132533e+002, 6.731867e+001
4.137354e+002, 6.697323e+001
4.142175e+002, 6.638112e+001
4.146996e+002, 6.586619e+001
4.151818e+002, 6.553365e+001
4.156639e+002, 6.518441e+001
4.161460e+002, 6.469590e+001
4.166281e+002, 6.412461e+001
4.171102e+002, 6.363999e+001
4.175923e+002, 6.339197e+001
4.180745e+002, 6.326674e+001
4.185566e+002, 6.282214e+001
4.190387e+002, 6.185943e+001
4.195208e+002, 6.102593e+001
4.200029e+002, 6.064651e+001
4.204850e+002, 6.041406e+001
4.209672e+002, 6.002243e+001
4.214493e+002, 5.939360e+001
4.219314e+002, 5.877504e+001
4.224135e+002, 5.846064e+001
4.228956e+002, 5.843412e+001
4.233777e+002, 5.833305e+001
4.238599e+002, 5.804401e+001
4.243420e+002, 5.775439e+001
4.248241e+002, 5.754346e+001
4.253062e+002, 5.743197e+001
4.257883e+002, 5.750652e+001
4.262704e+002, 5.794999e+001
4.267526e+002, 5.853482e+001
4.272347e+002, 5.893681e+001
4.277168e+002, 5.915343e+001
4.281989e+002, 5.924634e+001
4.286810e+002, 5.922033e+001
4.291631e+002, 5.909497e+001
4.296453e+002, 5.890894e+001
4.301274e+002, 5.857290e+001
4.306095e+002, 5.837908e+001
4.310916e+002, 5.859611e+001
4.315737e+002, 5.903893e+001
4.320558e+002, 5.936534e+001
4.325380e+002, 5.949715e+001
4.330201e+002, 5.944365e+001
4.335022e+002, 5.918766e+001
4.339843e+002, 5.870104e+001
4.344664e+002, 5.817559e+001
4.349485e+002, 5.760160e+001
4.354307e+002, 5.700322e+001
4.359128e+002, 5.636065e+001
4.363949e+002, 5.570272e+001
4.368770e+002, 5.511497e+001
4.373591e+002, 5.465053e+001
4.378412e+002, 5.428740e+001
4.383234e+002, 5.395084e+001
4.388055e+002, 5.373838e+001
4.392876e+002, 5.342540e+001
4.397697e+002, 5.292506e+001
4.402518e+002, 5.236005e+001
4.407339e+002, 5.179954e+001
4.412160e+002, 5.128362e+001
4.416982e+002, 5.089048e+001
4.421803e+002, 5.073470e+001
4.426624e+002, 5.085761e+001
4.431445e+002, 5.091393e+001
4.436266e+002, 5.101089e+001
4.441087e+002, 5.092644e+001
4.445909e+002, 5.041752e+001
4.450730e+002, 4.971351e+001
4.455551e+002, 4.918193e+001
4.460372e+002, 4.902217e+001
4.465193e+002, 4.909961e+001
4.470014e+002, 4.910094e+001
4.474836e+002, 4.895000e+001
4.479657e+002, 4.895186e+001
4.484478e+002, 4.945077e+001
4.489299e+002, 4.990900e+001
4.494120e+002, 4.990367e+001
4.498941e+002, 4.945485e+001
4.503763e+002, 4.899726e+001
4.508584e+002, 4.890403e+001
4.513405e+002, 4.908540e+001
4.518226e+002, 4.916202e+001
4.523047e+002, 4.910380e+001
4.527868e+002, 4.899781e+001
4.532690e+002, 4.883353e+001
4.537511e+002, 4.866822e+001
4.542332e+002, 4.860291e+001
4.547153e+002, 4.870755e+001
4.551974e+002, 4.882101e+001
4.556795e+002, 4.881126e+001
