##NAMES=Creaseyite
##RRUFFID=R140557
##IDEAL CHEMISTRY=Cu^2+^_2_Pb^2+^_2_Fe^3+^_2_Si_5_O_17_&#183;6H_2_O
##LOCALITY=Evening Star mine, Tiger Wash, Belmont Mountain, Tonopah, Osborn District, Big Horn Mts, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Radiating aggregate of acicular pale-green crystals, associated with prismatic yellow hedyphane.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140557
2.922722e+002, 5.307673e+003
2.927543e+002, 5.348984e+003
2.932365e+002, 5.396225e+003
2.937186e+002, 5.439944e+003
2.942007e+002, 5.479707e+003
2.946828e+002, 5.519750e+003
2.951649e+002, 5.562364e+003
2.956470e+002, 5.607759e+003
2.961292e+002, 5.658433e+003
2.966113e+002, 5.715636e+003
2.970934e+002, 5.776963e+003
2.975755e+002, 5.839696e+003
2.980576e+002, 5.904122e+003
2.985397e+002, 5.969693e+003
2.990219e+002, 6.034626e+003
2.995040e+002, 6.101452e+003
2.999861e+002, 6.174950e+003
3.004682e+002, 6.256878e+003
3.009503e+002, 6.343971e+003
3.014324e+002, 6.433612e+003
3.019146e+002, 6.525436e+003
3.023967e+002, 6.621661e+003
3.028788e+002, 6.727874e+003
3.033609e+002, 6.837452e+003
3.038430e+002, 6.939804e+003
3.043251e+002, 7.033909e+003
3.048073e+002, 7.119052e+003
3.052894e+002, 7.195943e+003
3.057715e+002, 7.263633e+003
3.062536e+002, 7.322053e+003
3.067357e+002, 7.369959e+003
3.072178e+002, 7.408353e+003
3.077000e+002, 7.437280e+003
3.081821e+002, 7.456554e+003
3.086642e+002, 7.467133e+003
3.091463e+002, 7.467523e+003
3.096284e+002, 7.459919e+003
3.101105e+002, 7.447721e+003
3.105927e+002, 7.427419e+003
3.110748e+002, 7.406678e+003
3.115569e+002, 7.389449e+003
3.120390e+002, 7.376001e+003
3.125211e+002, 7.368229e+003
3.130032e+002, 7.364217e+003
3.134854e+002, 7.367478e+003
3.139675e+002, 7.381842e+003
3.144496e+002, 7.406100e+003
3.149317e+002, 7.443980e+003
3.154138e+002, 7.495400e+003
3.158959e+002, 7.561274e+003
3.163781e+002, 7.647759e+003
3.168602e+002, 7.760232e+003
3.173423e+002, 7.891958e+003
3.178244e+002, 8.038057e+003
3.183065e+002, 8.198243e+003
3.187886e+002, 8.371296e+003
3.192708e+002, 8.558850e+003
3.197529e+002, 8.758453e+003
3.202350e+002, 8.964033e+003
3.207171e+002, 9.187682e+003
3.211992e+002, 9.403926e+003
3.216813e+002, 9.603247e+003
3.221635e+002, 9.794263e+003
3.226456e+002, 9.945237e+003
3.231277e+002, 1.005376e+004
3.236098e+002, 1.011776e+004
3.240919e+002, 1.013392e+004
3.245740e+002, 1.009848e+004
3.250562e+002, 1.001762e+004
3.255383e+002, 9.889568e+003
3.260204e+002, 9.709342e+003
3.265025e+002, 9.502688e+003
3.269846e+002, 9.254159e+003
3.274667e+002, 8.987654e+003
3.279489e+002, 8.725381e+003
3.284310e+002, 8.464521e+003
3.289131e+002, 8.211065e+003
3.293952e+002, 7.962720e+003
3.298773e+002, 7.719321e+003
3.303594e+002, 7.488503e+003
3.308416e+002, 7.270130e+003
3.313237e+002, 7.066942e+003
3.318058e+002, 6.881657e+003
3.322879e+002, 6.714711e+003
3.327700e+002, 6.564094e+003
3.332521e+002, 6.428506e+003
3.337343e+002, 6.307526e+003
3.342164e+002, 6.199321e+003
3.346985e+002, 6.106677e+003
3.351806e+002, 6.024093e+003
3.356627e+002, 5.948684e+003
3.361448e+002, 5.880704e+003
3.366270e+002, 5.821749e+003
3.371090e+002, 5.775137e+003
3.375912e+002, 5.735772e+003
3.380733e+002, 5.692444e+003
3.385554e+002, 5.644484e+003
3.390375e+002, 5.596136e+003
3.395196e+002, 5.548235e+003
3.400017e+002, 5.501031e+003
3.404839e+002, 5.457849e+003
3.409660e+002, 5.420467e+003
3.414481e+002, 5.384963e+003
3.419302e+002, 5.346589e+003
3.424123e+002, 5.304618e+003
3.428944e+002, 5.264924e+003
3.433766e+002, 5.228577e+003
3.438587e+002, 5.195784e+003
3.443408e+002, 5.165133e+003
3.448229e+002, 5.136361e+003
3.453050e+002, 5.112649e+003
3.457871e+002, 5.097415e+003
3.462693e+002, 5.090144e+003
3.467514e+002, 5.086949e+003
3.472335e+002, 5.086511e+003
3.477156e+002, 5.090597e+003
3.481977e+002, 5.103128e+003
3.486798e+002, 5.123896e+003
3.491620e+002, 5.149908e+003
3.496441e+002, 5.178686e+003
3.501262e+002, 5.211312e+003
3.506083e+002, 5.249918e+003
3.510904e+002, 5.295013e+003
3.515725e+002, 5.346786e+003
3.520547e+002, 5.406794e+003
3.525368e+002, 5.474032e+003
3.530189e+002, 5.545443e+003
3.535010e+002, 5.619683e+003
3.539831e+002, 5.697135e+003
3.544652e+002, 5.778517e+003
3.549474e+002, 5.864628e+003
3.554295e+002, 5.952621e+003
3.559116e+002, 6.039563e+003
3.563937e+002, 6.127671e+003
3.568758e+002, 6.219014e+003
3.573579e+002, 6.320577e+003
3.578401e+002, 6.421437e+003
3.583222e+002, 6.514254e+003
3.588043e+002, 6.600253e+003
3.592864e+002, 6.681599e+003
3.597685e+002, 6.761246e+003
3.602506e+002, 6.836302e+003
3.607328e+002, 6.903872e+003
3.612149e+002, 6.966088e+003
3.616970e+002, 7.017126e+003
3.621791e+002, 7.056233e+003
3.626612e+002, 7.082400e+003
3.631433e+002, 7.093401e+003
3.636255e+002, 7.081599e+003
3.641076e+002, 7.059855e+003
3.645897e+002, 7.034126e+003
3.650718e+002, 7.006756e+003
3.655539e+002, 6.970995e+003
3.660360e+002, 6.925258e+003
3.665182e+002, 6.870699e+003
3.670003e+002, 6.808716e+003
3.674824e+002, 6.730289e+003
3.679645e+002, 6.654053e+003
3.684466e+002, 6.582366e+003
3.689287e+002, 6.516462e+003
3.694109e+002, 6.457383e+003
3.698930e+002, 6.410074e+003
3.703751e+002, 6.365989e+003
3.708572e+002, 6.319195e+003
3.713393e+002, 6.267876e+003
3.718214e+002, 6.218030e+003
3.723036e+002, 6.171063e+003
3.727857e+002, 6.125829e+003
3.732678e+002, 6.077791e+003
3.737499e+002, 6.026173e+003
3.742320e+002, 5.972194e+003
3.747141e+002, 5.917993e+003
3.751963e+002, 5.865277e+003
3.756784e+002, 5.802802e+003
3.761605e+002, 5.729156e+003
3.766426e+002, 5.647709e+003
3.771247e+002, 5.566114e+003
3.776068e+002, 5.483836e+003
3.780890e+002, 5.399294e+003
3.785711e+002, 5.311981e+003
3.790532e+002, 5.221808e+003
3.795353e+002, 5.133947e+003
