##NAMES=Fredrikssonite
##RRUFFID=R130112
##IDEAL CHEMISTRY=Mg_2_Mn^3+^O_2_(BO_3_)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Opaque reddish black striated prismatic crystals, associated with calcite and granular hausmannite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130112
3.617576e+002, 4.831170e+001
3.622397e+002, 4.753965e+001
3.627218e+002, 4.710125e+001
3.632039e+002, 4.681301e+001
3.636860e+002, 4.647031e+001
3.641682e+002, 4.588599e+001
3.646503e+002, 4.536616e+001
3.651324e+002, 4.502624e+001
3.656145e+002, 4.485939e+001
3.660966e+002, 4.474294e+001
3.665787e+002, 4.475960e+001
3.670609e+002, 4.475629e+001
3.675430e+002, 4.463497e+001
3.680251e+002, 4.430967e+001
3.685072e+002, 4.395548e+001
3.689893e+002, 4.354938e+001
3.694714e+002, 4.311948e+001
3.699536e+002, 4.277129e+001
3.704357e+002, 4.255473e+001
3.709178e+002, 4.236665e+001
3.713999e+002, 4.216792e+001
3.718820e+002, 4.194349e+001
3.723641e+002, 4.174807e+001
3.728463e+002, 4.161528e+001
3.733284e+002, 4.149129e+001
3.738105e+002, 4.128369e+001
3.742926e+002, 4.095454e+001
3.747747e+002, 4.062381e+001
3.752568e+002, 4.031817e+001
3.757390e+002, 4.003624e+001
3.762211e+002, 3.977216e+001
3.767032e+002, 3.950379e+001
3.771853e+002, 3.929295e+001
3.776674e+002, 3.921859e+001
3.781495e+002, 3.929848e+001
3.786317e+002, 3.935350e+001
3.791138e+002, 3.934669e+001
3.795959e+002, 3.929457e+001
3.800780e+002, 3.923828e+001
3.805601e+002, 3.917645e+001
3.810422e+002, 3.913225e+001
3.815244e+002, 3.919502e+001
3.820065e+002, 3.931757e+001
3.824886e+002, 3.918783e+001
3.829707e+002, 3.871395e+001
3.834528e+002, 3.815773e+001
3.839349e+002, 3.786937e+001
3.844171e+002, 3.782399e+001
3.848992e+002, 3.787768e+001
3.853813e+002, 3.803112e+001
3.858634e+002, 3.821517e+001
3.863455e+002, 3.831273e+001
3.868276e+002, 3.831812e+001
3.873098e+002, 3.827174e+001
3.877919e+002, 3.816753e+001
3.882740e+002, 3.803978e+001
3.887561e+002, 3.795276e+001
3.892382e+002, 3.796693e+001
3.897203e+002, 3.798939e+001
3.902025e+002, 3.792456e+001
3.906846e+002, 3.779179e+001
3.911667e+002, 3.768201e+001
3.916488e+002, 3.772833e+001
3.921309e+002, 3.777507e+001
3.926130e+002, 3.766538e+001
3.930952e+002, 3.727277e+001
3.935773e+002, 3.694039e+001
3.940594e+002, 3.682410e+001
3.945415e+002, 3.686921e+001
3.950236e+002, 3.697417e+001
3.955057e+002, 3.717801e+001
3.959879e+002, 3.737541e+001
3.964700e+002, 3.752871e+001
3.969521e+002, 3.763457e+001
3.974342e+002, 3.770210e+001
3.979163e+002, 3.773021e+001
3.983984e+002, 3.772228e+001
3.988806e+002, 3.768144e+001
3.993627e+002, 3.754594e+001
3.998448e+002, 3.744762e+001
4.003269e+002, 3.737336e+001
4.008090e+002, 3.733545e+001
4.012911e+002, 3.743591e+001
4.017733e+002, 3.779488e+001
4.022554e+002, 3.815065e+001
4.027375e+002, 3.836700e+001
4.032196e+002, 3.840436e+001
4.037017e+002, 3.839993e+001
4.041838e+002, 3.835314e+001
4.046660e+002, 3.826704e+001
4.051481e+002, 3.812129e+001
4.056302e+002, 3.787368e+001
4.061123e+002, 3.772216e+001
4.065944e+002, 3.778158e+001
4.070765e+002, 3.803751e+001
4.075587e+002, 3.814072e+001
4.080408e+002, 3.805456e+001
4.085229e+002, 3.795698e+001
4.090050e+002, 3.807874e+001
4.094871e+002, 3.839868e+001
4.099692e+002, 3.860756e+001
4.104514e+002, 3.859297e+001
4.109335e+002, 3.848047e+001
4.114156e+002, 3.857381e+001
4.118977e+002, 3.885094e+001
4.123798e+002, 3.906640e+001
4.128619e+002, 3.897557e+001
4.133441e+002, 3.872148e+001
4.138262e+002, 3.856398e+001
4.143083e+002, 3.852661e+001
4.147904e+002, 3.861376e+001
4.152725e+002, 3.900288e+001
4.157546e+002, 3.951503e+001
4.162368e+002, 3.978786e+001
4.167189e+002, 3.943211e+001
4.172010e+002, 3.893084e+001
4.176831e+002, 3.869373e+001
4.181652e+002, 3.871207e+001
4.186473e+002, 3.868108e+001
4.191295e+002, 3.827427e+001
4.196116e+002, 3.782503e+001
4.200937e+002, 3.765026e+001
4.205758e+002, 3.804230e+001
4.210579e+002, 3.839901e+001
4.215400e+002, 3.853002e+001
4.220222e+002, 3.848404e+001
4.225043e+002, 3.838507e+001
4.229864e+002, 3.812061e+001
4.234685e+002, 3.793166e+001
4.239506e+002, 3.793628e+001
4.244327e+002, 3.821843e+001
4.249149e+002, 3.843548e+001
4.253970e+002, 3.857800e+001
4.258791e+002, 3.864938e+001
4.263612e+002, 3.864734e+001
4.268433e+002, 3.851491e+001
4.273254e+002, 3.839759e+001
4.278076e+002, 3.831007e+001
4.282897e+002, 3.825248e+001
4.287718e+002, 3.823677e+001
4.292539e+002, 3.827432e+001
4.297360e+002, 3.832894e+001
4.302181e+002, 3.839684e+001
4.307003e+002, 3.849269e+001
4.311824e+002, 3.850310e+001
4.316645e+002, 3.842347e+001
4.321466e+002, 3.825758e+001
4.326287e+002, 3.795155e+001
4.331108e+002, 3.750334e+001
4.335930e+002, 3.717099e+001
4.340751e+002, 3.708316e+001
4.345572e+002, 3.718368e+001
4.350393e+002, 3.733330e+001
4.355214e+002, 3.753535e+001
4.360035e+002, 3.766646e+001
4.364857e+002, 3.752205e+001
4.369678e+002, 3.722303e+001
4.374499e+002, 3.707869e+001
4.379320e+002, 3.721583e+001
4.384141e+002, 3.741092e+001
4.388962e+002, 3.736895e+001
4.393784e+002, 3.717353e+001
4.398605e+002, 3.707056e+001
4.403426e+002, 3.726445e+001
4.408247e+002, 3.756078e+001
4.413068e+002, 3.780878e+001
4.417889e+002, 3.799148e+001
4.422711e+002, 3.814730e+001
4.427532e+002, 3.833075e+001
4.432353e+002, 3.848214e+001
4.437174e+002, 3.853954e+001
4.441995e+002, 3.833757e+001
4.446816e+002, 3.819487e+001
4.451638e+002, 3.824740e+001
4.456459e+002, 3.844907e+001
4.461280e+002, 3.858750e+001
4.466101e+002, 3.854729e+001
4.470922e+002, 3.850759e+001
4.475743e+002, 3.857193e+001
4.480565e+002, 3.886529e+001
4.485386e+002, 3.893598e+001
4.490207e+002, 3.859610e+001
4.495028e+002, 3.815143e+001
4.499849e+002, 3.803973e+001
4.504670e+002, 3.848530e+001
4.509492e+002, 3.874140e+001
4.514313e+002, 3.854409e+001
4.519134e+002, 3.799237e+001
4.523955e+002, 3.788299e+001
4.528776e+002, 3.834402e+001
4.533597e+002, 3.881111e+001
4.538419e+002, 3.881620e+001
4.543240e+002, 3.837500e+001
4.548061e+002, 3.814931e+001
4.552882e+002, 3.822829e+001
