##NAMES=Osmium
##RRUFFID=R080088
##IDEAL CHEMISTRY=Os
##LOCALITY=Goodnews Bay, Bethel Borough, Alaska, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Navy blue, fine powder
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080088
409.2740, 8.282040
409.7562, 8.178651
410.2383, 8.085068
410.7204, 8.153721
411.2025, 8.328815
411.6846, 8.456052
412.1667, 8.504353
412.6489, 8.473324
413.1310, 8.291038
413.6131, 7.958501
414.0952, 7.807317
414.5773, 8.068280
415.0594, 8.417621
415.5416, 8.532706
416.0237, 8.419934
416.5058, 8.312334
416.9879, 8.374107
417.4700, 8.563067
417.9521, 8.646430
418.4343, 8.519975
418.9164, 8.431514
419.3985, 8.484019
419.8806, 8.604833
420.3627, 8.696115
420.8448, 8.726290
421.3270, 8.705948
421.8091, 8.654891
422.2912, 8.594474
422.7733, 8.423944
423.2554, 8.000625
423.7375, 7.600209
424.2197, 7.346117
424.7018, 7.259738
425.1839, 7.366869
425.6660, 7.714349
426.1481, 8.243454
426.6302, 8.557524
427.1124, 8.501847
427.5945, 8.398046
428.0766, 8.239557
428.5587, 8.075552
429.0408, 7.952790
429.5229, 7.884957
430.0051, 7.847502
430.4872, 7.810231
430.9693, 7.775871
431.4514, 7.731246
431.9335, 7.598767
432.4156, 7.527497
432.8978, 7.672196
433.3799, 7.933558
433.8620, 8.056140
434.3441, 7.833056
434.8262, 7.400817
435.3083, 7.157613
435.7905, 7.152256
436.2726, 7.204473
436.7547, 7.325274
437.2368, 7.434617
437.7189, 7.421886
438.2010, 7.255362
438.6832, 7.130928
439.1653, 7.317341
439.6474, 7.728291
440.1295, 7.861892
440.6116, 7.536972
441.0938, 7.123771
441.5759, 6.914926
442.0580, 6.871017
442.5401, 6.902724
443.0222, 7.066809
443.5043, 7.239927
443.9865, 7.282289
444.4686, 7.206386
444.9507, 7.120669
445.4328, 7.050763
445.9149, 7.028708
446.3970, 7.147852
446.8792, 7.468030
447.3613, 7.730579
447.8434, 7.892310
448.3255, 7.945890
448.8076, 7.834236
449.2897, 7.560232
449.7719, 7.285050
450.2540, 7.166699
450.7361, 7.214669
451.2182, 7.223485
451.7003, 7.125792
452.1824, 7.068193
452.6646, 7.139901
453.1467, 7.279991
453.6288, 7.378198
454.1109, 7.386264
454.5930, 7.354044
455.0751, 7.394295
455.5573, 7.631569
456.0394, 7.688736
456.5215, 7.380004
457.0036, 7.079396
457.4857, 7.009572
457.9678, 7.156062
458.4500, 7.393598
458.9321, 7.661174
459.4142, 7.926759
459.8963, 7.993324
460.3784, 7.764527
460.8605, 7.500844
461.3427, 7.225461
461.8248, 6.975935
462.3069, 6.775126
462.7890, 6.629014
463.2711, 6.569676
463.7532, 6.674384
464.2354, 6.928700
464.7175, 7.121791
465.1996, 7.231058
465.6817, 7.271132
466.1638, 7.227397
466.6459, 7.126937
467.1281, 7.033947
467.6102, 6.942399
468.0923, 6.892238
468.5744, 6.946913
469.0565, 7.097531
469.5386, 7.259161
470.0208, 7.422430
470.5029, 7.548919
470.9850, 7.552101
471.4671, 7.415128
471.9492, 7.287534
472.4313, 7.197352
472.9135, 7.140124
473.3956, 7.111236
473.8777, 7.110114
474.3598, 7.140920
474.8419, 7.212624
475.3240, 7.319756
475.8062, 7.406097
476.2883, 7.516083
476.7704, 7.555226
477.2525, 7.446595
477.7346, 7.281892
478.2167, 7.188790
478.6989, 7.193713
479.1810, 7.193392
479.6631, 7.024683
480.1452, 6.611573
480.6273, 6.429124
481.1094, 6.662552
481.5916, 6.940550
482.0737, 7.214736
482.5558, 7.437482
483.0379, 7.526486
483.5200, 7.426931
484.0021, 7.256200
484.4843, 7.292880
484.9664, 7.632455
485.4485, 7.731209
485.9306, 7.213840
486.4127, 6.651660
486.8948, 6.421532
487.3770, 6.501732
487.8591, 6.666926
488.3412, 6.865320
488.8233, 7.039621
489.3054, 7.038599
489.7875, 6.840642
490.2697, 6.674482
490.7518, 6.662719
491.2339, 6.756304
491.7160, 6.842176
492.1981, 6.913970
492.6802, 6.995313
493.1624, 7.117554
493.6445, 7.246915
494.1266, 7.370395
494.6087, 7.481520
495.0908, 7.445636
495.5729, 7.076274
496.0551, 6.384391
496.5372, 6.078703
497.0193, 6.454256
497.5014, 6.809746
497.9835, 6.898507
498.4656, 6.849382
498.9478, 6.867872
499.4299, 7.017417
499.9120, 7.184654
500.3941, 7.191711
500.8762, 6.977381
501.3583, 6.846845
501.8405, 6.839920
502.3226, 6.876983
502.8047, 6.945285
503.2868, 7.035760
503.7689, 7.141479
504.2510, 7.263293
504.7331, 7.383414
505.2152, 7.480091
505.6974, 7.560975
506.1795, 7.573060
506.6616, 7.494578
507.1437, 7.347982
507.6258, 7.086282
508.1079, 6.747500
508.5901, 6.536029
509.0722, 6.643329
509.5543, 6.888680
510.0364, 7.008176
510.5185, 7.001348
511.0006, 6.979720
511.4828, 7.004712
511.9649, 7.036393
512.4470, 6.980227
512.9291, 6.807234
513.4113, 6.661761
513.8934, 6.592447
514.3755, 6.561924
514.8576, 6.545373
515.3397, 6.533776
515.8218, 6.503879
516.3040, 6.433861
516.7861, 6.332300
517.2682, 6.262443
517.7503, 6.180431
518.2324, 6.189291
518.7145, 6.410814
519.1967, 6.660335
519.6788, 6.741103
520.1609, 6.636156
520.6430, 6.499434
521.1251, 6.494269
521.6072, 6.615335
522.0894, 6.667597
522.5715, 6.587498
523.0536, 6.540219
523.5357, 6.596756
524.0178, 6.705462
524.4999, 6.822775
524.9821, 6.942706
525.4642, 7.018334
525.9463, 6.949715
526.4284, 6.786324
526.9105, 6.787378
527.3926, 7.051303
527.8748, 7.289098
528.3569, 7.202973
528.8390, 6.899920
529.3211, 6.756235
529.8032, 7.015090
530.2853, 7.205527
530.7675, 6.940672
531.2496, 6.448140
531.7317, 6.201258
532.2138, 6.339401
532.6959, 6.614419
533.1780, 6.713948
533.6602, 6.590035
534.1423, 6.592512
534.6244, 6.872466
535.1065, 7.093855
535.5886, 7.061627
536.0707, 6.908416
536.5529, 6.875988
537.0350, 7.055564
537.5171, 7.270079
537.9992, 7.194893
538.4813, 6.744786
538.9634, 6.445917
539.4456, 6.390561
539.9277, 6.420536
540.4098, 6.506116
540.8919, 6.615817
541.3740, 6.698900
541.8561, 6.743575
542.3383, 6.736893
542.8204, 6.594320
543.3025, 6.344459
543.7846, 6.298208
544.2667, 6.615840
544.7488, 6.993284
545.2310, 7.088487
545.7131, 6.930587
546.1952, 6.724729
546.6773, 6.358864
547.1594, 6.086562
547.6415, 6.172864
548.1237, 6.482848
548.6058, 6.659910
549.0879, 6.556124
