##NAMES=Stottite
##RRUFFID=R120089
##IDEAL CHEMISTRY=Fe^2+^Ge^4+^(OH)_6_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Yellow to red gemmy crystals and fragments associated with chalcocite R120090, siderite and tennantite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120089
4.179965e+002, 1.212924e+002
4.184786e+002, 1.208175e+002
4.189608e+002, 1.202917e+002
4.194429e+002, 1.196716e+002
4.199250e+002, 1.189344e+002
4.204071e+002, 1.180995e+002
4.208892e+002, 1.172099e+002
4.213713e+002, 1.161501e+002
4.218535e+002, 1.152257e+002
4.223356e+002, 1.146841e+002
4.228177e+002, 1.141040e+002
4.232998e+002, 1.130975e+002
4.237819e+002, 1.116565e+002
4.242640e+002, 1.101153e+002
4.247462e+002, 1.087885e+002
4.252283e+002, 1.076708e+002
4.257104e+002, 1.067710e+002
4.261925e+002, 1.062167e+002
4.266746e+002, 1.057622e+002
4.271567e+002, 1.055295e+002
4.276389e+002, 1.053061e+002
4.281210e+002, 1.047541e+002
4.286031e+002, 1.036845e+002
4.290852e+002, 1.023184e+002
4.295673e+002, 1.010653e+002
4.300494e+002, 9.989851e+001
4.305316e+002, 9.893081e+001
4.310137e+002, 9.833308e+001
4.314958e+002, 9.786214e+001
4.319779e+002, 9.739277e+001
4.324600e+002, 9.690997e+001
4.329421e+002, 9.644454e+001
4.334243e+002, 9.610610e+001
4.339064e+002, 9.582323e+001
4.343885e+002, 9.524391e+001
4.348706e+002, 9.423833e+001
4.353527e+002, 9.319559e+001
4.358348e+002, 9.226144e+001
4.363170e+002, 9.147083e+001
4.367991e+002, 9.092360e+001
4.372812e+002, 9.075027e+001
4.377633e+002, 9.068208e+001
4.382454e+002, 9.050568e+001
4.387275e+002, 9.022310e+001
4.392097e+002, 8.983216e+001
4.396918e+002, 8.928076e+001
4.401739e+002, 8.869923e+001
4.406560e+002, 8.830052e+001
4.411381e+002, 8.808908e+001
4.416202e+002, 8.788224e+001
4.421024e+002, 8.762978e+001
4.425845e+002, 8.735641e+001
4.430666e+002, 8.707475e+001
4.435487e+002, 8.679038e+001
