##NAMES=Peretaite
##RRUFFID=R060459
##IDEAL CHEMISTRY=CaSb^3+^_4_O_4_(S^6+^O_4_)_2_(OH)_2_&#183;2H_2_O
##LOCALITY=Pereta mine, Grosseto, Tuscany, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless thin plates, with red incrustations of valentinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060459
624.7389, 1707.629
625.2210, 1707.169
625.7031, 1705.152
626.1852, 1702.967
626.6674, 1700.481
627.1495, 1698.104
627.6316, 1696.486
628.1137, 1695.632
628.5958, 1695.630
629.0779, 1697.201
629.5601, 1698.867
630.0422, 1696.833
630.5243, 1691.940
631.0064, 1688.014
631.4885, 1687.953
631.9706, 1689.357
632.4528, 1690.161
632.9349, 1690.330
633.4170, 1690.385
633.8991, 1690.349
634.3812, 1690.442
634.8633, 1690.742
635.3455, 1691.156
635.8276, 1692.221
636.3097, 1694.945
636.7918, 1697.387
637.2739, 1697.456
637.7560, 1694.012
638.2382, 1692.837
638.7203, 1694.804
639.2024, 1698.315
639.6845, 1701.298
640.1666, 1703.742
640.6487, 1705.615
641.1309, 1706.773
641.6130, 1707.526
642.0951, 1707.815
642.5772, 1707.964
643.0594, 1708.925
643.5415, 1711.644
644.0236, 1714.888
644.5057, 1718.549
644.9879, 1722.433
645.4700, 1724.857
645.9521, 1723.566
646.4342, 1722.549
646.9163, 1723.895
647.3984, 1728.242
647.8806, 1730.836
648.3627, 1730.995
648.8448, 1730.837
649.3269, 1732.584
649.8090, 1736.248
650.2911, 1737.927
650.7733, 1737.189
651.2554, 1735.281
651.7375, 1733.730
652.2196, 1732.152
652.7017, 1729.527
653.1838, 1725.261
653.6660, 1720.417
654.1481, 1714.898
654.6302, 1709.493
655.1123, 1705.537
655.5944, 1704.492
656.0765, 1703.876
656.5587, 1702.983
657.0408, 1701.856
657.5229, 1700.822
658.0050, 1699.747
658.4871, 1698.984
658.9692, 1698.875
659.4514, 1699.283
659.9335, 1698.457
660.4156, 1696.218
660.8977, 1694.263
661.3798, 1694.621
661.8619, 1696.158
662.3441, 1695.132
662.8262, 1691.255
663.3083, 1688.216
663.7904, 1690.146
664.2725, 1693.950
664.7546, 1696.120
665.2368, 1695.344
665.7189, 1694.653
666.2010, 1696.237
666.6831, 1697.961
667.1652, 1697.178
667.6473, 1690.600
668.1295, 1687.081
668.6116, 1688.563
669.0937, 1692.443
669.5758, 1693.533
670.0579, 1691.584
670.5400, 1689.199
671.0222, 1686.636
671.5043, 1684.604
671.9864, 1684.877
672.4685, 1687.107
672.9506, 1689.670
673.4327, 1692.076
673.9149, 1694.030
674.3970, 1695.181
674.8791, 1695.578
675.3612, 1695.678
675.8433, 1695.511
676.3254, 1695.226
676.8076, 1694.772
677.2897, 1694.045
677.7718, 1694.203
678.2539, 1696.644
678.7360, 1698.103
679.2181, 1695.321
679.7003, 1687.544
680.1824, 1684.486
680.6645, 1687.080
681.1466, 1691.766
681.6287, 1695.211
682.1108, 1697.628
682.5930, 1699.441
683.0751, 1700.650
683.5572, 1701.547
684.0393, 1702.245
684.5214, 1702.800
685.0035, 1703.315
685.4857, 1704.110
685.9678, 1704.482
686.4499, 1703.154
686.9320, 1701.417
687.4141, 1702.238
687.8962, 1707.552
688.3784, 1711.731
688.8605, 1713.234
689.3426, 1712.883
689.8247, 1713.740
690.3068, 1715.902
690.7889, 1717.176
691.2711, 1715.616
691.7532, 1712.872
692.2353, 1712.875
692.7174, 1715.125
693.1995, 1716.448
693.6816, 1713.362
694.1638, 1709.759
694.6459, 1709.014
695.1280, 1711.522
695.6101, 1713.233
696.0922, 1711.902
696.5743, 1710.602
697.0565, 1711.207
697.5386, 1714.526
698.0207, 1716.184
698.5028, 1715.329
698.9849, 1714.664
699.4670, 1717.734
699.9492, 1723.969
700.4313, 1727.050
700.9135, 1725.925
701.3956, 1723.292
701.8777, 1721.275
702.3598, 1719.898
702.8419, 1719.184
703.3240, 1718.993
703.8062, 1719.673
704.2883, 1722.062
704.7704, 1725.214
705.2525, 1727.719
705.7346, 1728.889
706.2167, 1730.056
706.6989, 1731.936
707.1810, 1733.661
707.6631, 1732.697
708.1452, 1728.418
708.6273, 1725.561
709.1094, 1725.996
709.5916, 1728.359
710.0737, 1729.479
710.5558, 1729.618
711.0379, 1730.125
711.5200, 1732.450
712.0021, 1734.898
712.4843, 1735.930
712.9664, 1735.695
713.4485, 1735.178
713.9306, 1734.477
714.4127, 1733.779
714.8948, 1733.102
715.3770, 1732.425
715.8591, 1732.240
716.3412, 1733.194
716.8233, 1733.369
717.3054, 1731.220
717.7875, 1726.871
718.2697, 1723.896
718.7518, 1722.347
719.2339, 1721.283
719.7160, 1720.167
720.1981, 1718.920
720.6802, 1717.367
721.1624, 1715.492
721.6445, 1713.459
722.1266, 1710.033
722.6087, 1707.288
723.0908, 1707.359
723.5729, 1713.169
724.0551, 1716.366
724.5372, 1715.270
725.0193, 1712.676
725.5014, 1711.467
725.9835, 1711.964
726.4656, 1711.871
726.9478, 1710.872
727.4299, 1709.424
727.9120, 1707.363
728.3941, 1705.305
728.8762, 1705.736
729.3583, 1710.663
729.8405, 1715.380
730.3226, 1715.569
730.8047, 1712.968
731.2868, 1710.451
731.7689, 1709.030
732.2510, 1707.595
732.7332, 1704.974
733.2153, 1702.372
733.6974, 1702.688
734.1795, 1707.520
734.6616, 1710.793
735.1437, 1710.493
735.6259, 1708.123
736.1080, 1707.737
736.5901, 1709.087
737.0722, 1710.016
737.5543, 1709.067
738.0364, 1707.460
738.5186, 1706.058
739.0007, 1705.105
739.4828, 1705.443
739.9649, 1710.288
740.4470, 1713.772
740.9291, 1711.909
741.4113, 1705.181
741.8934, 1702.090
