##NAMES=Corundum
##RRUFFID=X080007
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted ruby gemstone, 6.22 ct
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X080007
532.9918, 17363.16
533.4739, 17354.83
533.9560, 17343.13
534.4381, 17319.86
534.9202, 17293.85
535.4023, 17275.11
535.8845, 17265.22
536.3666, 17258.58
536.8487, 17249.77
537.3308, 17238.77
537.8129, 17227.97
538.2950, 17212.88
538.7772, 17204.21
539.2593, 17211.56
539.7414, 17222.46
540.2235, 17222.48
540.7056, 17208.11
541.1877, 17190.18
541.6699, 17179.15
542.1520, 17174.23
542.6341, 17170.69
543.1162, 17169.90
543.5983, 17166.33
544.0804, 17154.87
544.5626, 17138.41
545.0447, 17121.71
545.5268, 17104.58
546.0089, 17088.92
546.4910, 17076.10
546.9731, 17065.40
547.4553, 17056.54
547.9374, 17049.42
548.4195, 17040.29
548.9016, 17024.53
549.3837, 17001.81
549.8658, 16985.71
550.3480, 16980.96
550.8301, 16975.86
551.3122, 16965.65
551.7943, 16954.08
552.2764, 16946.49
552.7585, 16944.01
553.2407, 16942.79
553.7228, 16938.45
554.2049, 16930.89
554.6870, 16921.47
555.1691, 16906.73
555.6512, 16895.11
556.1334, 16893.77
556.6155, 16895.28
557.0976, 16888.74
557.5797, 16870.34
558.0618, 16851.01
558.5439, 16841.11
559.0261, 16838.56
559.5082, 16837.31
559.9903, 16838.09
560.4724, 16832.88
560.9545, 16811.68
561.4366, 16778.55
561.9188, 16754.92
562.4009, 16745.52
562.8830, 16740.04
563.3651, 16739.43
563.8472, 16738.52
564.3293, 16727.37
564.8115, 16705.10
565.2936, 16683.64
565.7757, 16675.79
566.2578, 16681.61
566.7399, 16681.24
567.2220, 16669.55
567.7042, 16657.57
568.1863, 16646.68
568.6684, 16636.63
569.1505, 16627.71
569.6326, 16619.76
570.1147, 16611.02
570.5969, 16597.82
571.0790, 16581.57
571.5611, 16572.43
572.0432, 16572.60
572.5253, 16573.71
573.0074, 16572.46
573.4896, 16569.07
573.9717, 16563.96
574.4538, 16557.37
574.9359, 16548.43
575.4180, 16532.52
575.9001, 16515.99
576.3823, 16511.20
576.8644, 16518.04
577.3465, 16520.47
577.8286, 16506.03
578.3107, 16478.76
578.7928, 16458.43
579.2750, 16446.56
579.7571, 16440.10
580.2392, 16447.55
580.7213, 16453.97
581.2034, 16443.40
581.6855, 16418.65
582.1677, 16398.36
582.6498, 16399.34
583.1319, 16412.45
583.6140, 16403.01
584.0961, 16361.99
584.5782, 16329.11
585.0604, 16319.79
585.5425, 16319.55
586.0246, 16317.75
586.5067, 16313.95
586.9889, 16308.56
587.4710, 16302.65
587.9531, 16294.86
588.4352, 16282.56
588.9174, 16266.54
589.3995, 16250.59
589.8816, 16236.13
590.3637, 16223.36
590.8458, 16212.47
591.3279, 16203.67
591.8101, 16196.40
592.2922, 16191.57
592.7743, 16187.19
593.2564, 16183.18
593.7385, 16178.56
594.2206, 16172.15
594.7028, 16163.43
595.1849, 16151.71
595.6670, 16134.42
596.1491, 16110.14
596.6312, 16090.59
597.1133, 16076.29
597.5955, 16067.40
598.0776, 16065.15
598.5597, 16067.57
599.0418, 16071.58
599.5239, 16078.38
600.0060, 16082.20
600.4882, 16079.72
600.9703, 16070.71
601.4524, 16050.82
601.9345, 16018.61
602.4166, 15990.21
602.8987, 15981.81
603.3809, 15991.46
603.8630, 15991.39
604.3451, 15971.17
604.8272, 15955.76
605.3093, 15954.91
605.7914, 15957.70
606.2736, 15952.61
606.7557, 15938.80
607.2378, 15923.98
607.7199, 15915.20
608.2020, 15910.62
608.6841, 15900.34
609.1663, 15881.22
609.6484, 15865.80
610.1305, 15864.55
610.6126, 15863.76
611.0947, 15848.77
611.5768, 15820.08
612.0590, 15796.27
612.5411, 15789.36
613.0232, 15788.50
613.5053, 15781.26
613.9874, 15768.78
614.4695, 15758.46
614.9517, 15753.85
615.4338, 15750.40
615.9159, 15739.95
616.3980, 15718.80
616.8801, 15703.53
617.3622, 15697.15
617.8444, 15692.44
618.3265, 15686.87
618.8086, 15680.59
619.2907, 15674.18
619.7728, 15667.78
620.2549, 15661.57
620.7371, 15655.71
621.2192, 15650.13
621.7013, 15645.11
622.1834, 15640.95
622.6655, 15636.57
623.1476, 15630.79
623.6298, 15624.56
624.1119, 15620.17
624.5940, 15619.35
625.0761, 15615.64
625.5582, 15604.11
626.0403, 15589.28
626.5225, 15575.88
627.0046, 15564.77
627.4867, 15557.70
627.9688, 15556.74
628.4509, 15558.26
628.9330, 15549.53
629.4152, 15521.93
629.8973, 15500.02
630.3794, 15485.70
630.8615, 15475.41
631.3436, 15470.90
631.8257, 15468.58
632.3079, 15459.44
632.7900, 15436.52
633.2721, 15411.90
633.7542, 15403.55
634.2363, 15409.96
634.7184, 15419.08
635.2006, 15430.73
635.6827, 15438.47
636.1648, 15436.79
636.6469, 15425.62
637.1290, 15409.34
637.6111, 15376.11
638.0933, 15352.16
638.5754, 15349.84
639.0575, 15359.19
639.5396, 15371.95
640.0217, 15384.99
640.5038, 15394.58
640.9860, 15397.35
641.4681, 15394.43
641.9502, 15391.22
642.4323, 15386.50
642.9144, 15384.37
643.3965, 15391.93
643.8787, 15397.24
644.3608, 15390.78
644.8429, 15374.09
645.3250, 15356.61
645.8071, 15342.09
646.2892, 15328.62
646.7714, 15312.87
647.2535, 15296.51
647.7356, 15285.90
648.2177, 15283.28
648.6998, 15283.40
649.1819, 15281.96
649.6641, 15279.53
650.1462, 15264.92
650.6283, 15219.16
651.1104, 15185.58
651.5925, 15182.57
652.0746, 15190.04
652.5568, 15189.23
653.0389, 15176.85
653.5210, 15159.13
654.0031, 15137.65
654.4852, 15115.96
654.9673, 15106.62
655.4495, 15111.05
655.9316, 15110.75
656.4137, 15097.11
656.8958, 15078.90
657.3779, 15066.96
657.8600, 15060.97
658.3422, 15057.71
658.8243, 15061.92
659.3064, 15063.52
659.7885, 15053.14
660.2706, 15037.70
660.7527, 15029.64
661.2349, 15032.14
661.7170, 15037.13
662.1991, 15035.99
662.6812, 15028.83
