##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
416.5444, 909.1143
417.0265, 916.2379
417.5086, 923.2269
417.9908, 931.4335
418.4729, 943.4359
418.9550, 956.3510
419.4371, 966.8121
419.9192, 971.6064
420.4013, 976.7079
420.8835, 984.6210
421.3656, 994.7979
421.8477, 1005.778
422.3298, 1018.989
422.8119, 1031.272
423.2940, 1040.623
423.7762, 1044.942
424.2583, 1052.022
424.7404, 1065.184
425.2225, 1080.441
425.7047, 1093.520
426.1868, 1101.641
426.6689, 1111.095
427.1510, 1123.460
427.6331, 1138.394
428.1152, 1152.504
428.5974, 1165.948
429.0795, 1178.589
429.5616, 1190.051
430.0437, 1199.516
430.5258, 1211.471
431.0079, 1227.149
431.4901, 1243.940
431.9722, 1256.424
432.4543, 1264.009
432.9364, 1272.855
433.4185, 1285.818
433.9006, 1301.889
434.3828, 1316.398
434.8649, 1329.308
435.3470, 1341.168
435.8291, 1352.506
436.3112, 1363.264
436.7933, 1372.783
437.2755, 1380.482
437.7576, 1388.051
438.2397, 1398.622
438.7218, 1411.058
439.2039, 1421.514
439.6860, 1427.916
440.1682, 1431.315
440.6503, 1432.278
441.1324, 1430.832
441.6145, 1428.221
442.0966, 1425.199
442.5787, 1421.351
443.0609, 1416.236
443.5430, 1410.047
444.0251, 1402.152
444.5072, 1392.470
444.9893, 1380.910
445.4714, 1367.148
445.9536, 1349.951
446.4357, 1331.434
446.9178, 1312.387
447.3999, 1292.619
447.8820, 1272.969
448.3641, 1253.595
448.8463, 1234.253
449.3284, 1214.404
449.8105, 1194.588
450.2926, 1173.660
450.7747, 1150.944
451.2569, 1126.768
451.7390, 1103.711
452.2211, 1081.290
452.7032, 1060.565
453.1853, 1042.722
453.6674, 1027.794
454.1496, 1012.112
454.6317, 995.3035
455.1138, 977.9238
455.5959, 960.6326
456.0780, 943.3686
456.5602, 927.2368
457.0423, 913.1393
457.5244, 900.1321
458.0065, 885.5142
458.4886, 869.6461
458.9707, 854.9582
459.4529, 844.3598
459.9350, 835.8484
460.4171, 826.6526
460.8992, 815.9116
