##NAMES=Arseniosiderite
##RRUFFID=R150061
##IDEAL CHEMISTRY=Ca_2_Fe^3+^_3_O_2_(As^5+^O_4_)_3_&#183;3H_2_O
##LOCALITY=Las Animas mine, La Mur, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Dark red platy crystals, associated with bright red granular or prismatic sewardite (R060720)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150061
455.6296, 773.0135
456.1117, 769.7435
456.5938, 764.3391
457.0759, 759.0223
457.5580, 755.4601
458.0402, 752.8807
458.5223, 749.5880
459.0044, 745.3604
459.4865, 741.4284
459.9686, 738.6878
460.4507, 736.9982
460.9329, 736.0762
461.4150, 736.8395
461.8971, 737.4617
462.3792, 736.7468
462.8613, 734.8452
463.3434, 732.4716
463.8256, 729.9053
464.3077, 727.0227
464.7898, 723.2614
465.2719, 716.8049
465.7540, 713.4596
466.2361, 716.2816
466.7183, 722.3910
467.2004, 727.4101
467.6825, 730.9997
468.1646, 733.4520
468.6467, 734.0715
469.1288, 732.8289
469.6110, 734.4006
470.0930, 741.9387
470.5752, 747.8578
471.0573, 745.3669
471.5394, 731.2101
472.0215, 722.4194
472.5036, 721.4372
472.9857, 725.3370
473.4679, 728.5458
473.9500, 731.0130
474.4321, 733.2305
474.9142, 734.9496
475.3963, 736.5706
475.8784, 740.6583
476.3606, 747.4953
476.8427, 752.7436
477.3248, 749.5486
477.8069, 741.9248
478.2890, 739.1009
478.7711, 746.5728
479.2533, 754.6283
479.7354, 751.6647
480.2175, 741.2232
480.6996, 733.8427
481.1817, 736.2295
481.6638, 742.7761
482.1460, 750.9915
482.6281, 761.1501
483.1102, 768.3166
483.5923, 768.8124
484.0744, 766.2917
484.5565, 764.3368
485.0387, 764.5715
485.5208, 764.2552
486.0029, 762.1617
486.4850, 758.9368
486.9671, 757.3666
487.4492, 757.1293
487.9314, 759.0517
488.4135, 765.0469
488.8956, 777.9504
489.3777, 780.9040
489.8598, 769.6758
490.3419, 755.3152
490.8241, 753.1726
491.3062, 764.5847
491.7883, 773.4324
492.2704, 776.3375
492.7525, 773.6623
493.2346, 763.3285
493.7168, 745.8389
494.1989, 731.2972
494.6810, 729.6287
495.1631, 735.4227
495.6452, 736.9445
496.1273, 732.2368
496.6095, 727.1224
497.0916, 728.3091
497.5737, 732.5851
498.0558, 734.6918
498.5379, 730.1229
499.0201, 724.8640
499.5022, 723.1785
499.9843, 724.2851
500.4664, 723.5825
500.9485, 714.5747
501.4306, 706.8444
501.9127, 707.0946
502.3948, 723.8000
502.8770, 732.0833
503.3591, 721.3532
503.8412, 704.7540
504.3233, 699.3901
504.8054, 714.8368
505.2875, 725.0238
505.7697, 722.7501
506.2518, 710.1589
506.7339, 705.0707
507.2160, 709.4876
507.6981, 715.3159
508.1802, 716.5298
508.6624, 713.3533
509.1445, 713.2714
509.6266, 716.9800
510.1087, 723.1074
510.5908, 731.7914
511.0729, 741.9046
511.5551, 748.4881
512.0372, 747.0595
512.5193, 743.1289
513.0014, 742.9899
513.4835, 746.5821
513.9656, 753.6649
514.4478, 771.1613
514.9299, 788.0234
515.4120, 791.9170
515.8941, 775.6829
516.3762, 764.6635
516.8583, 773.3724
517.3405, 791.8639
517.8226, 807.6314
518.3047, 816.6206
518.7868, 824.3137
519.2689, 832.1848
519.7510, 839.9718
520.2332, 844.9265
520.7153, 843.2714
521.1974, 843.6436
521.6795, 851.3215
522.1616, 869.2357
522.6437, 882.1858
523.1259, 889.2114
523.6080, 892.7838
524.0901, 895.3998
524.5722, 897.0561
525.0543, 899.4106
525.5364, 903.3212
526.0186, 907.8526
526.5007, 909.5614
526.9828, 909.0297
527.4649, 911.5757
527.9470, 926.8686
528.4291, 944.8264
528.9113, 949.3823
529.3934, 937.4385
529.8755, 926.0436
530.3576, 929.1967
530.8397, 938.8132
531.3218, 945.1176
531.8040, 944.9357
