##NAMES=Collinsite
##RRUFFID=R140626
##IDEAL CHEMISTRY=Ca_2_Mg(PO_4_)_2_&#183;2H_2_O
##LOCALITY=Near Milgun Station, Meekatharra Shire, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless bladed to prismatic crystals with pointy ends. Associated with gordonite (R130671), montgomeryite (R140625), and hydroxylapatite (R140987).
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R140626
##MEASURED CHEMISTRY=Ca_2.01_Mg_1.06_(P_1.00_O_4_)_2_·2H_2_O ; trace Mn, Fe
3.215294e+002, 8.585526e+002
3.220115e+002, 8.594223e+002
3.224937e+002, 8.599968e+002
3.229758e+002, 8.601661e+002
3.234579e+002, 8.601707e+002
3.239400e+002, 8.606434e+002
3.244221e+002, 8.617836e+002
3.249042e+002, 8.628741e+002
3.253864e+002, 8.632942e+002
3.258685e+002, 8.635463e+002
3.263506e+002, 8.646759e+002
3.268327e+002, 8.671024e+002
3.273148e+002, 8.701662e+002
3.277969e+002, 8.726531e+002
3.282791e+002, 8.742109e+002
3.287612e+002, 8.771207e+002
3.292433e+002, 8.834414e+002
3.297254e+002, 8.905704e+002
3.302075e+002, 8.955931e+002
3.306896e+002, 8.980088e+002
3.311718e+002, 8.987064e+002
3.316539e+002, 8.984149e+002
3.321360e+002, 8.970262e+002
3.326181e+002, 8.948209e+002
3.331002e+002, 8.916025e+002
3.335823e+002, 8.877386e+002
3.340645e+002, 8.830407e+002
3.345466e+002, 8.777269e+002
3.350287e+002, 8.728344e+002
3.355108e+002, 8.691138e+002
3.359929e+002, 8.664854e+002
3.364750e+002, 8.641569e+002
3.369572e+002, 8.623016e+002
3.374393e+002, 8.604918e+002
3.379214e+002, 8.583662e+002
3.384035e+002, 8.561315e+002
3.388856e+002, 8.543669e+002
3.393677e+002, 8.533998e+002
3.398499e+002, 8.529202e+002
3.403320e+002, 8.520729e+002
3.408141e+002, 8.504622e+002
3.412962e+002, 8.492429e+002
3.417783e+002, 8.488926e+002
3.422604e+002, 8.489591e+002
3.427426e+002, 8.489572e+002
3.432247e+002, 8.487504e+002
3.437068e+002, 8.482473e+002
3.441889e+002, 8.472479e+002
3.446710e+002, 8.454241e+002
3.451531e+002, 8.441035e+002
3.456353e+002, 8.432662e+002
3.461174e+002, 8.429690e+002
3.465995e+002, 8.434888e+002
3.470816e+002, 8.447262e+002
3.475637e+002, 8.461418e+002
3.480458e+002, 8.473798e+002
3.485280e+002, 8.484662e+002
3.490101e+002, 8.482487e+002
3.494922e+002, 8.456489e+002
3.499743e+002, 8.430721e+002
3.504564e+002, 8.414072e+002
3.509385e+002, 8.405875e+002
3.514207e+002, 8.403375e+002
3.519028e+002, 8.405396e+002
3.523849e+002, 8.411097e+002
3.528670e+002, 8.416967e+002
3.533491e+002, 8.429166e+002
3.538312e+002, 8.433948e+002
3.543134e+002, 8.421591e+002
3.547955e+002, 8.404134e+002
3.552776e+002, 8.397037e+002
3.557597e+002, 8.405443e+002
3.562418e+002, 8.420458e+002
3.567239e+002, 8.427216e+002
3.572061e+002, 8.422595e+002
3.576882e+002, 8.414914e+002
3.581703e+002, 8.392581e+002
3.586524e+002, 8.375930e+002
3.591345e+002, 8.386750e+002
3.596166e+002, 8.421620e+002
3.600987e+002, 8.453972e+002
3.605808e+002, 8.456821e+002
3.610630e+002, 8.426533e+002
3.615451e+002, 8.401208e+002
3.620272e+002, 8.379330e+002
3.625093e+002, 8.363549e+002
3.629914e+002, 8.357079e+002
3.634735e+002, 8.357219e+002
3.639557e+002, 8.359818e+002
3.644378e+002, 8.362634e+002
3.649199e+002, 8.365128e+002
3.654020e+002, 8.364750e+002
3.658841e+002, 8.357347e+002
3.663662e+002, 8.352902e+002
3.668484e+002, 8.356071e+002
3.673305e+002, 8.360881e+002
3.678126e+002, 8.360241e+002
3.682947e+002, 8.352273e+002
3.687768e+002, 8.342664e+002
3.692589e+002, 8.340960e+002
3.697411e+002, 8.351159e+002
3.702232e+002, 8.358477e+002
3.707053e+002, 8.366311e+002
3.711874e+002, 8.368196e+002
3.716695e+002, 8.356368e+002
3.721516e+002, 8.333710e+002
3.726338e+002, 8.311827e+002
3.731159e+002, 8.300915e+002
3.735980e+002, 8.300709e+002
3.740801e+002, 8.302907e+002
3.745622e+002, 8.310058e+002
3.750443e+002, 8.316508e+002
3.755265e+002, 8.320148e+002
3.760086e+002, 8.321962e+002
3.764907e+002, 8.323539e+002
3.769728e+002, 8.325745e+002
3.774549e+002, 8.327961e+002
3.779370e+002, 8.328808e+002
3.784192e+002, 8.328090e+002
3.789013e+002, 8.326547e+002
3.793834e+002, 8.323202e+002
3.798655e+002, 8.319845e+002
3.803476e+002, 8.317410e+002
3.808297e+002, 8.316129e+002
3.813119e+002, 8.316995e+002
3.817940e+002, 8.322158e+002
3.822761e+002, 8.331528e+002
3.827582e+002, 8.339044e+002
3.832403e+002, 8.343093e+002
3.837224e+002, 8.346068e+002
3.842046e+002, 8.351404e+002
3.846867e+002, 8.357640e+002
3.851688e+002, 8.359605e+002
3.856509e+002, 8.351107e+002
3.861330e+002, 8.336965e+002
3.866151e+002, 8.328889e+002
3.870973e+002, 8.328672e+002
3.875794e+002, 8.327981e+002
3.880615e+002, 8.318655e+002
3.885436e+002, 8.306750e+002
3.890257e+002, 8.301713e+002
3.895078e+002, 8.308193e+002
3.899900e+002, 8.316513e+002
3.904721e+002, 8.318834e+002
3.909542e+002, 8.315499e+002
3.914363e+002, 8.307971e+002
3.919184e+002, 8.292234e+002
3.924005e+002, 8.278269e+002
3.928827e+002, 8.281946e+002
3.933648e+002, 8.304477e+002
3.938469e+002, 8.324732e+002
3.943290e+002, 8.334212e+002
3.948111e+002, 8.336444e+002
3.952932e+002, 8.336288e+002
3.957754e+002, 8.334356e+002
3.962575e+002, 8.331058e+002
3.967396e+002, 8.325285e+002
3.972217e+002, 8.317841e+002
3.977038e+002, 8.315681e+002
3.981859e+002, 8.320987e+002
3.986681e+002, 8.330035e+002
3.991501e+002, 8.343749e+002
3.996323e+002, 8.359895e+002
4.001144e+002, 8.370574e+002
4.005965e+002, 8.371118e+002
4.010786e+002, 8.364748e+002
4.015607e+002, 8.360485e+002
4.020428e+002, 8.358190e+002
4.025250e+002, 8.357675e+002
4.030071e+002, 8.355598e+002
4.034892e+002, 8.356740e+002
4.039713e+002, 8.368360e+002
4.044534e+002, 8.391555e+002
4.049355e+002, 8.419349e+002
4.054177e+002, 8.444469e+002
4.058998e+002, 8.467442e+002
4.063819e+002, 8.482856e+002
4.068640e+002, 8.482036e+002
4.073461e+002, 8.482856e+002
4.078282e+002, 8.495025e+002
4.083104e+002, 8.516258e+002
4.087925e+002, 8.538890e+002
4.092746e+002, 8.558184e+002
4.097567e+002, 8.575655e+002
4.102388e+002, 8.598713e+002
