##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
429.6529, 31.55352
430.1350, 31.36914
430.6172, 31.24281
431.0992, 31.33464
431.5814, 31.64701
432.0635, 31.90993
432.5456, 32.13680
433.0277, 32.31065
433.5098, 32.32396
433.9919, 32.30622
434.4741, 32.50409
434.9562, 33.02254
435.4383, 33.66693
435.9204, 34.03830
436.4025, 33.93369
436.8846, 33.93641
437.3668, 34.11673
437.8489, 34.32923
438.3310, 34.43359
438.8131, 34.47029
439.2952, 34.61889
439.7773, 35.04989
440.2595, 35.73039
440.7416, 36.32470
441.2237, 36.74452
441.7058, 37.20596
442.1879, 37.78813
442.6700, 38.42332
443.1522, 39.03150
443.6343, 39.58617
444.1164, 40.14051
444.5985, 40.78245
445.0806, 41.51599
445.5627, 42.23129
446.0449, 42.84655
446.5270, 43.51195
447.0091, 44.31934
447.4912, 45.25694
447.9733, 46.28085
448.4554, 47.49706
448.9376, 48.73909
449.4197, 49.69011
449.9018, 50.33192
450.3839, 50.87085
450.8660, 51.43113
451.3481, 51.92530
451.8303, 52.22167
452.3124, 52.29631
452.7945, 52.23486
453.2766, 52.06955
453.7587, 51.80198
454.2408, 51.43148
454.7230, 50.95680
455.2051, 50.37608
455.6872, 49.60689
456.1693, 48.63586
456.6514, 48.02835
457.1335, 47.91111
457.6157, 48.04337
458.0978, 48.37783
458.5799, 48.85458
459.0620, 49.39061
459.5441, 49.96382
460.0262, 50.47404
460.5084, 50.66711
460.9905, 50.43153
461.4726, 50.00756
461.9547, 49.58074
462.4368, 48.83606
462.9189, 47.44452
463.4011, 45.46091
463.8832, 43.22432
464.3653, 40.98140
464.8474, 38.74669
465.3295, 36.75470
465.8116, 34.99178
466.2938, 33.52394
466.7759, 32.49749
467.2580, 31.70044
467.7401, 30.91190
468.2222, 30.06759
468.7043, 29.23122
469.1865, 28.45501
469.6686, 27.72919
470.1507, 27.21697
470.6328, 27.07170
471.1149, 26.99053
471.5970, 26.79119
472.0792, 26.51376
472.5613, 26.26633
473.0434, 26.08240
473.5255, 25.96479
474.0076, 25.96092
474.4897, 26.07591
474.9719, 26.09722
475.4540, 25.87869
475.9361, 25.58452
476.4182, 25.47453
476.9003, 25.57471
477.3824, 25.65524
477.8645, 25.63146
478.3466, 25.53713
478.8288, 25.40572
479.3109, 25.24262
479.7930, 25.07544
480.2751, 24.92484
480.7572, 24.78860
481.2393, 24.63898
481.7215, 24.33549
482.2036, 24.18748
482.6857, 24.43401
483.1678, 24.82806
483.6499, 25.01813
484.1320, 24.90917
484.6142, 24.69659
485.0963, 24.63997
485.5784, 24.78893
486.0605, 24.85989
486.5426, 24.81464
487.0247, 24.73877
487.5069, 24.60670
487.9890, 24.47632
488.4711, 24.46088
488.9532, 24.62489
489.4353, 24.85957
489.9174, 24.90903
490.3996, 24.68517
490.8817, 24.58069
