##NAMES=Chrysoberyl
##RRUFFID=X080002
##IDEAL CHEMISTRY=BeAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted purple alexandrite gemstone, 7.35 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080002
462.1206, 448.5722
462.6027, 448.1465
463.0848, 447.1736
463.5669, 446.4732
464.0490, 446.1555
464.5312, 445.8905
465.0133, 445.4956
465.4954, 445.1250
465.9775, 444.9596
466.4596, 445.0476
466.9417, 445.2087
467.4239, 445.2272
467.9060, 445.1453
468.3881, 445.2318
468.8702, 445.4922
469.3523, 446.0003
469.8344, 446.9713
470.3166, 448.2614
470.7987, 449.4481
471.2808, 450.3560
471.7629, 451.1822
472.2450, 451.8636
472.7271, 452.5279
473.2093, 453.6058
473.6914, 454.9574
474.1735, 457.3868
474.6556, 462.8032
475.1377, 471.6449
475.6198, 481.3348
476.1020, 490.7477
476.5841, 501.3630
477.0662, 514.8084
477.5483, 530.9429
478.0304, 549.2336
478.5125, 570.0715
478.9947, 592.3976
479.4768, 606.0577
479.9589, 611.9954
480.4410, 607.8228
480.9231, 587.5836
481.4052, 559.9305
481.8874, 531.8735
482.3695, 505.8355
482.8516, 483.2539
483.3337, 466.0083
483.8158, 454.4227
484.2979, 445.4878
484.7801, 440.4267
485.2622, 436.8667
485.7443, 434.3815
486.2264, 432.7278
486.7085, 431.7280
487.1906, 431.4364
487.6728, 431.2994
488.1549, 430.3060
488.6370, 428.3703
489.1191, 427.0729
489.6012, 427.2428
490.0833, 427.6192
490.5655, 426.9283
491.0476, 425.3394
491.5297, 424.0221
492.0118, 423.5967
492.4939, 423.6123
492.9760, 423.5606
493.4582, 423.4278
493.9403, 423.2737
494.4224, 423.1943
494.9045, 423.0538
495.3866, 422.3749
495.8687, 420.6391
496.3509, 419.7027
496.8330, 420.5809
497.3151, 422.1313
497.7972, 423.1807
498.2793, 423.5855
498.7614, 423.7427
499.2436, 423.9085
