##NAMES=Benjaminite
##RRUFFID=R070399
##IDEAL CHEMISTRY=Ag_3_Bi_7_S_12_
##LOCALITY=Outlaw Mine, Round Mountain District, Nye County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black polished crystals embedded in epoxy, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070399
510.5697, 102.1588
511.0518, 103.4176
511.5339, 105.6199
512.0161, 107.1963
512.4982, 108.1458
512.9803, 108.0371
513.4624, 106.4877
513.9445, 106.5273
514.4266, 111.6688
514.9088, 116.7048
515.3909, 113.7470
515.8730, 101.9782
516.3551, 93.03230
516.8372, 91.93234
517.3193, 94.04928
517.8015, 95.42739
518.2836, 96.06377
518.7657, 97.53968
519.2478, 100.8362
519.7299, 104.7900
520.2120, 106.5208
520.6942, 104.4077
521.1763, 103.1423
521.6584, 104.3500
522.1405, 104.8033
522.6226, 101.7605
523.1047, 96.52032
523.5869, 92.60995
524.0690, 92.06023
524.5511, 93.30607
525.0332, 94.64391
525.5153, 96.05653
525.9974, 94.13268
526.4796, 85.74571
526.9617, 77.55743
527.4438, 79.04478
527.9259, 88.74386
528.4080, 93.29240
528.8901, 85.18208
529.3723, 77.01210
529.8544, 76.98794
530.3365, 82.14091
530.8186, 86.74341
531.3007, 88.80464
531.7828, 89.17685
532.2650, 88.72177
532.7471, 87.02445
533.2292, 87.14899
533.7113, 92.37327
534.1934, 95.61230
534.6755, 92.70012
535.1577, 87.34146
535.6398, 84.75780
536.1219, 86.60285
536.6040, 89.69720
537.0861, 91.97054
537.5682, 93.14508
538.0504, 91.61276
538.5325, 86.79000
539.0146, 82.22003
539.4967, 79.85880
539.9788, 79.91290
540.4609, 83.23250
540.9431, 94.67793
541.4252, 102.4260
541.9073, 102.0326
542.3894, 98.22215
542.8715, 93.78395
543.3536, 90.13224
543.8358, 90.23137
544.3179, 97.56607
544.8000, 109.4490
545.2821, 113.2175
545.7642, 105.3141
546.2463, 99.06654
546.7285, 100.0611
547.2106, 102.2938
547.6927, 100.6798
548.1748, 95.41283
548.6569, 90.99333
549.1390, 89.51726
549.6211, 89.79147
550.1032, 91.04991
550.5853, 93.03329
551.0674, 94.96849
551.5496, 96.66776
552.0317, 97.60400
552.5138, 96.73773
552.9959, 93.07668
553.4780, 90.98406
553.9601, 91.56931
554.4423, 92.28903
554.9244, 89.63731
555.4065, 87.21196
555.8886, 92.77138
556.3707, 109.4997
556.8528, 125.5667
557.3350, 123.1316
557.8171, 105.1624
558.2992, 97.36429
558.7813, 105.1769
559.2634, 113.2848
559.7455, 110.8013
560.2277, 100.9226
560.7098, 94.50146
561.1919, 92.59051
561.6740, 92.40146
562.1561, 94.52809
562.6382, 97.06065
563.1204, 97.18330
563.6025, 95.26419
564.0846, 95.21606
564.5667, 100.7036
565.0488, 108.8415
565.5309, 107.0682
566.0131, 89.36850
566.4952, 76.97630
566.9773, 77.01637
567.4594, 80.79633
567.9415, 84.37807
568.4236, 87.22935
568.9058, 88.50123
569.3879, 86.62003
569.8700, 84.10175
570.3521, 83.84827
570.8342, 85.15181
571.3163, 85.97670
571.7985, 85.81504
572.2806, 83.57285
572.7627, 76.83115
573.2448, 64.20040
573.7269, 60.23881
574.2090, 74.79971
574.6912, 85.77224
575.1733, 85.53529
575.6554, 79.95664
576.1375, 74.41369
576.6196, 70.60538
577.1017, 70.08246
577.5839, 77.29180
578.0660, 88.87733
578.5481, 92.24386
579.0302, 86.21068
579.5123, 80.87071
579.9944, 80.88273
580.4766, 84.19742
580.9587, 87.22231
581.4408, 90.11449
581.9229, 92.25475
582.4050, 94.65806
582.8871, 95.26584
583.3693, 89.36535
583.8514, 80.99174
584.3335, 79.93609
584.8156, 90.77851
585.2977, 105.2865
585.7798, 109.7475
586.2620, 103.1547
586.7441, 98.14305
587.2262, 95.84485
587.7083, 94.23216
588.1904, 92.57345
588.6725, 90.71780
589.1547, 87.91523
589.6368, 82.65343
590.1189, 80.18272
590.6010, 87.82491
591.0831, 97.08103
591.5652, 94.29655
592.0474, 80.61259
592.5295, 69.76497
593.0116, 71.06580
593.4937, 81.10448
593.9758, 89.93847
594.4579, 98.73946
594.9401, 103.4410
595.4222, 102.5430
595.9043, 98.33864
596.3864, 88.72431
596.8685, 76.72593
597.3506, 69.69941
597.8328, 71.67223
598.3149, 76.92986
598.7970, 80.47783
599.2791, 83.27737
599.7612, 88.73465
600.2433, 97.54155
600.7255, 105.2116
601.2076, 108.2406
