##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz. Sample used in Downs and Palmer (1994)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
593.6212, 1757.001
594.1033, 1752.896
594.5854, 1749.563
595.0675, 1743.261
595.5496, 1729.305
596.0317, 1719.575
596.5139, 1720.021
596.9960, 1723.262
597.4781, 1720.352
597.9602, 1711.122
598.4423, 1707.716
598.9244, 1725.857
599.4066, 1749.312
599.8887, 1751.475
600.3708, 1735.339
600.8529, 1723.541
601.3350, 1725.784
601.8171, 1734.305
602.2993, 1735.976
602.7814, 1726.489
603.2635, 1726.304
603.7456, 1748.778
604.2277, 1764.901
604.7098, 1758.520
605.1920, 1741.836
605.6741, 1732.544
606.1562, 1736.133
606.6383, 1743.057
607.1204, 1745.985
607.6025, 1745.142
608.0847, 1738.878
608.5668, 1726.521
609.0489, 1720.081
609.5310, 1729.416
610.0131, 1745.763
610.4952, 1745.868
610.9774, 1713.578
611.4595, 1696.355
611.9416, 1708.737
612.4237, 1724.093
612.9058, 1727.897
613.3879, 1721.881
613.8701, 1711.257
614.3522, 1697.464
614.8343, 1686.544
615.3164, 1689.173
615.7985, 1703.391
616.2806, 1715.471
616.7628, 1725.283
617.2449, 1726.068
617.7270, 1708.145
618.2091, 1677.955
618.6912, 1662.310
619.1733, 1666.709
619.6555, 1675.887
620.1376, 1694.454
620.6197, 1711.464
621.1018, 1718.518
621.5839, 1715.663
622.0660, 1705.578
622.5482, 1688.218
623.0303, 1669.798
623.5124, 1662.570
623.9945, 1666.598
624.4766, 1673.849
624.9587, 1685.434
625.4409, 1694.389
625.9230, 1692.701
626.4051, 1682.636
626.8872, 1678.757
627.3693, 1686.806
627.8514, 1694.048
628.3336, 1693.810
628.8157, 1693.240
629.2978, 1704.999
629.7799, 1725.560
630.2620, 1734.295
630.7441, 1713.069
631.2263, 1676.405
631.7084, 1661.382
632.1905, 1670.072
632.6726, 1679.911
633.1547, 1688.978
633.6368, 1693.331
634.1190, 1686.874
634.6011, 1671.310
635.0832, 1658.341
635.5653, 1641.593
636.0474, 1636.163
636.5295, 1659.064
637.0117, 1689.557
637.4938, 1703.253
637.9759, 1697.973
638.4580, 1687.754
638.9401, 1683.479
639.4222, 1682.380
639.9044, 1674.799
640.3865, 1659.379
640.8686, 1648.549
641.3507, 1646.393
641.8328, 1648.122
642.3149, 1649.006
642.7971, 1649.396
643.2792, 1652.720
643.7613, 1668.049
644.2434, 1675.999
644.7255, 1663.250
645.2076, 1642.203
645.6898, 1625.302
646.1719, 1615.650
646.6540, 1613.491
647.1361, 1620.912
647.6182, 1634.040
648.1003, 1641.338
648.5825, 1642.633
649.0646, 1639.319
649.5467, 1629.433
650.0288, 1618.642
650.5109, 1612.743
650.9930, 1611.502
651.4752, 1611.209
651.9573, 1613.859
652.4394, 1614.849
652.9215, 1606.123
653.4036, 1598.647
653.8857, 1609.987
654.3679, 1638.435
654.8500, 1661.209
655.3321, 1659.238
655.8142, 1640.767
656.2963, 1623.991
656.7784, 1608.532
657.2606, 1603.869
657.7427, 1617.358
658.2248, 1631.605
658.7069, 1625.330
659.1890, 1599.350
659.6711, 1592.151
660.1533, 1626.355
660.6354, 1650.700
661.1175, 1642.855
661.5996, 1624.582
662.0817, 1616.043
662.5638, 1619.607
663.0459, 1628.751
663.5280, 1643.002
664.0101, 1654.543
664.4922, 1642.697
664.9744, 1609.700
665.4565, 1589.699
665.9386, 1592.036
666.4207, 1602.818
666.9028, 1611.156
667.3849, 1616.935
667.8671, 1618.595
668.3492, 1610.021
668.8313, 1605.886
669.3134, 1615.220
669.7955, 1624.276
670.2776, 1619.062
670.7598, 1602.522
671.2419, 1589.456
671.7240, 1589.660
672.2061, 1593.781
672.6882, 1586.650
673.1703, 1572.219
673.6525, 1568.990
674.1346, 1581.124
674.6167, 1592.762
675.0988, 1590.208
675.5809, 1576.783
676.0630, 1570.759
676.5452, 1579.548
677.0273, 1583.946
677.5094, 1578.658
677.9915, 1572.879
678.4736, 1573.035
678.9557, 1577.265
679.4379, 1579.596
679.9200, 1576.870
680.4021, 1574.020
680.8842, 1573.881
681.3663, 1576.982
681.8484, 1586.614
682.3306, 1602.175
682.8127, 1615.350
683.2948, 1621.098
683.7769, 1619.900
684.2590, 1611.399
684.7411, 1589.417
685.2233, 1578.489
685.7054, 1591.307
686.1875, 1601.904
686.6696, 1592.681
687.1517, 1574.185
687.6339, 1566.296
688.1160, 1575.473
688.5981, 1585.246
689.0802, 1588.422
689.5623, 1587.971
690.0444, 1586.812
690.5266, 1584.996
691.0087, 1580.695
691.4908, 1572.975
691.9729, 1565.623
