##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
520.2120, 2570.330
520.6942, 2575.610
521.1763, 2578.513
521.6584, 2576.813
522.1405, 2575.099
522.6226, 2577.662
523.1047, 2582.246
523.5869, 2582.446
524.0690, 2573.647
524.5511, 2561.615
525.0332, 2554.985
525.5153, 2553.750
525.9974, 2557.535
526.4796, 2569.258
526.9617, 2581.111
527.4438, 2583.764
527.9259, 2578.335
528.4080, 2572.988
528.8901, 2564.086
529.3723, 2560.271
529.8544, 2570.771
530.3365, 2589.264
530.8186, 2603.870
531.3007, 2610.541
531.7828, 2612.226
532.2650, 2613.147
532.7471, 2613.897
533.2292, 2609.984
533.7113, 2591.854
534.1934, 2580.206
534.6755, 2587.028
535.1577, 2601.735
535.6398, 2609.436
536.1219, 2605.434
536.6040, 2598.590
537.0861, 2596.924
537.5682, 2599.045
538.0504, 2601.256
538.5325, 2603.496
539.0146, 2602.579
539.4967, 2593.999
539.9788, 2580.534
540.4609, 2576.053
540.9431, 2587.781
541.4252, 2597.467
541.9073, 2597.510
542.3894, 2596.399
542.8715, 2605.115
543.3536, 2622.492
543.8358, 2635.624
544.3179, 2632.434
544.8000, 2618.482
545.2821, 2620.729
545.7642, 2648.712
546.2463, 2666.685
546.7285, 2658.085
547.2106, 2641.412
547.6927, 2628.796
548.1748, 2620.937
548.6569, 2616.669
549.1390, 2615.380
549.6211, 2617.597
550.1032, 2628.102
550.5853, 2643.771
551.0674, 2649.412
551.5496, 2637.632
552.0317, 2620.305
552.5138, 2617.274
552.9959, 2634.743
553.4780, 2645.587
553.9601, 2643.689
554.4423, 2642.748
554.9244, 2648.738
555.4065, 2659.169
555.8886, 2671.011
556.3707, 2683.360
556.8528, 2692.169
557.3350, 2691.759
557.8171, 2682.938
558.2992, 2670.241
558.7813, 2650.709
559.2634, 2638.315
559.7455, 2646.907
560.2277, 2669.383
560.7098, 2681.959
561.1919, 2679.661
561.6740, 2675.940
562.1561, 2673.663
562.6382, 2672.841
563.1204, 2674.188
563.6025, 2677.253
564.0846, 2680.142
564.5667, 2681.606
565.0488, 2681.612
565.5309, 2679.912
566.0131, 2675.884
566.4952, 2671.691
566.9773, 2662.631
567.4594, 2657.800
567.9415, 2668.899
568.4236, 2691.290
568.9058, 2703.398
569.3879, 2686.005
569.8700, 2663.517
570.3521, 2662.969
570.8342, 2678.472
571.3163, 2690.263
571.7985, 2692.230
572.2806, 2689.685
572.7627, 2688.916
573.2448, 2690.317
573.7269, 2689.686
574.2090, 2689.557
574.6912, 2684.471
575.1733, 2665.546
575.6554, 2644.891
576.1375, 2636.952
576.6196, 2644.372
577.1017, 2656.610
577.5839, 2665.829
578.0660, 2672.201
578.5481, 2674.906
579.0302, 2661.948
579.5123, 2681.222
579.9944, 2692.122
580.4766, 2695.098
580.9587, 2666.420
581.4408, 2678.617
581.9229, 2674.433
582.4050, 2669.578
582.8871, 2687.528
583.3693, 2663.454
583.8514, 2681.043
584.3335, 2682.001
584.8156, 2690.570
585.2977, 2682.657
585.7798, 2679.835
586.2620, 2693.501
586.7441, 2698.037
587.2262, 2688.227
587.7083, 2676.815
588.1904, 2687.890
588.6725, 2701.141
589.1547, 2702.068
589.6368, 2682.485
590.1189, 2667.238
590.6010, 2673.512
591.0831, 2688.003
591.5652, 2691.653
592.0474, 2684.865
592.5295, 2683.608
593.0116, 2699.892
593.4937, 2724.976
593.9758, 2730.445
594.4579, 2705.225
594.9401, 2686.684
595.4222, 2681.297
595.9043, 2680.344
596.3864, 2681.648
596.8685, 2683.993
597.3506, 2684.959
597.8328, 2682.853
598.3149, 2680.658
598.7970, 2681.098
599.2791, 2683.551
599.7612, 2687.194
600.2433, 2691.893
600.7255, 2694.260
601.2076, 2689.938
601.6897, 2680.816
602.1718, 2682.531
602.6539, 2713.018
603.1360, 2729.643
603.6182, 2719.366
604.1003, 2702.121
604.5824, 2690.651
605.0645, 2686.183
605.5466, 2685.489
606.0287, 2686.598
606.5109, 2690.584
606.9930, 2704.024
607.4751, 2724.391
607.9572, 2728.421
608.4393, 2706.636
608.9214, 2681.898
609.4036, 2678.216
609.8857, 2695.719
610.3678, 2706.242
610.8499, 2706.876
611.3320, 2704.928
611.8141, 2695.782
612.2963, 2688.797
612.7784, 2699.209
613.2605, 2724.320
613.7426, 2740.933
614.2247, 2727.093
614.7068, 2696.034
615.1890, 2680.502
615.6711, 2681.058
616.1532, 2685.401
616.6353, 2692.237
617.1174, 2697.621
617.5995, 2696.064
618.0817, 2687.387
618.5638, 2680.834
619.0459, 2673.347
619.5280, 2671.968
620.0101, 2684.631
620.4922, 2702.369
620.9744, 2714.126
621.4565, 2717.881
621.9386, 2719.092
622.4207, 2724.123
622.9028, 2729.921
623.3849, 2721.037
623.8671, 2678.081
624.3492, 2696.891
624.8313, 2707.327
625.3134, 2709.839
625.7955, 2680.697
626.2776, 2692.430
626.7598, 2687.782
627.2419, 2682.463
627.7240, 2699.949
628.2061, 2675.411
628.6882, 2692.536
629.1703, 2693.030
629.6525, 2701.135
630.1346, 2692.758
630.6167, 2689.472
631.0988, 2702.673
631.5809, 2706.745
632.0630, 2696.471
632.5452, 2705.060
633.0273, 2679.946
633.5094, 2684.407
633.9915, 2701.628
634.4736, 2698.240
634.9557, 2703.757
635.4379, 2692.960
635.9200, 2683.731
636.4021, 2690.090
636.8842, 2703.123
637.3663, 2707.477
637.8484, 2700.205
638.3306, 2691.437
638.8127, 2691.979
639.2948, 2699.685
639.7769, 2700.560
640.2590, 2692.116
640.7411, 2685.758
641.2233, 2685.926
641.7054, 2688.398
642.1875, 2688.106
642.6696, 2685.438
643.1517, 2685.568
643.6339, 2689.167
644.1160, 2696.241
644.5981, 2713.886
645.0802, 2732.219
645.5623, 2732.450
646.0444, 2712.916
646.5266, 2693.182
647.0087, 2692.649
647.4908, 2706.430
647.9729, 2710.211
648.4550, 2700.429
648.9371, 2695.359
649.4193, 2704.517
649.9014, 2714.650
650.3835, 2710.046
650.8656, 2693.384
651.3477, 2683.826
651.8298, 2692.318
652.3120, 2699.741
652.7941, 2692.733
653.2762, 2681.450
653.7583, 2682.403
654.2404, 2696.052
654.7225, 2706.360
655.2047, 2698.715
655.6868, 2680.101
656.1689, 2674.169
656.6510, 2682.645
657.1331, 2694.167
657.6152, 2710.875
658.0974, 2723.498
658.5795, 2721.699
659.0616, 2708.051
659.5437, 2693.226
660.0258, 2666.868
660.5079, 2653.472
660.9901, 2677.024
661.4722, 2707.664
661.9543, 2708.161
662.4364, 2681.564
662.9185, 2661.235
663.4006, 2670.477
663.8828, 2696.241
664.3649, 2711.258
664.8470, 2715.260
665.3291, 2716.087
665.8112, 2712.313
666.2933, 2712.226
666.7755, 2727.231
667.2576, 2751.105
667.7397, 2757.093
668.2218, 2732.154
668.7039, 2710.735
669.1860, 2697.188
669.6682, 2691.437
670.1503, 2695.688
670.6324, 2707.551
671.1145, 2722.416
671.5966, 2738.694
672.0787, 2752.359
672.5609, 2757.008
673.0430, 2753.591
673.5251, 2748.586
674.0072, 2742.400
674.4893, 2735.041
674.9714, 2723.947
675.4536, 2713.668
675.9357, 2717.305
676.4178, 2746.465
676.8999, 2764.089
677.3820, 2763.075
677.8641, 2756.620
678.3463, 2749.411
678.8284, 2742.244
679.3105, 2733.518
679.7926, 2722.760
680.2747, 2718.018
680.7568, 2733.004
681.2390, 2758.158
681.7211, 2770.753
682.2032, 2770.135
682.6853, 2762.675
683.1674, 2749.714
683.6495, 2735.616
684.1317, 2726.980
684.6138, 2724.375
685.0959, 2724.401
685.5780, 2729.269
686.0601, 2734.156
686.5422, 2740.868
687.0244, 2745.239
687.5065, 2741.359
687.9886, 2729.298
688.4707, 2717.767
688.9528, 2704.364
689.4349, 2699.592
689.9171, 2727.088
690.3992, 2773.164
690.8813, 2794.296
691.3634, 2779.098
691.8455, 2755.328
692.3276, 2751.222
692.8098, 2763.966
693.2919, 2768.814
