##NAMES=Rhodonite
##RRUFFID=R100038
##IDEAL CHEMISTRY=CaMn^2+^_3_Mn^2+^Si_5_O_15_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale red, tabular to blocky crystals associated with black langbanite R100037
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100038
558.6275, 659.2699
559.1096, 660.0453
559.5917, 660.5753
560.0739, 660.9733
560.5560, 661.2518
561.0381, 661.4402
561.5202, 661.2908
562.0023, 661.2150
562.4844, 661.5414
562.9666, 662.8740
563.4487, 663.7513
563.9308, 663.7786
564.4129, 663.4448
564.8950, 663.4890
565.3771, 664.0095
565.8593, 664.6246
566.3414, 665.0450
566.8235, 665.5081
567.3056, 667.4714
567.7877, 671.1611
568.2698, 674.5934
568.7520, 676.3040
569.2341, 676.7568
569.7162, 678.0418
570.1983, 680.2878
570.6804, 682.1512
571.1625, 681.6710
571.6447, 680.1373
572.1268, 679.7111
572.6089, 681.3181
573.0910, 683.2523
573.5731, 684.7982
574.0552, 685.8735
574.5374, 686.3655
575.0195, 684.9603
575.5016, 684.2589
575.9837, 685.8189
576.4658, 689.3664
576.9479, 691.3121
577.4301, 690.3771
577.9122, 689.2507
578.3943, 689.0856
578.8764, 690.0583
579.3585, 690.9937
579.8406, 691.7931
580.3228, 692.7707
580.8049, 694.3057
581.2870, 696.3622
581.7691, 698.6588
582.2512, 701.3538
582.7333, 703.7142
583.2155, 704.2257
583.6975, 703.3952
584.1796, 702.8593
584.6617, 703.3710
585.1439, 704.4990
585.6260, 706.1799
586.1081, 708.2522
586.5902, 709.9344
587.0723, 710.4587
587.5544, 710.7957
588.0366, 711.4462
588.5187, 712.4350
589.0008, 713.8787
589.4829, 716.5820
589.9650, 719.2240
590.4471, 720.7311
590.9293, 720.3902
591.4114, 720.6244
591.8935, 721.7628
592.3756, 723.3697
592.8577, 724.7112
593.3398, 725.7734
593.8220, 726.6263
594.3041, 727.1102
594.7862, 727.5319
595.2683, 728.8466
595.7504, 730.9052
596.2325, 732.6995
596.7147, 733.2509
597.1968, 733.3768
597.6789, 733.9958
598.1610, 735.1811
598.6431, 736.6419
599.1252, 738.5710
599.6074, 740.4915
600.0895, 741.9689
600.5716, 742.3688
601.0537, 743.3141
601.5358, 745.5289
602.0179, 748.2248
602.5001, 750.3412
602.9822, 751.3903
603.4643, 752.8609
603.9464, 755.3430
604.4285, 758.2748
604.9106, 759.4926
605.3928, 758.7148
605.8749, 758.6030
606.3570, 761.0320
606.8391, 765.0928
607.3212, 767.9230
607.8033, 769.5335
608.2855, 770.4688
608.7676, 770.2008
