##NAMES=Parisite-(Ce)
##RRUFFID=R120061
##IDEAL CHEMISTRY=CaCe_2_(CO_3_)_3_F_2_
##LOCALITY=Snowbird mine, Fish Creek, Alberton, Mineral County, Montana, USA
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Brown hexagonal prismatic crystals, associated with white quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120061
2.910527e+002, 2.101842e+002
2.915349e+002, 2.101628e+002
2.920170e+002, 2.098427e+002
2.924991e+002, 2.092456e+002
2.929812e+002, 2.086137e+002
2.934633e+002, 2.080769e+002
2.939454e+002, 2.076108e+002
2.944276e+002, 2.071858e+002
2.949097e+002, 2.068316e+002
2.953918e+002, 2.064001e+002
2.958739e+002, 2.055735e+002
2.963560e+002, 2.044569e+002
2.968381e+002, 2.035037e+002
2.973203e+002, 2.031142e+002
2.978024e+002, 2.030139e+002
2.982845e+002, 2.025498e+002
2.987666e+002, 2.016693e+002
2.992487e+002, 2.008270e+002
2.997308e+002, 2.006345e+002
3.002130e+002, 2.008674e+002
3.006951e+002, 2.008840e+002
3.011772e+002, 2.003408e+002
3.016593e+002, 1.994793e+002
3.021414e+002, 1.985439e+002
3.026235e+002, 1.975461e+002
3.031057e+002, 1.966591e+002
3.035878e+002, 1.961253e+002
3.040699e+002, 1.958014e+002
3.045520e+002, 1.954270e+002
3.050341e+002, 1.948137e+002
3.055162e+002, 1.942108e+002
3.059984e+002, 1.941050e+002
3.064805e+002, 1.943833e+002
3.069626e+002, 1.942614e+002
3.074447e+002, 1.928268e+002
3.079268e+002, 1.907883e+002
3.084089e+002, 1.890726e+002
3.088911e+002, 1.879492e+002
3.093732e+002, 1.871595e+002
3.098553e+002, 1.866142e+002
3.103374e+002, 1.862628e+002
3.108195e+002, 1.859234e+002
3.113016e+002, 1.854835e+002
3.117838e+002, 1.850197e+002
3.122659e+002, 1.845993e+002
3.127480e+002, 1.842522e+002
3.132301e+002, 1.839117e+002
3.137122e+002, 1.835761e+002
3.141943e+002, 1.832142e+002
3.146765e+002, 1.827679e+002
3.151586e+002, 1.820086e+002
3.156407e+002, 1.813005e+002
3.161228e+002, 1.808758e+002
3.166049e+002, 1.808008e+002
3.170870e+002, 1.808706e+002
3.175692e+002, 1.813445e+002
3.180513e+002, 1.818329e+002
3.185334e+002, 1.817850e+002
3.190155e+002, 1.805010e+002
3.194976e+002, 1.790936e+002
3.199797e+002, 1.779836e+002
3.204619e+002, 1.772020e+002
3.209440e+002, 1.767038e+002
3.214261e+002, 1.767248e+002
3.219082e+002, 1.769180e+002
3.223903e+002, 1.769550e+002
3.228724e+002, 1.766874e+002
3.233546e+002, 1.763321e+002
3.238367e+002, 1.758781e+002
3.243188e+002, 1.753349e+002
3.248009e+002, 1.749134e+002
3.252830e+002, 1.746843e+002
3.257651e+002, 1.745710e+002
3.262473e+002, 1.745259e+002
3.267294e+002, 1.747422e+002
3.272115e+002, 1.748064e+002
3.276936e+002, 1.745732e+002
3.281757e+002, 1.741237e+002
3.286578e+002, 1.738433e+002
3.291400e+002, 1.740349e+002
3.296221e+002, 1.741533e+002
3.301042e+002, 1.739405e+002
3.305863e+002, 1.729380e+002
3.310684e+002, 1.723750e+002
3.315505e+002, 1.725216e+002
3.320327e+002, 1.730565e+002
3.325148e+002, 1.732563e+002
3.329969e+002, 1.728553e+002
3.334790e+002, 1.724620e+002
3.339611e+002, 1.722975e+002
3.344432e+002, 1.724472e+002
3.349254e+002, 1.724770e+002
3.354075e+002, 1.724511e+002
3.358896e+002, 1.722425e+002
3.363717e+002, 1.715609e+002
3.368538e+002, 1.700489e+002
3.373359e+002, 1.689550e+002
3.378180e+002, 1.687755e+002
3.383001e+002, 1.694907e+002
3.387823e+002, 1.697600e+002
3.392644e+002, 1.694566e+002
3.397465e+002, 1.689621e+002
3.402286e+002, 1.686183e+002
3.407107e+002, 1.684389e+002
3.411928e+002, 1.683927e+002
3.416750e+002, 1.685657e+002
3.421571e+002, 1.688464e+002
3.426392e+002, 1.687470e+002
3.431213e+002, 1.682202e+002
3.436034e+002, 1.675728e+002
3.440855e+002, 1.669850e+002
3.445677e+002, 1.664621e+002
3.450498e+002, 1.659738e+002
3.455319e+002, 1.654797e+002
3.460140e+002, 1.650872e+002
3.464961e+002, 1.651026e+002
3.469782e+002, 1.655078e+002
3.474604e+002, 1.658595e+002
3.479425e+002, 1.659281e+002
3.484246e+002, 1.657415e+002
3.489067e+002, 1.653156e+002
3.493888e+002, 1.645966e+002
3.498709e+002, 1.639100e+002
3.503531e+002, 1.637842e+002
3.508352e+002, 1.640652e+002
3.513173e+002, 1.641814e+002
3.517994e+002, 1.637754e+002
3.522815e+002, 1.630858e+002
3.527636e+002, 1.624492e+002
3.532458e+002, 1.618647e+002
3.537279e+002, 1.614100e+002
3.542100e+002, 1.612412e+002
3.546921e+002, 1.612315e+002
3.551742e+002, 1.611583e+002
3.556563e+002, 1.608923e+002
3.561385e+002, 1.605958e+002
3.566206e+002, 1.605421e+002
3.571027e+002, 1.606465e+002
3.575848e+002, 1.604977e+002
3.580669e+002, 1.595435e+002
3.585490e+002, 1.583722e+002
3.590312e+002, 1.575833e+002
3.595133e+002, 1.574431e+002
3.599954e+002, 1.573428e+002
3.604775e+002, 1.568795e+002
3.609596e+002, 1.561996e+002
3.614417e+002, 1.556209e+002
3.619239e+002, 1.552525e+002
3.624060e+002, 1.550314e+002
3.628881e+002, 1.550191e+002
3.633702e+002, 1.553096e+002
3.638523e+002, 1.553323e+002
3.643344e+002, 1.546077e+002
3.648166e+002, 1.536205e+002
3.652987e+002, 1.529184e+002
3.657808e+002, 1.530263e+002
3.662629e+002, 1.530537e+002
3.667450e+002, 1.525515e+002
3.672271e+002, 1.515236e+002
3.677093e+002, 1.510938e+002
3.681914e+002, 1.520945e+002
3.686735e+002, 1.532895e+002
3.691556e+002, 1.538765e+002
3.696377e+002, 1.532142e+002
3.701198e+002, 1.526906e+002
3.706020e+002, 1.524707e+002
3.710841e+002, 1.524402e+002
3.715662e+002, 1.521554e+002
3.720483e+002, 1.512330e+002
3.725304e+002, 1.505244e+002
3.730125e+002, 1.504592e+002
3.734947e+002, 1.513968e+002
3.739768e+002, 1.519358e+002
3.744589e+002, 1.519721e+002
3.749410e+002, 1.516989e+002
3.754231e+002, 1.513825e+002
3.759052e+002, 1.509554e+002
3.763874e+002, 1.506786e+002
3.768695e+002, 1.506697e+002
3.773516e+002, 1.509246e+002
3.778337e+002, 1.511235e+002
3.783158e+002, 1.512404e+002
3.787979e+002, 1.513901e+002
3.792801e+002, 1.517553e+002
3.797622e+002, 1.523593e+002
3.802443e+002, 1.527485e+002
3.807264e+002, 1.527801e+002
3.812085e+002, 1.525918e+002
3.816906e+002, 1.525245e+002
3.821728e+002, 1.525766e+002
3.826549e+002, 1.527263e+002
3.831370e+002, 1.530517e+002
3.836191e+002, 1.534794e+002
3.841012e+002, 1.536711e+002
3.845833e+002, 1.535398e+002
3.850655e+002, 1.533421e+002
3.855476e+002, 1.535087e+002
3.860297e+002, 1.539265e+002
3.865118e+002, 1.541800e+002
3.869939e+002, 1.538546e+002
3.874760e+002, 1.533348e+002
3.879582e+002, 1.532823e+002
3.884403e+002, 1.537156e+002
3.889224e+002, 1.540617e+002
3.894045e+002, 1.536076e+002
3.898866e+002, 1.528401e+002
3.903687e+002, 1.524597e+002
3.908509e+002, 1.529691e+002
3.913330e+002, 1.536514e+002
3.918151e+002, 1.540939e+002
3.922972e+002, 1.543079e+002
3.927793e+002, 1.543469e+002
3.932614e+002, 1.541833e+002
