##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=W^6+^O_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
2.592330e+002, 1.223521e+003
2.597151e+002, 1.231069e+003
2.601973e+002, 1.240089e+003
2.606794e+002, 1.250737e+003
2.611615e+002, 1.261474e+003
2.616436e+002, 1.272445e+003
2.621257e+002, 1.283272e+003
2.626078e+002, 1.293117e+003
2.630900e+002, 1.301387e+003
2.635721e+002, 1.310055e+003
2.640542e+002, 1.320793e+003
2.645363e+002, 1.334965e+003
2.650184e+002, 1.342472e+003
2.655005e+002, 1.341359e+003
2.659827e+002, 1.336142e+003
2.664648e+002, 1.333914e+003
2.669469e+002, 1.336826e+003
2.674290e+002, 1.336487e+003
2.679111e+002, 1.329545e+003
2.683932e+002, 1.315563e+003
2.688754e+002, 1.302364e+003
2.693575e+002, 1.290399e+003
2.698396e+002, 1.278486e+003
2.703217e+002, 1.265193e+003
2.708038e+002, 1.250231e+003
2.712859e+002, 1.235016e+003
2.717681e+002, 1.219749e+003
2.722502e+002, 1.204515e+003
2.727323e+002, 1.190482e+003
2.732144e+002, 1.178209e+003
2.736965e+002, 1.166475e+003
2.741786e+002, 1.153819e+003
2.746608e+002, 1.139757e+003
2.751429e+002, 1.126857e+003
2.756250e+002, 1.116056e+003
2.761071e+002, 1.107082e+003
2.765892e+002, 1.097210e+003
2.770714e+002, 1.086230e+003
2.775535e+002, 1.075404e+003
2.780356e+002, 1.066245e+003
2.785177e+002, 1.058959e+003
2.789998e+002, 1.051124e+003
2.794819e+002, 1.042135e+003
2.799641e+002, 1.032209e+003
2.804462e+002, 1.022906e+003
2.809283e+002, 1.014459e+003
2.814104e+002, 1.005490e+003
2.818925e+002, 9.947115e+002
2.823746e+002, 9.821172e+002
2.828568e+002, 9.688058e+002
2.833389e+002, 9.548596e+002
2.838210e+002, 9.404326e+002
2.843031e+002, 9.258010e+002
2.847852e+002, 9.108828e+002
2.852673e+002, 8.961993e+002
2.857495e+002, 8.822004e+002
2.862316e+002, 8.688138e+002
2.867137e+002, 8.548588e+002
2.871958e+002, 8.400164e+002
2.876779e+002, 8.247987e+002
2.881600e+002, 8.102650e+002
2.886422e+002, 7.964150e+002
2.891243e+002, 7.826250e+002
2.896064e+002, 7.684795e+002
2.900885e+002, 7.540922e+002
2.905706e+002, 7.408350e+002
2.910527e+002, 7.289310e+002
2.915349e+002, 7.178847e+002
2.920170e+002, 7.069320e+002
2.924991e+002, 6.961691e+002
2.929812e+002, 6.856726e+002
2.934633e+002, 6.753283e+002
2.939454e+002, 6.653328e+002
2.944276e+002, 6.567130e+002
2.949097e+002, 6.498234e+002
2.953918e+002, 6.433494e+002
2.958739e+002, 6.353095e+002
2.963560e+002, 6.261559e+002
2.968381e+002, 6.176277e+002
2.973203e+002, 6.110450e+002
2.978024e+002, 6.056680e+002
2.982845e+002, 5.998162e+002
2.987666e+002, 5.933785e+002
2.992487e+002, 5.870799e+002
2.997308e+002, 5.816537e+002
3.002130e+002, 5.768795e+002
3.006951e+002, 5.722003e+002
3.011772e+002, 5.670386e+002
3.016593e+002, 5.620236e+002
3.021414e+002, 5.582797e+002
3.026235e+002, 5.558074e+002
3.031057e+002, 5.533287e+002
3.035878e+002, 5.487243e+002
3.040699e+002, 5.434793e+002
3.045520e+002, 5.406375e+002
3.050341e+002, 5.435779e+002
3.055162e+002, 5.471321e+002
3.059984e+002, 5.449449e+002
3.064805e+002, 5.378009e+002
3.069626e+002, 5.309113e+002
3.074447e+002, 5.283905e+002
3.079268e+002, 5.281099e+002
3.084089e+002, 5.273503e+002
3.088911e+002, 5.251243e+002
3.093732e+002, 5.226782e+002
3.098553e+002, 5.209146e+002
3.103374e+002, 5.197480e+002
3.108195e+002, 5.188566e+002
3.113016e+002, 5.184060e+002
3.117838e+002, 5.179845e+002
3.122659e+002, 5.171047e+002
3.127480e+002, 5.153700e+002
3.132301e+002, 5.139050e+002
3.137122e+002, 5.137394e+002
3.141943e+002, 5.143197e+002
3.146765e+002, 5.144866e+002
3.151586e+002, 5.128870e+002
3.156407e+002, 5.112963e+002
3.161228e+002, 5.111537e+002
3.166049e+002, 5.131392e+002
3.170870e+002, 5.144294e+002
3.175692e+002, 5.129433e+002
3.180513e+002, 5.101895e+002
3.185334e+002, 5.082830e+002
3.190155e+002, 5.091524e+002
3.194976e+002, 5.099462e+002
3.199797e+002, 5.090166e+002
3.204619e+002, 5.060482e+002
3.209440e+002, 5.040194e+002
3.214261e+002, 5.046011e+002
3.219082e+002, 5.062017e+002
3.223903e+002, 5.073147e+002
3.228724e+002, 5.073998e+002
3.233546e+002, 5.071760e+002
3.238367e+002, 5.067388e+002
3.243188e+002, 5.060995e+002
3.248009e+002, 5.054387e+002
3.252830e+002, 5.047305e+002
3.257651e+002, 5.040569e+002
3.262473e+002, 5.034760e+002
3.267294e+002, 5.027774e+002
3.272115e+002, 5.024415e+002
3.276936e+002, 5.024485e+002
3.281757e+002, 5.028443e+002
3.286578e+002, 5.038264e+002
3.291400e+002, 5.067408e+002
3.296221e+002, 5.091367e+002
3.301042e+002, 5.098972e+002
3.305863e+002, 5.072831e+002
3.310684e+002, 5.059207e+002
3.315505e+002, 5.062585e+002
3.320327e+002, 5.077591e+002
3.325148e+002, 5.092476e+002
3.329969e+002, 5.105575e+002
3.334790e+002, 5.120527e+002
3.339611e+002, 5.139299e+002
3.344432e+002, 5.163310e+002
3.349254e+002, 5.184628e+002
3.354075e+002, 5.201691e+002
3.358896e+002, 5.216853e+002
3.363717e+002, 5.233438e+002
3.368538e+002, 5.251931e+002
3.373359e+002, 5.270185e+002
3.378180e+002, 5.287928e+002
3.383001e+002, 5.305090e+002
3.387823e+002, 5.318387e+002
3.392644e+002, 5.324474e+002
3.397465e+002, 5.333225e+002
3.402286e+002, 5.357501e+002
3.407107e+002, 5.400951e+002
3.411928e+002, 5.436707e+002
3.416750e+002, 5.455171e+002
3.421571e+002, 5.463301e+002
3.426392e+002, 5.489249e+002
3.431213e+002, 5.536208e+002
3.436034e+002, 5.585441e+002
3.440855e+002, 5.620935e+002
3.445677e+002, 5.643306e+002
3.450498e+002, 5.676357e+002
3.455319e+002, 5.724728e+002
3.460140e+002, 5.781620e+002
