##NAMES=Schaurteite
##RRUFFID=R120054
##IDEAL CHEMISTRY=Ca_3_Ge(S^6+^O_4_)_2_(OH)_6_&#183;3H_2_O
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Massive aggregate of parallel and radiating colorless needles intermixed with calcite, associated with tennantite and renierite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120054
3.652987e+002, 5.084716e+002
3.657808e+002, 5.046813e+002
3.662629e+002, 5.008476e+002
3.667450e+002, 4.965703e+002
3.672271e+002, 4.918633e+002
3.677093e+002, 4.882856e+002
3.681914e+002, 4.870872e+002
3.686735e+002, 4.863932e+002
3.691556e+002, 4.849691e+002
3.696377e+002, 4.818637e+002
3.701198e+002, 4.791889e+002
3.706020e+002, 4.771368e+002
3.710841e+002, 4.755807e+002
3.715662e+002, 4.740606e+002
3.720483e+002, 4.724509e+002
3.725304e+002, 4.710428e+002
3.730125e+002, 4.700406e+002
3.734947e+002, 4.697708e+002
3.739768e+002, 4.689071e+002
3.744589e+002, 4.670326e+002
3.749410e+002, 4.648876e+002
3.754231e+002, 4.638098e+002
3.759052e+002, 4.642580e+002
3.763874e+002, 4.644833e+002
3.768695e+002, 4.639112e+002
3.773516e+002, 4.625621e+002
3.778337e+002, 4.612598e+002
3.783158e+002, 4.598650e+002
3.787979e+002, 4.588737e+002
3.792801e+002, 4.590668e+002
3.797622e+002, 4.605260e+002
3.802443e+002, 4.614566e+002
3.807264e+002, 4.613459e+002
3.812085e+002, 4.606342e+002
3.816906e+002, 4.606701e+002
3.821728e+002, 4.614699e+002
3.826549e+002, 4.619808e+002
3.831370e+002, 4.610237e+002
3.836191e+002, 4.590683e+002
3.841012e+002, 4.582376e+002
3.845833e+002, 4.589957e+002
3.850655e+002, 4.599790e+002
3.855476e+002, 4.592609e+002
3.860297e+002, 4.571787e+002
3.865118e+002, 4.550062e+002
3.869939e+002, 4.531789e+002
3.874760e+002, 4.516811e+002
3.879582e+002, 4.505196e+002
3.884403e+002, 4.496884e+002
3.889224e+002, 4.490697e+002
3.894045e+002, 4.488166e+002
3.898866e+002, 4.486669e+002
3.903687e+002, 4.482206e+002
3.908509e+002, 4.470159e+002
3.913330e+002, 4.458553e+002
3.918151e+002, 4.455011e+002
3.922972e+002, 4.457448e+002
3.927793e+002, 4.457176e+002
3.932614e+002, 4.444952e+002
3.937436e+002, 4.431569e+002
3.942257e+002, 4.425208e+002
3.947078e+002, 4.430410e+002
3.951899e+002, 4.435068e+002
3.956720e+002, 4.433661e+002
3.961541e+002, 4.429146e+002
3.966363e+002, 4.426307e+002
3.971184e+002, 4.429572e+002
3.976005e+002, 4.431595e+002
3.980826e+002, 4.428021e+002
3.985647e+002, 4.417338e+002
3.990468e+002, 4.412545e+002
3.995290e+002, 4.422092e+002
4.000111e+002, 4.433975e+002
4.004932e+002, 4.438436e+002
4.009753e+002, 4.426503e+002
4.014574e+002, 4.419254e+002
4.019395e+002, 4.420395e+002
4.024217e+002, 4.428068e+002
4.029038e+002, 4.433693e+002
4.033859e+002, 4.437407e+002
4.038680e+002, 4.438915e+002
4.043501e+002, 4.437683e+002
4.048322e+002, 4.432781e+002
4.053144e+002, 4.428216e+002
4.057965e+002, 4.423519e+002
4.062786e+002, 4.419762e+002
4.067607e+002, 4.418953e+002
4.072428e+002, 4.421453e+002
4.077249e+002, 4.424979e+002
4.082071e+002, 4.429414e+002
4.086892e+002, 4.434344e+002
4.091713e+002, 4.436156e+002
4.096534e+002, 4.434199e+002
4.101355e+002, 4.432823e+002
4.106176e+002, 4.436873e+002
4.110998e+002, 4.445397e+002
4.115819e+002, 4.452919e+002
4.120640e+002, 4.458354e+002
4.125461e+002, 4.462319e+002
4.130282e+002, 4.465987e+002
4.135103e+002, 4.469216e+002
4.139925e+002, 4.471324e+002
4.144746e+002, 4.471348e+002
4.149567e+002, 4.470187e+002
4.154388e+002, 4.468603e+002
4.159209e+002, 4.466400e+002
4.164030e+002, 4.465997e+002
4.168852e+002, 4.472818e+002
4.173673e+002, 4.482251e+002
4.178494e+002, 4.486823e+002
4.183315e+002, 4.474683e+002
4.188136e+002, 4.464287e+002
4.192957e+002, 4.470956e+002
4.197779e+002, 4.492003e+002
4.202600e+002, 4.509659e+002
4.207421e+002, 4.511070e+002
4.212242e+002, 4.508942e+002
4.217063e+002, 4.513081e+002
4.221884e+002, 4.530703e+002
4.226706e+002, 4.544532e+002
4.231527e+002, 4.547697e+002
4.236348e+002, 4.544652e+002
4.241169e+002, 4.543812e+002
4.245990e+002, 4.548064e+002
4.250811e+002, 4.553032e+002
4.255633e+002, 4.556384e+002
4.260454e+002, 4.557080e+002
4.265275e+002, 4.563149e+002
4.270096e+002, 4.580005e+002
4.274917e+002, 4.597863e+002
4.279738e+002, 4.608036e+002
4.284560e+002, 4.604803e+002
4.289381e+002, 4.605923e+002
4.294202e+002, 4.615355e+002
4.299023e+002, 4.629947e+002
4.303844e+002, 4.639797e+002
4.308665e+002, 4.644728e+002
4.313487e+002, 4.645170e+002
4.318308e+002, 4.639173e+002
4.323129e+002, 4.626199e+002
4.327950e+002, 4.618654e+002
4.332771e+002, 4.616880e+002
4.337592e+002, 4.620259e+002
4.342414e+002, 4.631161e+002
4.347235e+002, 4.648675e+002
4.352056e+002, 4.660886e+002
4.356877e+002, 4.660897e+002
4.361698e+002, 4.655502e+002
4.366519e+002, 4.660115e+002
4.371341e+002, 4.674332e+002
4.376162e+002, 4.689733e+002
4.380983e+002, 4.695824e+002
4.385804e+002, 4.700016e+002
4.390625e+002, 4.716998e+002
4.395446e+002, 4.752207e+002
4.400268e+002, 4.790154e+002
4.405089e+002, 4.816633e+002
4.409910e+002, 4.835761e+002
4.414731e+002, 4.855556e+002
4.419552e+002, 4.876036e+002
4.424373e+002, 4.901342e+002
4.429195e+002, 4.937584e+002
4.434016e+002, 4.984406e+002
4.438837e+002, 5.027392e+002
4.443658e+002, 5.058608e+002
4.448479e+002, 5.084704e+002
4.453300e+002, 5.110678e+002
4.458122e+002, 5.143195e+002
4.462943e+002, 5.168446e+002
4.467764e+002, 5.182076e+002
4.472585e+002, 5.186808e+002
4.477406e+002, 5.189628e+002
4.482227e+002, 5.187789e+002
4.487049e+002, 5.187302e+002
4.491870e+002, 5.189868e+002
4.496691e+002, 5.195690e+002
4.501512e+002, 5.203091e+002
4.506333e+002, 5.209978e+002
4.511154e+002, 5.220716e+002
4.515976e+002, 5.240851e+002
