##NAMES=Minasragrite
##RRUFFID=R130365
##IDEAL CHEMISTRY=V^4+^O(S^6+^O_4_)&#183;5H_2_O
##LOCALITY=Minas Ragra mine, Pasco, Peru
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Glassy blue crystals on patronite, associated with R130366 retgersite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130365
4.161460e+002, 8.883520e+001
4.166281e+002, 8.818544e+001
4.171102e+002, 8.772421e+001
4.175923e+002, 8.790088e+001
4.180745e+002, 8.853488e+001
4.185566e+002, 8.904021e+001
4.190387e+002, 8.944911e+001
4.195208e+002, 8.964195e+001
4.200029e+002, 8.938505e+001
4.204850e+002, 8.901508e+001
4.209672e+002, 8.886772e+001
4.214493e+002, 8.902830e+001
4.219314e+002, 8.924636e+001
4.224135e+002, 8.921110e+001
4.228956e+002, 8.894277e+001
4.233777e+002, 8.888940e+001
4.238599e+002, 8.928643e+001
4.243420e+002, 8.967717e+001
4.248241e+002, 8.967632e+001
4.253062e+002, 8.937303e+001
4.257883e+002, 8.908567e+001
4.262704e+002, 8.890505e+001
4.267526e+002, 8.883611e+001
4.272347e+002, 8.891186e+001
4.277168e+002, 8.913899e+001
4.281989e+002, 8.941135e+001
4.286810e+002, 8.973074e+001
4.291631e+002, 9.002600e+001
4.296453e+002, 9.014355e+001
4.301274e+002, 8.998906e+001
4.306095e+002, 8.987005e+001
4.310916e+002, 8.998422e+001
4.315737e+002, 9.023376e+001
4.320558e+002, 9.040780e+001
4.325380e+002, 9.044324e+001
4.330201e+002, 9.046965e+001
4.335022e+002, 9.065879e+001
4.339843e+002, 9.104190e+001
4.344664e+002, 9.131583e+001
4.349485e+002, 9.144115e+001
4.354307e+002, 9.147861e+001
4.359128e+002, 9.141131e+001
4.363949e+002, 9.128002e+001
4.368770e+002, 9.119798e+001
4.373591e+002, 9.123132e+001
4.378412e+002, 9.136232e+001
4.383234e+002, 9.152424e+001
4.388055e+002, 9.194328e+001
4.392876e+002, 9.209939e+001
4.397697e+002, 9.157906e+001
4.402518e+002, 9.099536e+001
4.407339e+002, 9.105879e+001
4.412160e+002, 9.183986e+001
4.416982e+002, 9.272263e+001
4.421803e+002, 9.296843e+001
4.426624e+002, 9.246181e+001
4.431445e+002, 9.216991e+001
4.436266e+002, 9.223013e+001
4.441087e+002, 9.236817e+001
4.445909e+002, 9.248650e+001
4.450730e+002, 9.263033e+001
4.455551e+002, 9.292407e+001
4.460372e+002, 9.345115e+001
4.465193e+002, 9.405049e+001
4.470014e+002, 9.436855e+001
4.474836e+002, 9.436595e+001
4.479657e+002, 9.419564e+001
4.484478e+002, 9.353086e+001
4.489299e+002, 9.296642e+001
4.494120e+002, 9.298678e+001
4.498941e+002, 9.356381e+001
4.503763e+002, 9.417512e+001
4.508584e+002, 9.443784e+001
4.513405e+002, 9.440707e+001
4.518226e+002, 9.426594e+001
4.523047e+002, 9.393812e+001
4.527868e+002, 9.370072e+001
4.532690e+002, 9.377306e+001
4.537511e+002, 9.402642e+001
4.542332e+002, 9.431558e+001
4.547153e+002, 9.466617e+001
4.551974e+002, 9.493425e+001
4.556795e+002, 9.493874e+001
4.561617e+002, 9.474074e+001
4.566438e+002, 9.460643e+001
