##NAMES=Salammoniac
##RRUFFID=R061022
##IDEAL CHEMISTRY=N^3-^H_4_Cl
##LOCALITY=Schoeller mine, Kladno, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=A crust of colorless tabular crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R061022
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
407.6261, 2.461700
408.1082, 2.882660
408.5904, 4.093567
409.0725, 5.208313
409.5546, 5.732697
410.0367, 5.742371
410.5188, 5.475311
411.0009, 4.687500
411.4831, 3.926666
411.9652, 3.031921
412.4473, 2.283875
412.9294, 2.002625
413.4115, 2.215240
413.8936, 2.619781
414.3758, 2.881500
414.8579, 3.002106
415.3400, 2.961365
415.8221, 2.868591
416.3042, 2.490479
416.7863, 1.486908
417.2685, 0.1496580
417.7506, 1.006409
418.2327, 1.695374
418.7148, 1.943726
419.1969, 1.675751
419.6790, 0.3865360
420.1612, 0.2358090
420.6433, 0.9376530
421.1254, 2.465668
421.6075, 3.068512
422.0896, 2.526855
422.5717, 1.809509
423.0539, 1.877167
423.5360, 2.684265
424.0181, 3.545685
424.5002, 4.515198
424.9823, 5.342163
425.4644, 5.840698
425.9466, 6.086121
426.4287, 6.247101
426.9108, 6.208282
427.3929, 6.256439
427.8750, 6.969849
428.3571, 8.397583
428.8393, 9.545380
429.3214, 9.866882
429.8035, 9.716461
430.2856, 9.761688
430.7677, 10.06396
431.2498, 10.34375
431.7320, 10.43478
432.2141, 10.41537
432.6962, 10.36078
433.1783, 10.25311
433.6604, 10.37079
434.1425, 11.10654
434.6247, 12.47018
435.1068, 13.51590
435.5889, 13.91861
436.0710, 14.25931
436.5531, 14.99820
437.0352, 15.98691
437.5174, 16.71066
437.9995, 16.87292
438.4816, 16.71896
438.9637, 16.91013
439.4458, 17.72446
439.9279, 18.47699
440.4101, 19.20758
440.8922, 19.82120
441.3743, 20.18530
441.8564, 20.31363
442.3385, 20.37988
442.8206, 20.53946
443.3028, 20.79068
443.7849, 21.20767
444.2670, 22.03192
444.7491, 22.75882
445.2312, 23.13840
445.7133, 23.37640
446.1955, 23.79462
446.6776, 24.53369
447.1597, 25.42783
447.6418, 26.12714
448.1239, 26.49039
448.6060, 27.09015
449.0882, 28.46588
449.5703, 29.70554
450.0524, 30.23126
450.5345, 30.12054
451.0166, 29.86029
451.4987, 29.67905
451.9809, 29.62424
452.4630, 29.92804
452.9451, 30.72986
453.4272, 31.52158
453.9093, 32.08942
454.3914, 32.49734
454.8736, 32.76437
455.3557, 32.85632
455.8378, 32.94641
456.3199, 33.22760
456.8020, 33.63696
457.2841, 33.84793
457.7663, 33.67517
458.2484, 33.52917
458.7305, 33.91556
459.2126, 34.77512
459.6947, 35.69772
460.1768, 36.80405
460.6590, 37.79648
461.1411, 38.46609
461.6232, 38.82111
462.1053, 38.87656
462.5874, 38.56357
463.0695, 38.04712
463.5517, 37.81726
464.0338, 38.14017
464.5159, 38.23102
464.9980, 37.61975
465.4801, 37.06177
465.9622, 37.47745
466.4444, 38.77789
466.9265, 39.85004
467.4086, 39.60504
467.8907, 38.06522
468.3728, 37.15735
468.8549, 37.66968
469.3371, 37.98444
469.8192, 37.31366
470.3013, 36.45456
470.7834, 36.56586
471.2655, 38.01172
471.7477, 39.84262
472.2298, 40.60428
472.7119, 40.07764
473.1940, 39.57596
473.6761, 39.22522
474.1582, 38.88629
474.6404, 38.36270
475.1225, 37.82669
475.6046, 37.66983
476.0867, 38.26785
476.5688, 39.20300
477.0509, 39.60568
477.5331, 39.38568
478.0152, 39.25476
478.4973, 39.61084
478.9794, 40.10492
479.4615, 40.26083
479.9436, 40.01544
480.4258, 39.97403
480.9079, 40.71442
481.3900, 41.76352
481.8721, 42.20120
482.3542, 41.90408
482.8363, 41.63144
483.3185, 42.02347
483.8006, 42.91376
484.2827, 43.32428
484.7648, 42.74399
485.2469, 42.30527
485.7290, 42.57275
486.2112, 43.17059
486.6933, 43.46564
487.1754, 43.28745
487.6575, 43.07538
488.1396, 43.42679
488.6217, 44.54153
489.1039, 45.26825
489.5860, 45.74094
490.0681, 45.76761
490.5502, 44.77127
491.0323, 43.37045
491.5144, 42.67215
491.9966, 43.24344
492.4787, 44.51608
492.9608, 45.34109
493.4429, 45.69641
493.9250, 45.66437
494.4071, 44.77863
494.8893, 43.89581
495.3714, 43.43518
495.8535, 43.38480
496.3356, 43.56052
496.8177, 43.96326
497.2998, 44.45325
497.7820, 44.70456
498.2641, 44.70804
498.7462, 44.48160
499.2283, 43.50143
499.7104, 42.66556
500.1925, 43.41980
500.6747, 46.16196
501.1568, 48.25412
501.6389, 48.05090
502.1210, 46.49203
502.6031, 44.89600
503.0852, 43.43320
503.5674, 42.38910
504.0495, 42.06042
504.5316, 42.36713
505.0137, 42.64658
505.4958, 43.13739
505.9779, 43.31921
506.4601, 42.80017
506.9422, 41.98944
507.4243, 41.30292
507.9064, 40.88583
508.3885, 40.90359
508.8706, 41.67862
509.3528, 43.41724
509.8349, 44.29361
510.3170, 43.69312
510.7991, 42.89011
511.2812, 41.84348
511.7633, 40.94534
512.2454, 40.92700
512.7275, 42.10559
513.2097, 43.41684
513.6918, 42.92877
514.1739, 40.34509
514.6560, 38.80814
515.1381, 39.38232
515.6202, 40.26001
516.1024, 40.41064
516.5845, 39.97388
517.0666, 39.34238
517.5487, 38.56293
518.0308, 37.77521
518.5129, 37.20874
518.9951, 36.83743
519.4772, 36.26370
519.9593, 35.20419
520.4414, 34.11072
520.9235, 33.80853
521.4056, 34.36670
521.8878, 34.80023
522.3699, 34.96341
522.8520, 34.82513
523.3341, 34.23944
523.8162, 33.37271
524.2983, 32.71011
524.7805, 32.52365
525.2626, 32.61099
525.7447, 32.41797
526.2268, 31.76941
526.7089, 31.10278
527.1910, 30.24808
527.6732, 29.51007
528.1553, 29.21219
528.6374, 29.21387
529.1195, 29.00961
529.6016, 28.15002
530.0837, 26.89844
530.5659, 26.30341
531.0480, 26.65552
531.5301, 27.02664
532.0122, 27.38629
532.4943, 27.49146
532.9764, 26.87186
533.4586, 25.52982
533.9407, 24.47568
534.4228, 24.63306
534.9049, 25.49585
535.3870, 26.08658
535.8691, 26.36307
536.3513, 26.26501
536.8334, 25.51480
537.3155, 24.44360
537.7976, 23.95770
538.2797, 24.19559
538.7618, 24.63846
539.2440, 25.75327
539.7261, 26.68170
540.2082, 26.20691
540.6903, 24.36157
541.1724, 22.36172
541.6545, 21.13928
542.1367, 20.62640
542.6188, 20.23486
543.1009, 20.08051
543.5830, 19.99295
544.0651, 19.95505
544.5472, 19.84058
545.0294, 19.58600
545.5115, 19.21204
545.9936, 18.76050
546.4757, 18.14548
546.9578, 17.45886
