##NAMES=Anthoinite
##RRUFFID=R070025
##IDEAL CHEMISTRY=AlW^6+^O_3_(OH)_3_
##LOCALITY=Kyakabingu, Bumbogo, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White, waxy flaky crystals associated with tan colored jarosite on quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070025
626.8318, 47312.34
627.3139, 47281.00
627.7960, 47279.82
628.2781, 47312.02
628.7603, 47344.75
629.2424, 47350.86
629.7245, 47336.65
630.2066, 47314.79
630.6887, 47283.62
631.1708, 47261.02
631.6530, 47284.00
632.1351, 47321.05
632.6172, 47324.53
633.0993, 47210.71
633.5814, 47130.59
634.0635, 47170.77
634.5457, 47295.88
635.0278, 47368.48
635.5099, 47312.02
635.9920, 47272.82
636.4741, 47312.57
636.9562, 47440.14
637.4384, 47479.71
637.9205, 47409.54
638.4026, 47312.56
638.8847, 47240.96
639.3668, 47196.59
639.8489, 47219.48
640.3311, 47329.86
640.8132, 47445.22
641.2953, 47461.35
641.7774, 47408.74
642.2595, 47354.32
642.7416, 47310.57
643.2238, 47286.57
643.7059, 47307.57
644.1880, 47357.18
644.6701, 47380.33
645.1522, 47318.80
645.6343, 47265.28
646.1165, 47269.69
646.5986, 47341.95
647.0807, 47370.14
647.5628, 47331.68
648.0449, 47283.52
648.5270, 47267.99
649.0092, 47287.68
649.4913, 47315.34
649.9734, 47353.21
650.4555, 47388.49
650.9376, 47390.59
651.4197, 47372.73
651.9019, 47384.34
652.3840, 47468.33
652.8661, 47555.97
653.3482, 47565.93
653.8303, 47522.00
654.3124, 47497.95
654.7946, 47549.28
655.2767, 47604.67
655.7588, 47624.36
656.2409, 47600.84
656.7230, 47593.66
657.2051, 47623.75
657.6872, 47649.71
658.1693, 47641.75
658.6514, 47586.74
659.1335, 47563.78
659.6157, 47583.86
660.0978, 47618.61
660.5799, 47632.27
661.0620, 47628.52
661.5441, 47623.89
662.0262, 47629.74
662.5084, 47627.80
662.9905, 47566.95
663.4726, 47477.40
663.9547, 47440.66
664.4368, 47562.31
664.9189, 47687.14
665.4011, 47719.98
665.8832, 47660.23
666.3653, 47619.42
666.8474, 47624.22
667.3295, 47640.79
667.8116, 47658.99
668.2938, 47685.00
668.7759, 47673.48
669.2580, 47608.82
669.7401, 47541.16
670.2222, 47530.22
670.7043, 47571.50
671.1865, 47614.51
671.6686, 47655.13
672.1507, 47686.02
672.6328, 47695.76
673.1149, 47690.05
673.5970, 47680.49
674.0792, 47678.16
674.5613, 47669.63
675.0434, 47633.61
675.5255, 47579.50
676.0076, 47555.64
676.4897, 47584.40
676.9719, 47632.66
677.4540, 47695.63
677.9361, 47777.23
678.4182, 47819.17
678.9003, 47809.30
679.3824, 47782.24
679.8646, 47761.20
680.3467, 47745.71
680.8288, 47736.45
681.3109, 47731.93
681.7930, 47738.99
682.2751, 47770.89
682.7573, 47820.05
683.2394, 47874.88
683.7215, 47958.97
684.2036, 48010.55
684.6857, 47973.07
685.1678, 47878.94
685.6500, 47801.07
686.1321, 47756.95
686.6142, 47734.82
687.0963, 47739.94
