##NAMES=Pumpellyite-(Mg)
##RRUFFID=R120172
##IDEAL CHEMISTRY=Ca_2_MgAl_2_(SiO_4_)(Si_2_O_7_)(OH)_2_&#183;H_2_O
##LOCALITY=Archidona, Malaga Province, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregates of dark-green acicular crystals, associated with light green epidote
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120172
649.8506, 217.7647
650.3328, 218.5677
650.8149, 219.2615
651.2970, 219.5013
651.7791, 219.4078
652.2612, 218.9898
652.7433, 218.3360
653.2255, 217.7786
653.7076, 217.5758
654.1897, 217.6311
654.6718, 217.5943
655.1539, 217.4665
655.6360, 217.2397
656.1182, 216.7170
656.6003, 216.2604
657.0824, 216.0744
657.5645, 216.1220
658.0466, 216.2752
658.5287, 216.5452
659.0109, 216.8043
659.4930, 216.9339
659.9751, 216.9550
660.4572, 216.9041
660.9393, 216.7860
661.4214, 216.7011
661.9036, 216.7672
662.3857, 216.9547
662.8678, 216.9382
663.3499, 216.5782
663.8320, 216.1982
664.3141, 215.5606
664.7963, 215.1168
665.2784, 215.3921
665.7605, 216.2358
666.2426, 216.9785
666.7247, 217.1976
667.2068, 217.1045
667.6890, 217.0686
668.1711, 217.0873
668.6532, 217.0315
669.1353, 216.8147
669.6174, 216.6584
670.0995, 216.8295
670.5817, 217.2866
671.0638, 217.5760
671.5459, 217.3837
672.0280, 217.3983
672.5101, 218.1735
