##NAMES=Pararealgar
##RRUFFID=R150123
##IDEAL CHEMISTRY=AsS
##LOCALITY=U.S. Borax mine, Kramer Borate deposit, Boron, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott S106210
##DESCRIPTION=Yellowish-orange granular, within a rind of realgar
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150123
1492.373, 2392.796
1494.301, 2394.245
1496.229, 2392.061
1498.158, 2388.328
1500.086, 2385.455
1502.015, 2382.583
1503.943, 2379.632
1505.872, 2375.951
1507.800, 2371.544
1509.729, 2366.074
1511.657, 2359.209
1513.586, 2352.555
1515.514, 2347.167
1517.443, 2352.361
1519.371, 2360.434
1521.300, 2357.706
1523.228, 2353.315
1525.156, 2354.300
1527.085, 2352.449
1529.013, 2343.583
1530.942, 2337.692
1532.870, 2336.907
1534.799, 2333.534
1536.727, 2327.742
1538.656, 2319.075
1540.584, 2310.610
1542.513, 2307.397
1544.441, 2306.942
1546.370, 2308.616
1548.298, 2310.160
1550.227, 2311.574
1552.155, 2307.178
1554.083, 2296.254
1556.012, 2285.035
1557.940, 2276.255
1559.869, 2282.381
1561.797, 2291.579
1563.726, 2289.745
1565.654, 2282.260
1567.583, 2268.847
1569.511, 2257.686
1571.440, 2249.702
1573.368, 2250.416
1575.297, 2258.068
1577.225, 2256.033
1579.154, 2248.259
1581.082, 2241.703
1583.010, 2237.312
1584.939, 2237.049
1586.867, 2237.218
1588.796, 2237.844
1590.724, 2234.851
1592.653, 2227.810
1594.581, 2222.780
1596.510, 2219.361
1598.438, 2215.858
1600.367, 2212.378
1602.295, 2210.854
1604.224, 2206.387
1606.152, 2192.543
1608.081, 2184.190
1610.009, 2185.260
1611.938, 2183.843
1613.866, 2180.381
1615.794, 2179.477
1617.723, 2176.551
1619.651, 2161.834
1621.580, 2149.136
1623.508, 2145.950
1625.437, 2145.675
1627.365, 2147.855
1629.294, 2145.663
1631.222, 2139.851
1633.151, 2135.558
1635.079, 2132.598
1637.008, 2133.480
1638.936, 2130.555
1640.865, 2118.286
1642.793, 2108.241
1644.721, 2102.761
1646.650, 2105.368
1648.578, 2112.469
1650.507, 2103.933
1652.435, 2091.303
1654.364, 2091.473
1656.292, 2091.782
1658.221, 2086.604
1660.149, 2079.329
1662.078, 2070.447
1664.006, 2068.130
1665.935, 2069.763
1667.863, 2066.406
1669.792, 2060.328
1671.720, 2051.783
1673.648, 2045.909
1675.577, 2045.039
1677.505, 2046.157
1679.434, 2048.520
1681.362, 2046.143
1683.291, 2039.814
1685.219, 2028.299
1687.148, 2019.666
1689.076, 2024.413
1691.005, 2024.068
1692.933, 2012.315
1694.862, 2008.318
1696.790, 2010.109
1698.719, 2003.814
1700.647, 1993.401
1702.575, 1980.209
1704.504, 1971.864
1706.432, 1975.379
1708.361, 1976.559
1710.289, 1974.446
1712.218, 1969.539
1714.146, 1963.585
1716.075, 1960.560
1718.003, 1958.343
1719.932, 1955.948
1721.860, 1952.254
1723.789, 1946.274
1725.717, 1944.804
1727.646, 1945.402
1729.574, 1935.611
1731.502, 1923.411
1733.431, 1916.195
1735.359, 1910.451
1737.288, 1904.758
1739.216, 1904.532
1741.145, 1908.627
1743.073, 1904.396
1745.002, 1896.602
1746.930, 1892.460
1748.859, 1886.419
1750.787, 1875.330
1752.716, 1869.817
1754.644, 1870.428
1756.573, 1866.582
1758.501, 1861.080
1760.429, 1859.438
1762.358, 1857.436
1764.286, 1851.961
1766.215, 1848.421
1768.143, 1846.961
1770.072, 1840.738
1772.000, 1832.577
1773.929, 1827.024
1775.857, 1824.539
1777.786, 1830.217
1779.714, 1826.988
1781.643, 1813.450
1783.571, 1803.752
1785.500, 1798.180
1787.428, 1798.655
1789.356, 1797.361
1791.285, 1786.675
1793.213, 1778.956
1795.142, 1775.579
1797.070, 1770.489
1798.999, 1765.974
1800.927, 1768.878
1802.856, 1770.643
1804.784, 1765.473
1806.713, 1761.740
1808.641, 1760.682
1810.570, 1752.360
1812.498, 1741.282
1814.427, 1735.169
1816.355, 1730.727
1818.283, 1726.980
1820.212, 1723.009
1822.140, 1718.685
1824.069, 1713.228
1825.997, 1707.848
1827.926, 1705.186
1829.854, 1701.203
1831.783, 1694.356
1833.711, 1685.229
1835.640, 1675.589
1837.568, 1676.321
1839.497, 1678.981
1841.425, 1673.790
1843.354, 1668.582
1845.282, 1664.949
1847.210, 1666.857
1849.139, 1670.526
1851.067, 1664.986
1852.996, 1654.727
1854.924, 1639.654
1856.853, 1630.579
1858.781, 1628.272
1860.710, 1620.493
1862.638, 1611.392
1864.567, 1608.936
1866.495, 1607.986
1868.424, 1606.197
1870.352, 1606.010
1872.281, 1606.612
1874.209, 1602.002
1876.137, 1595.832
1878.066, 1591.920
1879.994, 1586.877
1881.923, 1579.676
1883.851, 1573.683
1885.780, 1567.758
1887.708, 1557.646
1889.637, 1549.167
1891.565, 1546.849
