##NAMES=Scotlandite
##RRUFFID=R100043
##IDEAL CHEMISTRY=Pb^2+^S^4+^O_3_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless, elongated tabular crystals associated with aravaipaite R100032 and laurelite R100011
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100043
354.3571, 98.85735
354.8392, 98.64206
355.3214, 97.46263
355.8035, 96.65031
356.2856, 96.89430
356.7677, 97.78807
357.2498, 98.75134
357.7319, 99.69011
358.2141, 100.2668
358.6962, 99.78777
359.1783, 97.98480
359.6604, 96.85222
360.1425, 97.58022
360.6246, 98.47581
361.1068, 97.40693
361.5889, 94.36260
362.0710, 91.88875
362.5531, 92.35429
363.0352, 95.72328
363.5173, 97.74128
363.9995, 97.63670
364.4816, 97.10197
364.9637, 96.86000
365.4458, 96.82485
365.9279, 96.60747
366.4100, 95.94365
366.8922, 95.10586
367.3743, 95.02795
367.8564, 96.45660
368.3385, 97.53265
368.8206, 98.13699
369.3027, 98.21811
369.7849, 97.32720
370.2670, 95.42369
370.7491, 93.64226
371.2312, 93.70670
371.7133, 96.68095
372.1954, 98.24260
372.6776, 97.48978
373.1597, 96.20010
373.6418, 95.16446
374.1239, 94.56355
374.6060, 94.49099
375.0881, 95.08891
375.5703, 96.32871
376.0524, 97.25771
376.5345, 98.08253
377.0166, 98.38399
377.4987, 97.76170
377.9808, 96.63217
378.4630, 95.36934
378.9451, 94.13768
379.4272, 93.33404
379.9093, 94.04128
380.3914, 97.98113
380.8735, 100.5478
381.3557, 101.3425
381.8378, 101.0461
382.3199, 99.69923
382.8020, 97.57092
383.2841, 95.56216
383.7662, 94.76201
384.2484, 95.37077
384.7305, 95.76241
385.2126, 95.56981
385.6947, 95.51060
386.1768, 95.72887
386.6589, 96.26311
387.1411, 97.30828
387.6232, 99.19551
388.1053, 101.3540
388.5874, 101.4574
389.0695, 97.79183
389.5516, 95.32635
390.0338, 96.08009
390.5159, 97.88049
390.9980, 98.74512
391.4801, 98.12667
391.9622, 96.92949
392.4443, 96.28007
392.9265, 96.25957
393.4086, 95.97647
393.8907, 94.59470
394.3728, 93.65659
394.8549, 94.34644
395.3370, 96.33681
395.8192, 98.29189
396.3013, 99.51482
396.7834, 100.0493
397.2655, 99.91194
397.7476, 98.85365
398.2297, 97.77155
398.7119, 96.76769
399.1940, 96.12904
399.6761, 96.49474
400.1582, 98.47554
400.6403, 100.4896
401.1224, 100.4826
401.6046, 98.61463
402.0867, 97.73283
402.5688, 99.27850
403.0509, 101.5146
403.5330, 102.3133
404.0151, 101.6600
404.4973, 100.8676
404.9794, 100.3172
405.4615, 100.0530
405.9436, 100.1864
406.4257, 100.7461
406.9078, 101.5795
407.3900, 102.7809
407.8721, 104.1921
408.3542, 105.0567
408.8363, 105.0632
409.3184, 104.7394
409.8005, 104.1386
410.2827, 103.4281
410.7648, 103.2989
411.2469, 104.2145
411.7290, 105.5635
412.2111, 105.8440
412.6932, 104.5518
413.1754, 103.6303
413.6575, 103.3268
414.1396, 103.5954
414.6217, 104.6609
415.1038, 106.4646
415.5859, 108.2241
416.0681, 109.1278
416.5502, 109.0742
417.0323, 109.2212
417.5144, 109.1567
417.9965, 109.6715
418.4786, 111.6153
418.9608, 114.3141
419.4429, 116.6158
419.9250, 117.9457
420.4071, 118.3283
420.8892, 117.7433
421.3713, 114.7919
421.8535, 113.0250
422.3356, 113.2692
422.8177, 114.1326
423.2998, 114.5592
423.7819, 114.4166
424.2640, 114.2501
424.7462, 114.7329
425.2283, 115.9603
425.7104, 116.4260
426.1925, 115.1617
426.6746, 114.1582
427.1567, 114.1328
427.6389, 114.7026
428.1210, 115.2355
428.6031, 115.4175
429.0852, 115.4621
429.5673, 115.8724
430.0494, 116.8298
430.5316, 117.5019
431.0137, 117.5218
431.4958, 117.2944
431.9779, 116.9695
432.4600, 116.5909
432.9421, 116.3024
433.4243, 116.1323
433.9064, 116.1265
434.3885, 116.5576
434.8706, 117.6350
435.3527, 118.6940
435.8348, 119.6215
436.3170, 120.2017
436.7991, 119.8636
437.2812, 117.8106
437.7633, 115.7220
438.2454, 115.3522
438.7275, 116.4760
439.2097, 117.5932
439.6918, 118.2899
440.1739, 118.6052
440.6560, 118.4892
441.1381, 117.9154
441.6202, 117.4147
442.1024, 116.7471
442.5845, 116.4397
443.0666, 117.4658
443.5487, 119.7973
444.0308, 121.9397
444.5129, 122.7382
444.9951, 122.3178
445.4772, 122.0269
445.9593, 121.8461
446.4414, 121.7958
446.9235, 121.9148
447.4056, 122.1596
447.8878, 122.4690
448.3699, 122.8221
448.8520, 123.2294
449.3341, 123.7096
449.8162, 124.2632
450.2983, 124.8968
450.7805, 125.3473
451.2626, 126.0993
451.7447, 127.4065
452.2268, 129.2350
452.7089, 131.4880
453.1910, 134.1339
453.6732, 137.0596
