##NAMES=Trechmannite
##RRUFFID=R130062
##IDEAL CHEMISTRY=Ag^1+^As^3+^S^2-^_2_
##LOCALITY=Lengenbach quarry, Imfeld, Binn Valley, Wallis, Switzerland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Single dark red crystal, associated with jordanite and binnite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130062
432.6287, 90.72179
433.1108, 91.00336
433.5930, 91.19727
434.0751, 91.17358
434.5572, 90.99781
435.0393, 90.90565
435.5214, 90.90189
436.0035, 90.85713
436.4857, 90.61590
436.9678, 90.24794
437.4499, 89.89261
437.9320, 89.53059
438.4141, 89.29237
438.8962, 89.38628
439.3784, 89.73283
439.8605, 90.09995
440.3426, 90.43002
440.8247, 90.68251
441.3068, 90.82072
441.7889, 90.83624
442.2711, 90.77907
442.7532, 90.67051
443.2353, 90.50279
443.7174, 90.26791
444.1995, 89.81216
444.6816, 89.44772
445.1638, 89.30261
445.6459, 89.33515
446.1280, 89.34423
446.6101, 89.33102
447.0922, 89.26353
447.5743, 89.07578
448.0565, 88.56071
448.5386, 88.48000
449.0207, 89.25326
449.5028, 90.19730
449.9849, 90.35308
450.4670, 89.29169
450.9492, 88.41196
451.4313, 88.04583
451.9134, 88.12926
452.3955, 88.25956
452.8776, 88.47562
453.3597, 88.60189
453.8419, 88.44294
454.3240, 88.01074
454.8061, 87.75381
455.2882, 87.74519
455.7703, 87.83311
456.2524, 87.78834
456.7346, 87.62739
457.2167, 87.46632
457.6988, 87.30473
458.1809, 87.19207
458.6630, 87.23174
459.1451, 87.41660
459.6273, 87.65096
460.1094, 87.98234
460.5915, 88.27467
461.0736, 88.32426
461.5557, 87.99391
462.0378, 87.62169
462.5200, 87.36537
463.0021, 87.22730
463.4842, 87.21777
463.9663, 87.60307
464.4484, 87.89272
464.9305, 87.75600
465.4127, 87.14810
465.8948, 86.71676
466.3769, 86.65951
466.8590, 86.79004
467.3411, 86.97713
467.8232, 87.50937
468.3054, 87.70064
468.7875, 87.33971
469.2696, 86.65784
469.7517, 86.21532
470.2338, 86.06250
470.7159, 86.06645
471.1981, 86.22924
471.6802, 86.56137
472.1623, 86.77823
472.6444, 86.88147
473.1265, 86.85972
473.6086, 86.59425
474.0908, 86.09277
474.5729, 85.87853
475.0550, 86.13258
475.5371, 86.58214
476.0192, 86.71298
476.5013, 86.55440
476.9835, 86.34127
477.4656, 86.18641
477.9477, 86.06442
478.4298, 85.96274
478.9119, 85.88276
479.3940, 85.72789
