##NAMES=Amphibole
##RRUFFID=R110203
##LOCALITY=Bear Lake diggings, Tory Hill, Monmounth Township, Haliburton Co., Ontario, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Black hexagonal prism, note that amphiboles from here are characterized by Hawthorne et al (2006)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110203
542.8647, 100.6580
543.3469, 99.23583
543.8290, 97.19759
544.3111, 96.43192
544.7932, 97.53600
545.2753, 98.30119
545.7574, 98.26951
546.2396, 97.88592
546.7217, 97.50709
547.2038, 97.15083
547.6859, 96.63187
548.1680, 95.77771
548.6501, 94.73325
549.1323, 94.18241
549.6144, 94.60217
550.0965, 94.69051
550.5786, 94.00390
551.0607, 93.21043
551.5428, 92.85217
552.0250, 92.90793
552.5071, 92.93493
552.9892, 92.58726
553.4713, 91.98035
553.9534, 91.39474
554.4355, 90.79558
554.9177, 90.42715
555.3998, 90.65412
555.8819, 90.96217
556.3640, 90.56300
556.8461, 89.33325
557.3282, 88.33286
557.8104, 88.09059
558.2925, 88.22062
558.7746, 88.41625
559.2567, 88.59862
559.7388, 88.46539
560.2209, 87.77721
560.7031, 86.73289
561.1852, 85.96321
561.6673, 85.42400
562.1494, 85.24671
562.6315, 86.14185
563.1136, 86.84592
563.5958, 86.10487
564.0779, 84.22459
564.5600, 82.60569
565.0421, 82.29118
565.5242, 82.86366
566.0063, 82.91654
566.4885, 82.28735
566.9706, 81.61120
567.4527, 80.73576
567.9348, 80.09885
568.4169, 80.31249
568.8990, 81.22056
569.3812, 81.66963
569.8633, 80.65898
570.3454, 79.04659
570.8275, 78.08109
571.3096, 77.73531
571.7917, 77.44589
572.2739, 77.00113
572.7560, 76.43923
573.2381, 75.78117
573.7202, 74.93950
574.2023, 74.33669
574.6844, 74.20632
575.1666, 74.15542
575.6487, 73.95201
576.1308, 73.59925
576.6129, 73.12282
577.0950, 72.52229
577.5771, 71.94215
578.0593, 71.80186
578.5414, 72.51104
579.0235, 72.53505
579.5056, 70.89683
579.9877, 69.39666
580.4698, 69.01595
580.9520, 69.40360
581.4341, 69.64542
581.9162, 69.29230
582.3983, 68.70450
582.8804, 68.35802
583.3625, 68.22929
583.8447, 68.10194
584.3268, 67.96658
584.8089, 67.72621
585.2910, 67.18903
585.7731, 66.39919
586.2552, 65.82842
586.7374, 65.74489
587.2195, 65.65229
587.7016, 65.20255
588.1837, 64.59393
588.6658, 64.18624
589.1479, 64.08452
589.6301, 64.12226
590.1122, 64.08811
590.5943, 63.96096
591.0764, 63.97031
591.5585, 64.37586
592.0406, 64.61024
592.5228, 64.46319
593.0049, 64.11020
593.4870, 63.70607
593.9691, 63.29743
594.4512, 63.00153
594.9333, 63.00158
595.4155, 63.21999
595.8976, 63.28777
596.3797, 63.13945
596.8618, 63.05493
597.3439, 63.29717
597.8260, 63.67369
598.3082, 63.70757
598.7903, 63.25365
599.2724, 62.82687
599.7545, 62.59591
600.2366, 62.47170
600.7188, 62.31744
601.2009, 62.15569
601.6830, 62.19073
602.1651, 62.58887
602.6472, 63.21898
603.1293, 63.60476
603.6115, 63.11542
604.0936, 63.89354
604.5757, 64.33920
605.0578, 64.47030
605.5399, 63.34462
606.0220, 63.84180
606.5042, 63.68862
606.9863, 63.50877
607.4684, 64.23436
607.9505, 63.29147
608.4326, 64.00271
608.9147, 64.05365
609.3969, 64.40680
609.8790, 64.10555
610.3611, 64.00642
610.8432, 64.56190
611.3253, 64.75491
611.8074, 64.37833
612.2896, 64.75069
612.7717, 63.78495
613.2538, 63.99340
613.7359, 64.70847
614.2180, 64.36480
614.7001, 64.74911
615.1823, 64.85618
615.6644, 63.70321
616.1465, 64.74155
616.6286, 64.83223
617.1107, 63.94985
617.5928, 64.91311
618.0750, 64.16489
618.5571, 64.02756
619.0392, 64.41818
619.5213, 64.52846
620.0034, 64.73103
620.4855, 64.95551
620.9677, 65.00977
621.4498, 64.87998
621.9319, 64.78564
622.4140, 64.85091
622.8961, 65.00027
623.3782, 65.07220
623.8604, 65.04658
624.3425, 65.01978
624.8246, 65.03524
625.3067, 65.02399
625.7888, 64.83012
626.2709, 64.57751
626.7531, 64.60551
627.2352, 65.08791
627.7173, 65.72685
628.1994, 65.87508
628.6815, 65.35103
629.1636, 65.38503
629.6458, 66.61663
630.1279, 67.66465
630.6100, 67.73555
631.0921, 67.20620
631.5742, 66.68771
632.0563, 66.25395
632.5385, 66.08848
633.0206, 66.54658
633.5027, 67.30987
633.9848, 67.74700
634.4669, 67.76681
634.9490, 67.57446
635.4312, 67.25676
635.9133, 66.88780
636.3954, 66.81956
636.8775, 67.31477
637.3596, 67.77130
637.8417, 68.31786
638.3239, 68.69912
638.8060, 68.52857
639.2881, 68.00640
639.7702, 67.79747
640.2523, 68.37548
640.7344, 69.28880
641.2166, 69.60240
641.6987, 69.28469
642.1808, 69.11861
642.6629, 69.28868
643.1450, 69.59429
643.6271, 69.91484
644.1093, 70.23434
644.5914, 70.47594
645.0735, 70.44463
645.5556, 70.54344
646.0377, 71.15166
646.5198, 71.92602
647.0020, 72.29683
647.4841, 72.20042
647.9662, 72.09474
648.4483, 72.40576
648.9304, 73.05758
649.4125, 73.52428
649.8947, 73.74177
650.3768, 73.88314
650.8589, 73.82609
651.3410, 73.82692
651.8231, 74.10727
652.3052, 74.63208
652.7874, 75.15269
653.2695, 75.34514
653.7516, 75.66216
654.2337, 76.94627
654.7158, 78.92783
655.1979, 80.34429
655.6801, 80.81503
656.1622, 80.72107
656.6443, 80.30964
657.1264, 79.52096
657.6085, 79.64067
658.0906, 81.58257
658.5728, 83.15597
659.0549, 83.61144
659.5370, 83.59258
660.0191, 83.68291
660.5012, 84.02973
660.9833, 84.60636
661.4655, 85.45438
661.9476, 86.48135
662.4297, 87.39529
662.9118, 88.19578
663.3939, 88.89208
663.8760, 89.54530
664.3582, 90.01901
664.8403, 89.95036
665.3224, 89.39938
665.8045, 89.31054
666.2866, 90.26892
666.7687, 91.26943
667.2509, 91.64531
667.7330, 91.72246
668.2151, 92.23563
668.6972, 93.29515
669.1793, 94.04166
669.6614, 93.44180
670.1436, 91.63332
670.6257, 90.63229
671.1078, 90.74399
671.5899, 91.02647
672.0720, 91.72440
672.5541, 92.13486
673.0363, 91.46485
673.5184, 89.79430
674.0005, 88.28658
674.4826, 87.50130
674.9647, 87.03855
675.4468, 86.58894
675.9290, 86.12791
676.4111, 85.62270
676.8932, 85.06634
677.3753, 84.37541
677.8574, 83.42505
678.3395, 82.19950
678.8217, 81.12631
679.3038, 80.24966
679.7859, 79.48006
680.2680, 78.84035
680.7501, 78.28264
681.2322, 77.75195
681.7144, 77.25509
682.1965, 76.85950
682.6786, 76.73766
683.1607, 76.65983
683.6428, 76.15044
684.1249, 75.27248
684.6071, 74.62503
685.0892, 74.43632
685.5713, 74.34077
686.0534, 73.87099
686.5355, 72.98837
687.0176, 72.47414
687.4998, 72.70079
687.9819, 72.79297
688.4640, 72.44344
688.9461, 71.91003
689.4282, 71.43209
689.9103, 71.05381
690.3925, 70.71042
690.8746, 70.35953
691.3567, 70.00647
691.8388, 69.65019
692.3209, 69.28822
692.8030, 68.99779
693.2852, 68.80613
693.7673, 68.68081
694.2494, 68.60320
694.7315, 68.57076
695.2136, 68.53394
695.6957, 68.46814
696.1779, 68.42553
696.6600, 68.52203
697.1421, 68.59376
697.6242, 68.38432
698.1063, 67.92128
698.5884, 67.51736
699.0706, 67.42442
699.5527, 67.53626
700.0348, 67.52534
700.5169, 67.35246
700.9990, 67.32568
701.4811, 67.59991
701.9633, 67.90168
702.4454, 67.98028
702.9275, 67.89321
703.4096, 67.82702
703.8917, 67.85288
704.3738, 67.83843
704.8560, 67.66924
705.3381, 67.46301
705.8202, 67.34496
706.3023, 67.33476
706.7844, 67.42400
707.2665, 67.62197
707.7487, 67.85938
708.2308, 67.90555
708.7129, 67.68508
709.1950, 67.64594
709.6771, 68.03384
710.1592, 68.35477
710.6414, 68.13387
711.1235, 67.64470
711.6056, 67.50614
712.0877, 67.99403
712.5698, 68.42712
713.0519, 68.45329
713.5341, 68.25774
714.0162, 68.00523
714.4983, 67.73846
714.9804, 67.48632
715.4625, 67.25764
715.9446, 67.10426
716.4268, 67.17448
716.9089, 67.55439
717.3910, 67.76927
717.8731, 67.73662
718.3552, 67.63058
718.8373, 67.55383
719.3195, 67.45104
719.8016, 67.18319
720.2837, 66.66922
720.7658, 66.35050
721.2479, 66.52198
721.7300, 66.93369
722.2122, 67.46347
722.6943, 68.00105
723.1764, 68.22810
723.6585, 68.00227
724.1406, 67.58244
724.6227, 67.37964
725.1049, 67.43187
725.5870, 67.30550
726.0691, 66.78559
726.5512, 66.43913
727.0333, 66.66314
727.5154, 67.02193
727.9976, 67.04522
728.4797, 66.70053
728.9618, 66.39347
729.4439, 66.15548
