##NAMES=Hisingerite
##RRUFFID=R070126
##IDEAL CHEMISTRY=Fe^3+^_2_Si_2_O_5_(OH)_4_&#183;2H_2_O
##LOCALITY=Nickel Plate mine, Hedley, British Columbia, Canada
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Chocolate brown hexagonal prismatic crystal, appearing to have replaced quartz. Amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070126
498.2701, 12132.25
498.7522, 12175.61
499.2343, 12195.68
499.7164, 12191.93
500.1985, 12184.51
500.6807, 12167.54
501.1628, 12156.60
501.6449, 12162.22
502.1270, 12206.61
502.6091, 12240.86
503.0912, 12257.18
503.5734, 12264.15
504.0555, 12281.45
504.5376, 12313.38
505.0197, 12347.61
505.5018, 12384.92
505.9839, 12425.45
506.4661, 12436.10
506.9482, 12409.53
507.4303, 12374.56
507.9124, 12358.46
508.3945, 12360.19
508.8766, 12359.63
509.3588, 12348.76
509.8409, 12342.97
510.3230, 12378.19
510.8051, 12445.76
511.2872, 12502.18
511.7693, 12514.73
512.2515, 12507.28
512.7336, 12511.27
513.2157, 12528.26
513.6978, 12539.45
514.1799, 12521.20
514.6620, 12495.81
515.1442, 12486.57
515.6263, 12507.83
516.1084, 12535.33
516.5905, 12563.88
517.0726, 12593.18
517.5547, 12621.88
518.0369, 12664.87
518.5190, 12692.54
519.0011, 12689.19
519.4832, 12646.80
519.9653, 12627.30
520.4474, 12642.18
520.9296, 12666.70
521.4117, 12677.56
521.8938, 12669.03
522.3759, 12673.99
522.8580, 12702.59
523.3401, 12740.69
523.8223, 12753.53
524.3044, 12740.83
524.7865, 12727.78
525.2686, 12725.26
525.7507, 12732.10
526.2328, 12745.91
526.7150, 12766.55
527.1971, 12793.16
527.6792, 12838.79
528.1613, 12885.93
528.6434, 12906.87
529.1255, 12878.75
529.6077, 12849.26
530.0898, 12848.02
530.5719, 12867.91
531.0540, 12892.88
531.5361, 12937.83
532.0182, 12968.03
532.5004, 12955.69
532.9825, 12891.03
533.4646, 12864.80
533.9467, 12925.25
534.4288, 12995.07
534.9109, 13021.53
535.3931, 12975.00
535.8752, 12948.96
536.3573, 12954.63
536.8394, 12978.63
537.3215, 12991.46
537.8036, 12989.59
538.2858, 12998.16
538.7679, 13036.25
539.2500, 13092.75
539.7321, 13115.07
540.2142, 13102.32
540.6964, 13080.68
541.1785, 13064.10
541.6606, 13055.55
542.1427, 13065.56
542.6248, 13102.96
543.1069, 13138.13
543.5891, 13139.20
544.0712, 13120.51
544.5533, 13108.45
545.0354, 13116.87
545.5175, 13131.57
545.9996, 13146.86
546.4818, 13162.68
546.9639, 13179.76
547.4460, 13214.20
547.9281, 13237.53
548.4102, 13229.59
548.8923, 13153.39
549.3745, 13129.25
549.8566, 13181.59
550.3387, 13266.01
550.8208, 13326.36
551.3029, 13363.78
551.7850, 13369.75
552.2672, 13331.42
552.7493, 13265.72
553.2314, 13226.55
553.7135, 13214.05
554.1956, 13220.73
554.6777, 13260.18
555.1599, 13313.10
555.6420, 13324.61
556.1241, 13287.00
556.6062, 13250.46
557.0883, 13263.52
557.5704, 13304.65
558.0526, 13344.08
558.5347, 13382.43
559.0168, 13404.92
559.4989, 13389.53
559.9810, 13350.81
560.4631, 13329.47
560.9453, 13341.44
561.4274, 13367.50
561.9095, 13406.17
562.3916, 13461.60
562.8737, 13499.32
563.3558, 13511.87
563.8380, 13514.43
564.3201, 13517.03
564.8022, 13518.43
565.2843, 13526.38
565.7664, 13544.67
566.2485, 13565.45
566.7307, 13573.33
567.2128, 13568.71
567.6949, 13562.72
568.1770, 13560.74
568.6591, 13560.02
569.1412, 13554.41
569.6234, 13544.37
570.1055, 13534.20
570.5876, 13517.75
571.0697, 13507.50
571.5518, 13519.73
572.0339, 13563.02
572.5161, 13606.83
572.9982, 13644.38
573.4803, 13672.22
573.9624, 13685.44
574.4445, 13655.93
574.9266, 13643.24
575.4088, 13672.46
575.8909, 13729.32
576.3730, 13750.99
576.8551, 13717.99
577.3372, 13684.68
577.8193, 13676.50
578.3015, 13694.86
578.7836, 13696.85
579.2657, 13676.59
579.7478, 13662.07
580.2299, 13691.91
580.7120, 13755.57
581.1942, 13797.49
581.6763, 13803.80
582.1584, 13793.46
582.6405, 13784.02
583.1226, 13776.04
583.6047, 13771.27
584.0869, 13765.18
584.5690, 13766.89
585.0511, 13791.47
585.5332, 13835.31
586.0153, 13863.01
