##NAMES=Niter
##RRUFFID=R090001
##IDEAL CHEMISTRY=KN^5+^O_3_
##LOCALITY=Searcy County, Arkansas, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Unconsolidated, granular fragments exhibiting a sandy color
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090001
540.7057, 1059.337
541.1878, 1059.800
541.6699, 1058.986
542.1520, 1057.115
542.6342, 1055.807
543.1163, 1055.451
543.5984, 1054.980
544.0805, 1053.313
544.5626, 1051.137
545.0447, 1049.783
545.5269, 1049.736
546.0090, 1049.946
546.4911, 1049.842
546.9732, 1049.561
547.4553, 1049.306
547.9374, 1049.117
548.4196, 1049.219
548.9017, 1050.053
549.3838, 1051.672
549.8659, 1051.584
550.3480, 1048.595
550.8301, 1045.652
551.3123, 1043.238
551.7944, 1041.466
552.2765, 1040.504
552.7586, 1040.356
553.2407, 1040.742
553.7228, 1041.494
554.2050, 1042.669
554.6871, 1043.115
555.1692, 1042.270
555.6513, 1041.472
556.1334, 1041.511
556.6155, 1041.752
557.0977, 1041.311
557.5798, 1039.903
558.0619, 1038.212
558.5440, 1036.470
559.0261, 1034.908
559.5082, 1034.551
559.9904, 1035.747
560.4725, 1037.221
560.9546, 1038.090
561.4367, 1038.405
561.9188, 1038.636
562.4009, 1039.279
562.8831, 1039.216
563.3652, 1037.833
563.8473, 1035.577
564.3294, 1032.676
564.8115, 1029.336
565.2936, 1026.547
565.7758, 1025.401
566.2579, 1025.902
566.7400, 1026.046
567.2221, 1025.785
567.7042, 1025.186
568.1863, 1023.715
568.6685, 1022.214
569.1506, 1021.763
569.6327, 1022.492
570.1148, 1023.256
570.5969, 1022.755
571.0790, 1021.231
571.5612, 1020.340
572.0433, 1020.398
572.5254, 1020.198
573.0075, 1018.583
573.4896, 1016.578
573.9717, 1015.794
574.4539, 1016.652
574.9360, 1017.669
575.4181, 1018.526
575.9002, 1018.954
576.3823, 1018.381
576.8644, 1016.827
577.3466, 1014.985
577.8287, 1013.167
578.3108, 1011.606
578.7929, 1011.454
579.2750, 1014.911
579.7571, 1016.893
580.2393, 1016.225
580.7214, 1014.660
581.2035, 1012.983
581.6856, 1011.654
582.1677, 1011.629
582.6498, 1014.207
583.1320, 1018.032
583.6141, 1017.790
584.0962, 1011.889
584.5783, 1007.377
585.0604, 1007.093
585.5425, 1008.274
586.0247, 1008.755
586.5068, 1008.495
586.9889, 1008.104
587.4710, 1007.986
587.9531, 1007.798
588.4352, 1007.060
588.9174, 1005.851
589.3995, 1004.676
589.8816, 1003.809
590.3637, 1002.905
590.8458, 1001.200
591.3279, 997.8752
591.8101, 996.2108
592.2922, 997.8710
592.7743, 999.5107
593.2564, 999.0193
593.7385, 997.2313
594.2206, 996.0047
594.7028, 996.1936
595.1849, 997.0027
595.6670, 997.1630
596.1491, 996.6251
596.6312, 995.7430
597.1133, 994.0400
597.5955, 992.6563
598.0776, 992.4310
598.5597, 992.8813
599.0418, 993.1118
599.5239, 992.9212
600.0060, 992.3957
600.4882, 991.1105
600.9703, 989.5947
601.4524, 989.3957
601.9345, 990.8616
602.4166, 992.4621
602.8987, 992.8414
603.3809, 992.0851
603.8630, 991.4642
604.3451, 991.1962
604.8272, 990.7465
605.3093, 989.9664
605.7914, 988.9816
606.2736, 987.7545
606.7557, 986.3875
607.2378, 985.3041
607.7199, 985.0121
608.2020, 985.2344
608.6841, 984.4284
609.1663, 982.0342
609.6484, 980.2517
610.1305, 980.4235
610.6126, 980.9957
611.0947, 980.6068
611.5768, 979.2413
612.0590, 977.8104
612.5411, 976.3816
613.0232, 975.3035
613.5053, 975.0781
613.9874, 975.6000
614.4695, 976.4617
614.9517, 977.6047
615.4338, 978.5690
615.9159, 978.6580
616.3980, 977.8996
616.8801, 976.0219
617.3622, 970.7740
617.8444, 966.8890
618.3265, 967.3926
618.8086, 970.2518
619.2907, 972.3316
619.7728, 972.4777
620.2549, 971.5079
620.7371, 970.0156
621.2192, 968.0586
621.7013, 967.4444
622.1834, 968.8935
622.6655, 970.2406
623.1476, 970.1989
623.6298, 969.2478
624.1119, 967.9785
624.5940, 966.1264
625.0761, 964.9312
625.5582, 965.9248
626.0403, 967.3744
626.5225, 966.8510
627.0046, 964.3744
627.4867, 961.6590
627.9688, 959.7045
628.4509, 958.5121
628.9330, 958.1036
629.4152, 959.2031
629.8973, 959.7858
630.3794, 959.9104
630.8615, 959.4798
631.3436, 957.9395
631.8257, 955.8214
632.3079, 954.3636
632.7900, 954.2344
633.2721, 954.8110
633.7542, 955.2023
634.2363, 955.4679
634.7184, 956.2686
635.2006, 957.9365
635.6827, 959.5685
636.1648, 960.6017
636.6469, 960.9104
637.1291, 960.0857
637.6112, 956.8022
638.0933, 953.9879
638.5754, 953.1396
639.0576, 952.9622
639.5397, 951.7145
640.0218, 949.3436
640.5039, 947.3619
640.9860, 947.1212
641.4681, 948.1649
641.9503, 948.1861
642.4324, 946.7463
642.9145, 945.3647
643.3966, 944.3398
643.8787, 943.4845
644.3608, 942.5209
644.8430, 941.5651
645.3251, 941.1902
645.8072, 941.8996
646.2893, 943.0586
646.7714, 944.7792
647.2535, 946.4843
647.7357, 945.6650
648.2178, 941.4242
648.6999, 936.9153
649.1820, 935.8204
649.6641, 938.3365
650.1462, 940.2352
650.6284, 941.5879
651.1105, 942.2926
651.5926, 942.1208
652.0747, 941.4124
652.5568, 940.6343
653.0389, 939.7594
653.5211, 938.1481
654.0032, 934.7446
654.4853, 930.4556
654.9674, 927.8708
655.4495, 927.0775
655.9316, 927.0646
656.4138, 927.8776
656.8959, 928.8455
657.3780, 929.0232
657.8601, 928.4435
658.3422, 927.8674
658.8243, 927.4257
659.3065, 926.9821
659.7886, 926.3945
660.2707, 925.7789
660.7528, 925.3715
661.2349, 925.2231
661.7170, 925.0790
662.1992, 924.6392
662.6813, 923.9182
663.1634, 923.1860
663.6455, 922.1807
664.1276, 921.6677
664.6097, 922.5392
665.0919, 923.5838
665.5740, 923.6570
666.0561, 922.7100
666.5382, 921.6848
667.0203, 920.7049
