##NAMES=Schmitterite
##RRUFFID=R060524
##IDEAL CHEMISTRY=(U^6+^O_2_)Te^4+^O_3_
##LOCALITY=Moctezuma mine, Moctezuma, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale yellow rosette associated with green emmonsite, R060802
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R060524
423.6900, 1881.551
424.1721, 1856.340
424.6542, 1830.660
425.1363, 1807.730
425.6184, 1789.383
426.1006, 1771.160
426.5827, 1764.504
427.0648, 1779.691
427.5469, 1805.832
428.0290, 1803.418
428.5111, 1760.527
428.9933, 1710.332
429.4754, 1664.492
429.9575, 1621.320
430.4396, 1593.496
430.9217, 1587.461
431.4038, 1581.871
431.8860, 1547.125
432.3681, 1482.309
432.8502, 1415.934
433.3323, 1354.895
433.8144, 1298.723
434.2965, 1244.738
434.7787, 1193.594
435.2608, 1149.562
435.7429, 1124.500
436.2250, 1109.289
436.7071, 1079.715
437.1892, 1031.961
437.6714, 976.0625
438.1535, 911.9062
438.6356, 848.0195
439.1177, 803.5664
439.5998, 810.2969
440.0819, 823.1602
440.5641, 798.3047
441.0462, 738.5195
441.5283, 681.5352
442.0104, 645.6016
442.4925, 622.0000
442.9746, 605.4102
443.4568, 602.1328
443.9389, 590.5859
444.4210, 552.4727
444.9031, 502.4062
445.3852, 468.3672
445.8673, 476.2891
446.3495, 482.1016
446.8316, 470.2812
447.3137, 437.2617
447.7958, 413.4336
448.2779, 409.7617
448.7600, 407.3086
449.2422, 391.4297
449.7243, 354.1445
450.2064, 320.4961
450.6885, 290.5664
451.1706, 265.9805
451.6527, 253.7266
452.1349, 257.6953
452.6170, 258.9570
453.0991, 244.8047
453.5812, 216.0352
454.0633, 204.8555
454.5454, 213.5078
455.0276, 226.4023
455.5097, 224.5820
455.9918, 210.8125
456.4739, 203.2148
456.9560, 210.8945
457.4381, 219.3594
457.9203, 199.4609
458.4024, 157.3711
458.8845, 121.4609
459.3666, 118.4922
459.8488, 127.2617
460.3309, 118.7539
460.8130, 89.12500
461.2951, 62.95312
461.7772, 67.73438
462.2593, 82.71094
462.7415, 82.89844
463.2236, 46.73438
463.7057, 9.613281
464.1878, 14.13281
464.6699, 26.14844
465.1520, 34.28906
465.6342, 43.91016
466.1163, 52.65234
466.5984, 59.68750
467.0805, 65.07422
467.5626, 62.12891
468.0447, 38.87500
468.5269, 11.92578
469.0090, 0.9765630
469.4911, 24.41797
469.9732, 32.82812
470.4553, 15.97266
470.9374, 19.41406
471.4196, 51.81641
471.9017, 84.87109
472.3838, 105.2266
472.8659, 95.66797
473.3480, 55.80469
473.8301, 45.23438
474.3123, 70.06250
474.7944, 102.1953
475.2765, 103.3984
475.7586, 79.75391
476.2407, 64.62500
476.7228, 71.98438
477.2050, 88.94531
477.6871, 96.81641
478.1692, 97.02734
478.6513, 95.14062
479.1334, 91.74609
479.6155, 90.40625
480.0977, 98.70703
480.5798, 120.2227
481.0619, 134.6797
481.5440, 119.3945
482.0261, 94.44531
482.5082, 83.08203
482.9904, 104.7578
483.4725, 128.5195
483.9546, 142.9297
484.4367, 149.9258
484.9188, 161.1562
485.4009, 172.4961
485.8831, 194.3359
486.3652, 234.7930
486.8473, 301.5039
487.3294, 343.3555
487.8115, 347.4375
488.2936, 338.4297
488.7758, 343.0898
489.2579, 367.1445
489.7400, 385.2773
490.2221, 392.8711
490.7042, 390.9023
491.1863, 382.0469
491.6685, 366.1367
492.1506, 350.1172
492.6327, 338.2500
493.1148, 329.0820
493.5969, 319.2852
494.0790, 309.5039
494.5612, 300.1094
495.0433, 293.6836
495.5254, 288.5391
496.0075, 279.2461
496.4896, 260.6211
496.9717, 243.9492
497.4539, 240.7930
497.9360, 248.3672
498.4181, 259.1367
498.9002, 277.9062
499.3823, 291.8008
499.8644, 287.3750
500.3466, 261.4023
500.8287, 244.7891
501.3108, 252.5352
501.7929, 268.7852
502.2750, 281.2422
502.7571, 295.1133
503.2393, 294.6719
503.7214, 266.4570
504.2035, 226.0430
504.6856, 208.2695
505.1677, 228.2188
505.6498, 243.5000
506.1320, 240.7188
506.6141, 220.8008
507.0962, 202.4375
507.5783, 186.6406
508.0604, 171.7266
508.5425, 159.1406
509.0247, 148.5273
509.5068, 127.4258
509.9889, 91.75781
510.4710, 55.15625
510.9531, 35.19922
511.4352, 30.37891
511.9174, 34.88281
512.3995, 54.39453
512.8816, 76.39453
513.3637, 84.21094
513.8458, 79.61328
514.3279, 75.64844
514.8101, 82.40234
515.2922, 90.46484
515.7743, 91.13281
516.2564, 80.25391
516.7385, 69.67578
517.2206, 66.14062
517.7028, 63.47656
518.1849, 54.88281
518.6670, 28.12500
519.1491, 8.593750
519.6312, 5.605469
520.1133, 14.35938
520.5955, 13.89453
521.0776, 3.445313
521.5597, 13.24219
522.0418, 39.34766
522.5239, 77.35156
523.0060, 86.08984
