##NAMES=Monazite-(Ce)
##RRUFFID=R060925
##IDEAL CHEMISTRY=CePO_4_
##LOCALITY=Siglo Veinte mine, Llallagua, Bustillos Province, Potosi Department, Bolivia
##OWNER=RRUFF
##SOURCE=Alfredo Petrov
##DESCRIPTION=Pale peach semi-transparent crystals associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060925
##MEASURED CHEMISTRY=(Ce_0.52_La_0.21_Nd_0.19_Y_0.06_Ca_0.01_Th_0.01_)_Σ=1_P_1.00_O_4_ ; = light phase, and dark phase = (Ce_0.49_La_0.21_Nd_0.20_Y_0.07_Ca_0.02_Th_0.02_)_Σ=1_P_1.00_O_4_
473.4727, 3556.233
473.9548, 3552.988
474.4369, 3540.655
474.9190, 3519.677
475.4011, 3497.201
475.8832, 3473.512
476.3654, 3449.538
476.8475, 3423.729
477.3296, 3397.882
477.8117, 3377.796
478.2938, 3366.967
478.7759, 3361.771
479.2581, 3352.948
479.7402, 3339.335
480.2223, 3323.850
480.7044, 3305.890
481.1865, 3287.052
481.6686, 3267.919
482.1508, 3248.789
482.6329, 3229.852
483.1150, 3210.064
483.5971, 3191.411
484.0792, 3181.590
484.5613, 3183.576
485.0435, 3177.652
485.5256, 3149.432
486.0077, 3114.776
486.4898, 3095.371
486.9719, 3093.135
487.4540, 3093.079
487.9362, 3095.916
488.4183, 3094.323
488.9004, 3075.310
489.3825, 3040.541
489.8646, 3007.749
490.3467, 2988.641
490.8289, 2980.770
491.3110, 2972.563
491.7931, 2965.044
492.2752, 2955.706
492.7573, 2947.951
493.2394, 2935.851
493.7216, 2910.989
494.2037, 2874.999
494.6858, 2840.583
495.1679, 2818.142
495.6500, 2806.037
496.1321, 2797.587
496.6143, 2794.676
497.0964, 2789.786
497.5785, 2778.271
498.0606, 2763.769
498.5427, 2750.921
499.0248, 2740.364
499.5070, 2730.126
499.9891, 2719.274
500.4712, 2708.222
500.9533, 2699.299
501.4355, 2692.171
501.9176, 2680.356
502.3997, 2658.107
502.8818, 2627.496
503.3639, 2602.287
503.8460, 2584.385
504.3282, 2569.887
504.8103, 2559.214
505.2924, 2551.419
505.7745, 2547.771
506.2566, 2547.209
506.7387, 2544.251
507.2209, 2532.333
507.7030, 2513.569
508.1851, 2499.863
508.6672, 2492.825
509.1493, 2486.045
509.6314, 2474.832
510.1136, 2463.249
510.5957, 2458.226
511.0778, 2462.667
511.5599, 2463.543
512.0420, 2451.213
512.5241, 2433.574
513.0062, 2420.466
513.4883, 2413.088
513.9705, 2409.860
514.4526, 2410.558
514.9347, 2413.905
515.4168, 2412.332
515.8989, 2402.859
516.3810, 2392.071
516.8632, 2382.004
517.3453, 2369.810
517.8274, 2348.176
518.3095, 2319.662
518.7916, 2299.436
519.2737, 2305.349
519.7559, 2328.735
520.2380, 2337.864
520.7201, 2329.644
521.2022, 2321.978
521.6843, 2325.279
522.1664, 2331.356
522.6486, 2326.409
523.1307, 2307.843
523.6128, 2289.874
524.0949, 2275.327
524.5770, 2264.678
525.0591, 2258.820
525.5413, 2257.490
526.0234, 2260.292
526.5055, 2267.844
526.9876, 2277.323
527.4697, 2278.424
527.9518, 2264.998
528.4340, 2254.458
528.9161, 2250.286
529.3982, 2247.293
529.8803, 2240.340
530.3624, 2230.890
530.8445, 2226.349
531.3267, 2236.417
531.8088, 2250.104
532.2909, 2242.767
532.7730, 2214.779
533.2551, 2197.486
533.7372, 2205.923
534.2194, 2224.058
534.7015, 2226.588
535.1836, 2210.481
535.6657, 2198.944
536.1478, 2194.710
536.6299, 2195.281
537.1121, 2202.710
537.5942, 2213.405
538.0763, 2219.293
538.5584, 2216.440
539.0405, 2209.681
539.5226, 2208.953
540.0048, 2216.676
540.4869, 2219.779
540.9690, 2213.450
541.4511, 2206.701
541.9332, 2204.508
542.4153, 2205.520
542.8975, 2206.264
543.3796, 2204.934
543.8617, 2204.113
544.3438, 2207.419
544.8259, 2213.062
545.3080, 2215.560
545.7902, 2213.452
546.2723, 2209.781
546.7544, 2207.813
547.2365, 2207.750
547.7186, 2206.055
548.2007, 2201.673
548.6829, 2197.081
549.1650, 2187.737
549.6471, 2181.042
550.1292, 2188.541
550.6113, 2211.813
551.0934, 2236.076
551.5756, 2249.163
552.0577, 2250.929
552.5398, 2236.504
553.0219, 2199.183
553.5040, 2169.722
553.9861, 2167.668
554.4683, 2182.493
554.9504, 2190.639
555.4325, 2189.728
555.9146, 2188.463
556.3967, 2190.101
556.8788, 2192.251
557.3610, 2193.065
557.8431, 2192.159
558.3252, 2189.018
558.8073, 2183.024
559.2894, 2175.364
559.7715, 2169.621
560.2537, 2165.262
560.7358, 2164.114
561.2179, 2170.289
561.7000, 2176.560
562.1821, 2178.487
562.6642, 2176.731
563.1464, 2174.958
563.6285, 2177.386
564.1106, 2178.048
564.5927, 2168.135
