##NAMES=Szaibelyite
##RRUFFID=R070498
##IDEAL CHEMISTRY=MgBO_2_(OH)
##LOCALITY=Stinson Beach, Marin County, California, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Matted aggregates of white fibrous crystals, associated with magnetite and chromite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070498
593.7029, 32608.65
594.1850, 32623.85
594.6671, 32665.59
595.1492, 32714.23
595.6313, 32709.47
596.1135, 32655.21
596.5956, 32614.19
597.0777, 32650.58
597.5598, 32717.20
598.0419, 32757.95
598.5240, 32757.77
599.0062, 32757.69
599.4883, 32783.85
599.9704, 32818.30
600.4525, 32839.87
600.9346, 32816.25
601.4167, 32812.18
601.8989, 32852.94
602.3810, 32917.60
602.8631, 32943.03
603.3452, 32904.41
603.8273, 32877.20
604.3094, 32891.55
604.7916, 32943.88
605.2737, 32988.84
605.7558, 33025.97
606.2379, 33061.29
606.7200, 33110.37
607.2021, 33163.07
607.6843, 33183.96
608.1664, 33165.40
608.6485, 33136.13
609.1306, 33124.77
609.6127, 33120.95
610.0948, 33107.50
610.5770, 33062.49
611.0591, 33024.49
611.5412, 33010.48
612.0233, 33016.66
612.5054, 33032.09
612.9875, 33067.96
613.4697, 33099.40
613.9518, 33121.04
614.4339, 33133.04
614.9160, 33123.57
615.3981, 33078.70
615.8802, 33039.39
616.3624, 33034.73
616.8445, 33065.48
617.3266, 33106.18
617.8087, 33158.09
618.2908, 33209.26
618.7729, 33259.80
619.2551, 33299.07
619.7372, 33288.29
620.2193, 33181.81
620.7014, 33075.39
621.1835, 33080.54
621.6656, 33157.49
622.1478, 33209.96
622.6299, 33168.98
623.1120, 33122.14
623.5941, 33109.28
624.0762, 33131.73
624.5583, 33158.45
625.0405, 33190.46
625.5226, 33222.59
626.0047, 33252.08
626.4868, 33277.21
626.9689, 33309.79
627.4510, 33356.81
627.9332, 33395.10
628.4153, 33384.71
628.8974, 33329.92
629.3795, 33315.66
629.8616, 33371.40
630.3438, 33435.98
630.8259, 33402.63
631.3080, 33306.01
631.7901, 33242.51
632.2722, 33293.05
632.7543, 33362.80
633.2365, 33383.82
633.7186, 33364.46
634.2007, 33343.62
634.6828, 33342.75
635.1649, 33338.33
635.6470, 33312.96
636.1292, 33257.17
636.6113, 33236.53
637.0934, 33271.75
637.5755, 33317.59
638.0576, 33343.70
638.5397, 33350.28
639.0219, 33326.79
639.5040, 33259.57
639.9861, 33194.66
640.4682, 33203.99
640.9503, 33275.57
641.4324, 33355.05
641.9146, 33429.71
642.3967, 33496.45
642.8788, 33558.31
643.3609, 33609.05
643.8430, 33634.02
644.3251, 33594.49
644.8073, 33554.41
645.2894, 33559.42
645.7715, 33609.14
646.2536, 33624.03
646.7357, 33542.36
647.2178, 33470.70
647.7000, 33461.08
648.1821, 33533.15
648.6642, 33583.90
649.1463, 33610.64
649.6284, 33623.71
650.1105, 33627.43
650.5927, 33623.58
651.0748, 33633.15
651.5569, 33662.28
652.0390, 33697.10
652.5211, 33730.78
653.0032, 33755.88
653.4854, 33754.62
653.9675, 33677.03
654.4496, 33611.46
654.9317, 33634.03
655.4138, 33717.17
655.8959, 33774.56
656.3781, 33745.84
656.8602, 33719.64
657.3423, 33735.41
657.8244, 33793.44
658.3065, 33825.60
658.7886, 33822.79
659.2708, 33809.57
659.7529, 33794.88
660.2350, 33777.95
660.7171, 33790.09
661.1992, 33837.11
661.6813, 33882.97
662.1635, 33885.70
662.6456, 33856.65
663.1277, 33820.05
663.6099, 33772.95
664.0920, 33742.16
664.5741, 33758.71
665.0562, 33803.95
665.5383, 33847.60
666.0204, 33885.77
666.5026, 33915.00
666.9847, 33928.27
667.4668, 33930.83
667.9489, 33945.79
668.4310, 33994.39
668.9131, 34017.96
669.3953, 33984.94
669.8774, 33904.27
670.3595, 33868.55
670.8416, 33881.22
671.3237, 33912.16
671.8058, 33953.62
672.2880, 33995.57
672.7701, 34006.91
673.2522, 33984.16
673.7343, 33959.99
674.2164, 33961.64
674.6985, 33975.25
675.1807, 33983.61
675.6628, 33973.87
676.1449, 33978.61
676.6270, 34015.96
677.1091, 34070.43
677.5912, 34123.33
678.0734, 34187.42
678.5555, 34225.56
679.0376, 34222.86
679.5197, 34198.30
680.0018, 34200.39
680.4839, 34231.43
680.9661, 34262.28
681.4482, 34290.77
681.9303, 34306.18
682.4124, 34268.81
682.8945, 34188.43
683.3766, 34125.29
683.8588, 34148.04
684.3409, 34182.96
684.8230, 34145.98
685.3051, 34031.75
685.7872, 33966.70
686.2693, 34036.61
686.7515, 34140.01
687.2336, 34213.78
687.7157, 34253.20
688.1978, 34274.89
688.6799, 34271.10
689.1620, 34260.28
689.6442, 34263.59
690.1263, 34281.38
690.6084, 34286.16
691.0905, 34270.52
691.5726, 34249.17
692.0547, 34237.10
692.5369, 34234.69
693.0190, 34245.60
693.5011, 34285.91
693.9832, 34320.66
694.4653, 34319.64
694.9474, 34294.45
695.4296, 34272.14
695.9117, 34242.88
696.3938, 34238.57
696.8759, 34289.82
697.3580, 34383.20
697.8401, 34429.07
698.3223, 34415.90
698.8044, 34382.07
699.2865, 34332.54
699.7686, 34272.81
700.2507, 34260.71
700.7328, 34297.15
701.2150, 34345.68
701.6971, 34370.87
702.1792, 34389.99
702.6613, 34441.22
703.1434, 34532.24
703.6255, 34602.91
704.1077, 34602.57
704.5898, 34572.16
705.0719, 34548.71
705.5540, 34542.65
706.0361, 34537.58
706.5182, 34536.59
707.0004, 34534.42
707.4825, 34525.15
707.9646, 34509.48
708.4467, 34489.23
708.9288, 34464.35
709.4109, 34438.35
709.8931, 34410.39
710.3752, 34384.68
710.8573, 34382.41
711.3394, 34432.25
711.8215, 34487.57
712.3036, 34490.59
712.7858, 34456.55
713.2679, 34429.65
713.7500, 34425.25
714.2321, 34433.90
714.7142, 34459.52
715.1964, 34499.21
715.6785, 34515.56
716.1606, 34489.51
716.6427, 34467.68
717.1248, 34475.48
717.6069, 34511.32
718.0891, 34524.31
718.5712, 34513.08
719.0533, 34490.55
719.5354, 34463.36
720.0175, 34434.28
720.4996, 34409.27
720.9818, 34389.70
721.4639, 34374.27
721.9460, 34361.43
722.4281, 34354.45
722.9102, 34358.18
723.3923, 34385.99
723.8745, 34401.38
724.3566, 34382.20
724.8387, 34359.84
725.3208, 34367.18
725.8029, 34412.06
726.2850, 34456.23
726.7672, 34492.00
727.2493, 34527.73
727.7314, 34581.59
