##NAMES=Tsumcorite
##RRUFFID=R100185
##IDEAL CHEMISTRY=Pb^2+^Zn^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Mina Ojuela (Campo Sur), Mapimi, Durango, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brilliant brown wedge-shaped crystals on pulverant segnitite, associated with colorless mimetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100185
483.0482, 72.48338
483.5303, 73.41006
484.0124, 74.11555
484.4945, 74.28932
484.9766, 74.54477
485.4587, 75.41196
485.9409, 76.63139
486.4230, 77.52943
486.9051, 77.71762
487.3872, 77.42650
487.8693, 77.35658
488.3514, 77.89214
488.8336, 77.90165
489.3157, 76.69035
489.7978, 75.49419
490.2799, 75.43159
490.7620, 76.31323
491.2441, 76.90037
491.7263, 76.06804
492.2084, 74.12720
492.6905, 72.64046
493.1726, 71.89890
493.6547, 70.91854
494.1368, 69.12491
494.6190, 66.98018
495.1011, 64.87349
495.5832, 62.85761
496.0653, 61.01463
496.5474, 59.57161
497.0295, 58.36972
497.5117, 56.98142
497.9938, 55.37420
498.4759, 53.41826
498.9580, 50.63696
499.4401, 47.30910
499.9222, 44.90731
500.4044, 44.24866
500.8865, 43.77555
501.3686, 42.73322
501.8507, 41.28320
502.3328, 39.68552
502.8149, 38.02354
503.2971, 36.41773
503.7792, 35.02458
504.2613, 33.81041
504.7434, 32.95556
505.2255, 32.85102
505.7076, 32.68077
506.1898, 31.94024
506.6719, 30.84613
507.1540, 29.88515
507.6361, 29.31306
508.1182, 28.99954
508.6003, 28.71869
509.0825, 28.66477
509.5646, 28.11642
510.0467, 26.25710
510.5288, 24.52703
511.0109, 23.88010
511.4930, 24.11339
511.9752, 24.29043
512.4573, 23.73671
512.9394, 22.79472
513.4215, 22.23033
513.9036, 22.06491
514.3857, 22.15706
514.8679, 22.72996
515.3500, 23.32816
515.8321, 23.32376
516.3142, 22.63953
516.7963, 21.95517
517.2784, 21.53676
517.7606, 21.29968
518.2427, 21.23677
518.7248, 21.32080
519.2069, 21.13671
519.6890, 20.25609
520.1711, 18.93634
520.6533, 18.52085
521.1354, 20.02504
521.6175, 20.93287
522.0996, 20.30958
522.5817, 19.19842
523.0638, 18.69946
523.5460, 18.94770
